,ACES,ADMR,ADRO,AKRA,AMMN,AMRT,ANTM,ARTO,ASII,BBCA,BBNI,BBRI,BBTN,BMRI,BRIS,BRPT,BUKA,CPIN,ESSA,EXCL,GOTO,ICBP,INCO,INDF,INKP,INTP,ISAT,ITMG,JSMR,KLBF,MAPI,MBMA,MDKA,MEDC,MTEL,PGAS,PGEO,PTBA,SIDO,SMGR,SMRA,TLKM,TOWR,UNTR,UNVR
ACES,1.0,0.1227426549700128,0.018033320855392457,0.19386214518286177,0.0676997708636803,0.06922390622518117,0.03871162271127993,0.10497864273539849,0.09975884974915011,0.09980015638212814,0.11937230450957097,0.13316654213159934,0.21206214754058328,0.08853830661740632,0.22489866606225076,-0.02833609557854806,0.07507197056042911,0.02678516402339256,0.0276397181389358,0.15804251162217667,0.013248563378757025,0.12165679290030403,0.05394276263803784,0.1813919969365947,0.05322324104258447,0.06288925198660156,0.007764082757227307,0.04541012829338487,0.1426053683827017,0.22903258105390706,0.1935809505878519,0.10820774584555692,0.0026348368206949376,0.08813314617937551,0.015934922560459593,0.029554827247484795,0.07014666108283205,0.15633680267967084,0.19203387484197051,0.1366620312004047,0.11402350706000448,0.055797441030137895,0.09521994945112296,0.019258900549447282,0.06032859650096699
ADMR,0.1227426549700128,1.0,0.2701479279152824,0.16031769187820036,0.0046770171511142725,0.019119994016742484,0.19850582194455738,0.13463914267679455,-0.0495435741346288,0.016310069908401302,0.04007203852973033,0.05826659217485593,0.110974049792608,0.07235792445305059,0.10038458529545412,0.14007465052746657,0.10784307979224633,0.03306500652277011,0.16125341642032492,0.03964647048963028,0.21082759607546112,0.016343014237416655,0.19660972124031253,-0.023823272548230516,0.04391568685903923,0.09042013369803048,-0.02416013529034908,0.20916164004586824,0.14089140485015378,0.012377756537194959,0.025703380228562566,0.2257126597254221,0.24262930949287068,0.19243495966256635,0.009614639621334334,0.09047109234043828,0.15623503234500377,0.20822717433542545,0.13480598159921828,0.052217148293410814,0.15063930342863646,0.04452746760466765,0.1246154820582587,0.22255596576082617,0.04552896087811233
ADRO,0.018033320855392457,0.2701479279152824,1.0,0.16419697627220745,-0.04626979813971393,0.025275411726316147,0.18451613687833351,0.06544844725349325,0.1116320503962151,0.12887567345592899,0.043382302711906226,0.14875730798090214,0.0804009749931042,0.15242848345801735,0.07356462200200746,0.09953180582318653,0.05968318827350634,0.053287331631951394,0.1491336017075263,0.05837906700070166,0.04398462363977301,0.016102605781782436,0.10234443975768373,0.09165547190513676,0.0995775532532103,0.030194395005142042,-0.01609987407087398,0.3725826585045042,0.09644319603392908,0.00025144460625874733,-0.041001485157246616,0.21026467816577335,0.17673317339222444,0.2179476395770913,0.03718464883285392,0.21340238763075037,0.1145233741858374,0.34700006651694654,0.07837519823539905,0.06715064496821005,0.06838391557388487,-0.034187850902383674,0.0415443214024353,0.3530399619181383,0.06760301282847894
AKRA,0.19386214518286182,0.16031769187820036,0.16419697627220742,1.0,0.016749485273976468,-0.008603529743104023,0.2053129569674484,0.07711325788714979,0.11567178028459114,0.04014205273285661,0.07601033783555203,0.06479323249760988,0.07053948700596666,0.14656422650187892,0.16854313942643598,0.07611055271858964,0.03018791829664574,0.05744437417173053,0.17089529015168214,0.13521001638884023,0.14281340938682982,0.039404568257780805,0.24665992372966208,0.10660548716628372,0.17958775915919234,0.05497572724069833,0.017547060333807568,0.23843043884929602,0.2050920727100306,0.019107809037577507,0.0907232137013622,0.15695742073037527,0.25391364683894624,0.3919816399067376,0.006555424184339065,0.0894502878589764,0.1562487101998072,0.2485496988145486,0.06197511997749231,0.1202581923030748,0.04309650473420432,-0.010328082930962107,0.09385294603479877,0.17007155076951627,-0.058394674690020014
AMMN,0.06769977086368031,0.004677017151114263,-0.046269798139713936,0.016749485273976482,1.0,0.012497977063690227,-0.03829560399957448,-0.1354685472660588,-0.10240218632402734,-0.05195624598417953,0.04558875983942425,-0.02904036485213793,0.0018299186682930817,-0.04385146923041816,0.015280626937207796,0.024859814352445695,-0.03862527644554535,0.04211711239913195,0.008152247669260556,0.04433239518622111,0.01736882346544297,0.08668917579317903,-0.031047278556442744,0.0477150726622165,0.050435983169447474,0.06992321388464068,-0.006647142396508505,-0.05693759498401151,0.022587560309074967,-0.04714468335202062,-0.011217995456418555,0.018616151992309583,-0.04360104699506622,0.11082636007936218,-0.013836794332867117,-0.05094139476324393,-0.012360810835258152,-0.03672543984150211,0.00963512359048934,0.004155060818593825,-0.007337448579741849,-0.06815456158982824,0.015516597357230094,-0.05696718554004166,0.09920412388894549
AMRT,0.06922390622518117,0.019119994016742487,0.02527541172631617,-0.008603529743104016,0.012497977063690255,1.0,0.14603460116347114,0.1195631132910815,0.22126850847239546,0.16937827892664636,0.23198842437280823,0.21395723760485877,0.14964120419252527,0.21631109624202685,0.17525340371112935,0.16585438008999007,0.08508810616259622,0.26250460464158437,0.12383696092366693,0.00480175766620677,0.127261060377433,0.20127348598328615,-0.040556472535753216,0.21232969294456172,0.11952322849758217,0.044673265343926,0.06414080215582109,-0.0006354460785148914,0.14035957185617212,0.11333030352780599,0.11336889307824462,-0.01737700917716807,0.09869510916258024,-0.02555386306539597,0.10139018330874881,0.0873869071513104,0.06876084293078828,0.07477260547123321,0.13651692475464708,0.11108112526932584,0.11866885936203746,0.15236042137283895,0.15307910975574937,0.05225126142303196,0.11076644838368419
ANTM,0.03871162271127993,0.19850582194455732,0.18451613687833354,0.2053129569674484,-0.03829560399957446,0.1460346011634711,1.0,0.17157343475902626,0.13723865359277368,0.08438048081344615,0.13805513903497288,0.12555567402519105,0.18326290230769754,0.1365667283074797,0.14020571287008987,0.11394409151112311,0.11570707924309458,0.11586278092068818,0.23500798744326976,0.06611563215146261,0.13744540354324636,-0.0219837868486023,0.4453810552786334,0.09170899438955127,0.2258886876088177,0.12696718017056646,0.036675424326040616,0.2206739963706369,0.13812658455464805,-0.0022557876658634525,0.10448106068746146,0.2535083829409993,0.3727532521835938,0.23995458907203168,0.048883155917556265,0.18109152259785266,0.0791678402391867,0.38601459178341446,0.041643117582586715,0.09326025999203308,0.20023324747487228,0.10670807140196749,0.08649091974776846,0.24512378282311448,-0.04253133977530521
ARTO,0.10497864273539852,0.13463914267679455,0.06544844725349326,0.07711325788714975,-0.1354685472660588,0.11956311329108146,0.17157343475902623,1.0,0.17917442036963863,0.16651328156956566,0.20859797313231362,0.23893879311574098,0.24622723507939867,0.17965320209295133,0.19824286837838204,0.10453411747279114,0.2545872465966241,0.06854766935465094,0.06257677880542559,0.11695195047168655,0.4614484694133293,0.10159333460433904,0.1453408697104017,0.12478319610146611,0.10298203532049942,0.08494329343079744,0.08638169032606963,0.1266682809156044,0.1959432643448401,0.16409263809753252,0.23670237183767298,0.14593493885697845,0.1391777335043746,0.09878127252957933,0.16937048259435344,0.11723962216457948,-0.05367583351222463,0.1323989686245198,0.04107760441477674,0.12508635567451365,0.251917903555598,0.13636604154195137,0.15409688647647732,0.10070562091051807,0.0991434312915466
ASII,0.09975884974915011,-0.049543574134628815,0.11163205039621507,0.11567178028459112,-0.10240218632402734,0.22126850847239546,0.13723865359277368,0.17917442036963863,1.0,0.25129026911920993,0.2849812060475881,0.3350081326873203,0.24755421789079224,0.2655748871232675,0.18473032591169594,0.23203089287559628,0.10548971628689933,0.026800113804331834,0.10418062305653783,0.058867049134698576,0.15910038981607522,0.08519660028928017,0.06597572416230195,0.24003720075185317,0.13121784083814683,0.04675580450721546,0.06615412279447093,0.15712703870422826,0.13431479307634456,0.21606942806600832,0.14245815981264257,0.04936862046328965,0.11271988513277424,0.11060723154017305,0.10106952971142932,0.23110220113733085,0.09309554858834772,0.20725949437784585,0.05790812621440827,0.24840874466165905,0.18350340283081634,0.25860220471526796,0.12453015388731771,0.2245927333918976,0.10027694366558211
BBCA,0.09980015638212814,0.016310069908401323,0.12887567345592899,0.040142052732856606,-0.05195624598417957,0.16937827892664636,0.08438048081344615,0.16651328156956566,0.25129026911920993,1.0,0.39486435044548474,0.4471015676855108,0.3671626300313085,0.4986904694098021,0.23893875500137848,0.1469450039544315,0.12939909113001663,0.15924142810565983,0.010717247426205244,-0.006313932486949741,0.13887903857241257,0.12695023685058174,-0.025410611142648108,0.17154776864592544,0.008609739674839795,0.12201989113768441,0.13139249792516242,0.08103740559449843,0.08892810241640775,0.09413770378254831,0.17246719330503182,0.048249040022123935,0.06800731951665923,0.07576944583341388,0.047942271933093326,0.030528778361615817,0.04467508795482304,0.1594870927411668,0.05727489416013792,0.134041248303129,0.20700388049778184,0.20462870785518067,0.2588798405451659,0.060925566241565816,0.061512117909675264
