"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","790","795","800","770","31.23M","-0.63%"
"12/27/2024","795","800","805","775","9.35M","0.00%"
"12/24/2024","795","810","810","795","5.11M","-1.85%"
"12/23/2024","810","800","810","795","5.30M","1.89%"
"12/20/2024","795","800","810","790","18.33M","-0.63%"
"12/19/2024","800","825","825","785","23.28M","-3.61%"
"12/18/2024","830","800","830","790","45.62M","3.75%"
"12/17/2024","800","815","830","800","25.32M","-1.23%"
"12/16/2024","810","820","825","790","28.49M","-1.22%"
"12/13/2024","820","825","830","805","25.53M","-0.61%"
"12/12/2024","825","820","830","815","29.89M","0.61%"
"12/11/2024","820","805","825","805","49.08M","2.50%"
"12/10/2024","800","775","810","770","47.66M","3.90%"
"12/09/2024","770","770","780","765","18.26M","0.00%"
"12/06/2024","770","765","775","760","9.97M","0.65%"
"12/05/2024","765","770","780","760","23.36M","-0.65%"
"12/04/2024","770","765","780","745","49.14M","1.32%"
"12/03/2024","760","755","765","735","19.86M","0.66%"
"12/02/2024","755","770","780","755","19.42M","-1.95%"
"11/29/2024","770","775","780","755","16.33M","-0.65%"
"11/28/2024","775","790","790","770","22.47M","-0.64%"
"11/26/2024","780","790","795","780","18.55M","-0.64%"
"11/25/2024","785","790","800","780","18.46M","-0.63%"
"11/22/2024","790","805","805","780","30.74M","-1.25%"
"11/21/2024","800","830","835","800","28.26M","-3.61%"
"11/20/2024","830","815","830","810","28.60M","1.84%"
"11/19/2024","815","825","830","800","31.69M","-1.21%"
"11/18/2024","825","800","835","795","26.99M","3.13%"
"11/15/2024","800","830","830","800","23.56M","-3.03%"
"11/14/2024","825","835","840","820","14.65M","-1.20%"
"11/13/2024","835","830","860","805","47.31M","0.60%"
"11/12/2024","830","840","840","825","26.44M","-1.19%"
"11/11/2024","840","825","840","815","21.22M","1.20%"
"11/08/2024","830","840","840","830","12.72M","0.00%"
"11/07/2024","830","855","860","820","37.00M","-2.92%"
"11/06/2024","855","915","915","840","47.50M","-6.56%"
"11/05/2024","915","915","920","880","76.49M","0.00%"
"11/04/2024","915","910","920","880","27.46M","1.67%"
"11/01/2024","900","915","915","895","15.24M","0.00%"
"10/31/2024","900","895","915","890","22.06M","0.56%"
"10/30/2024","895","900","905","880","26.17M","-0.56%"
"10/29/2024","900","920","935","900","39.34M","-2.17%"
"10/28/2024","920","915","925","905","23.29M","0.55%"
"10/25/2024","915","915","935","915","17.93M","0.55%"
"10/24/2024","910","930","930","905","20.30M","-1.62%"
"10/23/2024","925","940","940","920","24.39M","-1.07%"
"10/22/2024","935","930","940","920","31.96M","0.54%"
"10/21/2024","930","945","950","920","45.17M","-1.06%"
"10/18/2024","940","900","950","895","72.62M","5.62%"
"10/17/2024","890","900","910","890","22.07M","-1.11%"
"10/16/2024","900","875","900","860","43.65M","2.86%"
"10/15/2024","875","870","880","870","22.93M","0.57%"
"10/14/2024","870","900","900","870","27.83M","-2.25%"
"10/11/2024","890","905","910","890","16.21M","-1.66%"
"10/10/2024","905","885","920","870","63.61M","3.43%"
"10/09/2024","875","875","895","865","40.18M","1.74%"
"10/08/2024","860","875","875","855","22.09M","-2.27%"
"10/07/2024","880","865","880","860","15.26M","2.33%"
"10/04/2024","860","870","870","855","16.88M","-1.71%"
"10/03/2024","875","875","895","865","36.54M","0.00%"
"10/02/2024","875","895","895","845","63.38M","-2.23%"
"10/01/2024","895","920","925","890","25.47M","-2.72%"
"09/30/2024","920","910","920","895","41.17M","0.55%"
"09/27/2024","915","905","915","895","19.04M","1.10%"
"09/26/2024","905","875","930","875","84.05M","4.02%"
"09/25/2024","870","885","900","865","44.71M","-1.14%"
"09/24/2024","880","900","915","880","57.09M","-2.22%"
"09/23/2024","900","880","915","860","72.49M","2.27%"
"09/20/2024","880","830","895","820","158.55M","7.32%"
"09/19/2024","820","810","825","790","62.88M","1.86%"
"09/18/2024","805","790","825","780","107.85M","2.55%"
"09/17/2024","785","770","785","765","37.77M","3.29%"
"09/13/2024","760","770","780","760","39.08M","-1.30%"
"09/12/2024","770","770","770","755","46.89M","0.00%"
"09/11/2024","770","785","795","765","43.50M","-1.28%"
"09/10/2024","780","750","800","750","116.05M","4.00%"
"09/09/2024","750","770","770","750","63.69M","-2.60%"
"09/06/2024","770","795","800","765","115.38M","-3.14%"
"09/05/2024","795","730","800","730","226.76M","8.90%"
"09/04/2024","730","715","735","715","47.84M","1.39%"
"09/03/2024","720","720","725","715","39.90M","0.70%"
"09/02/2024","715","715","730","715","21.57M","0.00%"
"08/30/2024","715","730","730","715","30.84M","-2.05%"
"08/29/2024","730","730","740","720","53.16M","0.00%"
"08/28/2024","730","740","745","720","68.95M","-0.68%"
"08/27/2024","735","725","735","715","49.00M","2.08%"
"08/26/2024","720","725","730","710","58.18M","-0.69%"
"08/23/2024","725","720","730","720","20.37M","0.69%"
"08/22/2024","720","730","730","710","71.95M","-1.37%"
"08/21/2024","730","735","735","720","43.67M","-0.68%"
"08/20/2024","735","725","740","720","63.37M","2.08%"
"08/19/2024","720","735","735","715","78.32M","-2.04%"
"08/16/2024","735","740","750","730","50.15M","0.00%"
"08/15/2024","735","755","760","730","38.19M","-2.65%"
"08/14/2024","755","750","760","735","63.82M","2.03%"
"08/13/2024","740","725","750","725","46.93M","2.78%"
"08/12/2024","720","725","730","710","56.25M","0.00%"
"08/09/2024","720","725","735","720","55.47M","0.00%"
"08/08/2024","720","735","740","715","52.49M","-2.04%"
"08/07/2024","735","735","745","730","43.06M","0.00%"
"08/06/2024","735","725","745","720","73.46M","1.38%"
"08/05/2024","725","750","765","710","68.11M","-4.61%"
"08/02/2024","760","790","795","750","137.73M","-4.40%"
"08/01/2024","795","800","805","790","31.66M","-0.63%"
"07/31/2024","800","790","805","790","12.48M","1.91%"
"07/30/2024","785","800","805","780","40.03M","-1.88%"
"07/29/2024","800","820","820","800","31.55M","-2.44%"
"07/26/2024","820","815","820","810","8.85M","0.61%"
"07/25/2024","815","815","820","805","18.89M","0.00%"
"07/24/2024","815","830","830","810","18.10M","-1.21%"
"07/23/2024","825","820","825","805","26.94M","1.23%"
"07/22/2024","815","805","815","800","27.23M","1.88%"
"07/19/2024","800","815","815","800","26.00M","-1.23%"
"07/18/2024","810","810","825","790","38.38M","0.00%"
"07/17/2024","810","805","820","790","35.28M","1.25%"
"07/16/2024","800","780","800","775","82.27M","3.23%"
"07/15/2024","775","800","810","770","58.33M","-3.13%"
"07/12/2024","800","825","830","790","47.98M","-2.44%"
"07/11/2024","820","825","835","810","22.17M","-0.61%"
"07/10/2024","825","845","845","825","23.49M","-1.79%"
"07/09/2024","840","850","860","840","22.43M","-1.18%"
"07/08/2024","850","835","850","835","31.37M","1.80%"
"07/05/2024","835","835","845","835","15.15M","0.00%"
"07/04/2024","835","830","845","825","27.05M","1.21%"
"07/03/2024","825","840","845","815","47.85M","-1.79%"
"07/02/2024","840","855","865","835","34.70M","-1.75%"
"07/01/2024","855","860","865","850","26.98M","0.00%"
"06/28/2024","855","855","865","850","10.64M","0.00%"
"06/27/2024","855","845","860","840","16.46M","1.18%"
"06/26/2024","845","850","860","845","16.16M","0.00%"
"06/25/2024","845","845","860","840","37.85M","0.00%"
"06/24/2024","845","845","855","840","24.49M","0.00%"
"06/21/2024","845","865","880","840","65.76M","-1.74%"
"06/20/2024","860","845","860","835","33.94M","0.00%"
"06/19/2024","860","840","870","840","56.62M","2.38%"
"06/14/2024","840","840","850","830","40.53M","0.60%"
"06/13/2024","835","855","865","830","39.61M","-1.76%"
"06/12/2024","850","870","870","845","38.67M","-1.73%"
"06/11/2024","865","855","870","850","36.36M","1.17%"
"06/10/2024","855","840","865","840","38.39M","2.40%"
"06/07/2024","835","850","850","835","43.33M","-1.18%"
"06/06/2024","845","850","865","840","39.73M","-0.59%"
"06/05/2024","850","830","850","820","38.50M","2.41%"
"06/04/2024","830","815","860","810","56.39M","3.75%"
"06/03/2024","800","820","825","795","37.22M","-2.44%"
"05/31/2024","820","815","830","815","34.50M","0.61%"
"05/30/2024","815","830","835","810","30.94M","-1.21%"
"05/29/2024","825","810","835","805","41.58M","1.85%"
"05/28/2024","810","815","825","800","38.17M","-0.61%"
"05/27/2024","815","805","820","800","37.81M","1.88%"
"05/22/2024","800","810","810","775","93.99M","0.00%"
"05/21/2024","800","855","855","800","85.18M","-5.88%"
"05/20/2024","850","860","865","845","19.56M","0.59%"
