"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","1,120","1,135","1,140","1,075","23.80M","0.00%"
"12/27/2024","1,120","1,120","1,140","1,115","8.08M","0.00%"
"12/24/2024","1,120","1,140","1,145","1,115","9.32M","-0.88%"
"12/23/2024","1,130","1,130","1,165","1,120","11.86M","-0.88%"
"12/20/2024","1,140","1,120","1,165","1,115","34.87M","1.79%"
"12/19/2024","1,120","1,165","1,165","1,115","17.01M","-4.27%"
"12/18/2024","1,170","1,225","1,235","1,155","24.01M","-4.49%"
"12/17/2024","1,225","1,280","1,280","1,220","10.93M","-4.30%"
"12/16/2024","1,280","1,315","1,315","1,275","9.57M","-2.66%"
"12/13/2024","1,315","1,340","1,340","1,310","2.38M","-1.50%"
"12/12/2024","1,335","1,340","1,355","1,325","12.15M","0.00%"
"12/11/2024","1,335","1,350","1,355","1,330","8.95M","-1.48%"
"12/10/2024","1,355","1,345","1,370","1,340","20.21M","0.74%"
"12/09/2024","1,345","1,320","1,345","1,310","11.42M","1.89%"
"12/06/2024","1,320","1,310","1,325","1,295","7.47M","0.38%"
"12/05/2024","1,315","1,270","1,330","1,255","20.92M","3.54%"
"12/04/2024","1,270","1,230","1,280","1,230","14.03M","3.67%"
"12/03/2024","1,225","1,225","1,225","1,210","9.08M","0.00%"
"12/02/2024","1,225","1,230","1,245","1,215","6.94M","-0.41%"
"11/29/2024","1,230","1,240","1,240","1,215","10.05M","0.41%"
"11/28/2024","1,225","1,230","1,240","1,210","9.78M","-0.41%"
"11/26/2024","1,230","1,265","1,270","1,225","20.03M","-2.77%"
"11/25/2024","1,265","1,305","1,325","1,265","31.56M","-3.07%"
"11/22/2024","1,305","1,305","1,315","1,295","8.14M","0.00%"
"11/21/2024","1,305","1,340","1,350","1,300","11.15M","-1.88%"
"11/20/2024","1,330","1,315","1,340","1,310","4.28M","1.53%"
"11/19/2024","1,310","1,340","1,355","1,305","8.43M","-2.24%"
"11/18/2024","1,340","1,300","1,345","1,295","6.49M","3.08%"
"11/15/2024","1,300","1,350","1,350","1,295","23.20M","-3.70%"
"11/14/2024","1,350","1,370","1,370","1,340","4.38M","-1.46%"
"11/13/2024","1,370","1,350","1,385","1,350","12.32M","1.48%"
"11/12/2024","1,350","1,370","1,370","1,335","10.60M","-2.17%"
"11/11/2024","1,380","1,380","1,380","1,320","11.12M","0.36%"
"11/08/2024","1,375","1,310","1,395","1,300","18.68M","4.96%"
"11/07/2024","1,310","1,340","1,340","1,300","22.19M","-2.24%"
"11/06/2024","1,340","1,370","1,370","1,325","10.08M","-1.47%"
"11/05/2024","1,360","1,300","1,375","1,300","18.64M","4.62%"
"11/04/2024","1,300","1,350","1,355","1,295","28.04M","-3.70%"
"11/01/2024","1,350","1,360","1,390","1,335","11.99M","0.00%"
"10/31/2024","1,350","1,395","1,400","1,350","20.61M","-3.23%"
"10/30/2024","1,395","1,350","1,405","1,345","28.66M","3.33%"
"10/29/2024","1,350","1,360","1,370","1,325","39.41M","-0.74%"
"10/28/2024","1,360","1,400","1,400","1,360","30.30M","-3.55%"
"10/25/2024","1,410","1,420","1,425","1,405","16.17M","-0.70%"
"10/24/2024","1,420","1,440","1,445","1,415","25.51M","-1.39%"
"10/23/2024","1,440","1,450","1,455","1,435","20.37M","-0.69%"
"10/22/2024","1,450","1,455","1,460","1,445","11.21M","0.35%"
"10/21/2024","1,445","1,445","1,460","1,440","18.46M","0.00%"
"10/18/2024","1,445","1,490","1,495","1,445","32.73M","-3.02%"
"10/17/2024","1,490","1,490","1,500","1,470","33.23M","-0.67%"
"10/16/2024","1,500","1,460","1,500","1,440","87.83M","2.74%"
"10/15/2024","1,460","1,535","1,535","1,460","76.28M","-4.89%"
"10/14/2024","1,535","1,540","1,550","1,535","16.92M","-0.32%"
"10/11/2024","1,540","1,555","1,555","1,525","26.54M","-0.32%"
"10/10/2024","1,545","1,525","1,545","1,520","24.93M","1.31%"
"10/09/2024","1,525","1,545","1,560","1,510","13.38M","-1.29%"
"10/08/2024","1,545","1,625","1,635","1,530","47.83M","-4.33%"
"10/07/2024","1,615","1,620","1,650","1,605","39.76M","0.00%"
"10/04/2024","1,615","1,605","1,625","1,600","38.96M","1.25%"
"10/03/2024","1,595","1,585","1,605","1,580","30.23M","0.95%"
"10/02/2024","1,580","1,570","1,590","1,565","51.03M","1.94%"
"10/01/2024","1,550","1,550","1,560","1,535","18.50M","0.00%"
"09/30/2024","1,550","1,550","1,560","1,535","41.43M","0.00%"
"09/27/2024","1,550","1,530","1,560","1,525","21.85M","1.64%"
"09/26/2024","1,525","1,520","1,535","1,505","17.33M","-0.33%"
"09/25/2024","1,530","1,565","1,570","1,530","25.50M","-1.92%"
"09/24/2024","1,560","1,520","1,570","1,520","73.48M","2.63%"
"09/23/2024","1,520","1,495","1,525","1,485","36.89M","1.67%"
"09/20/2024","1,495","1,465","1,495","1,455","25.74M","1.70%"
"09/19/2024","1,470","1,465","1,475","1,460","13.73M","0.34%"
"09/18/2024","1,465","1,490","1,490","1,465","16.03M","-1.01%"
"09/17/2024","1,480","1,470","1,490","1,445","21.01M","0.68%"
"09/13/2024","1,470","1,480","1,485","1,455","25.94M","0.00%"
"09/12/2024","1,470","1,445","1,480","1,440","31.06M","2.80%"
"09/11/2024","1,430","1,435","1,455","1,425","30.51M","-0.35%"
"09/10/2024","1,435","1,415","1,450","1,415","28.91M","1.77%"
"09/09/2024","1,410","1,420","1,425","1,400","37.90M","-0.70%"
"09/06/2024","1,420","1,430","1,435","1,420","25.58M","-1.05%"
"09/05/2024","1,435","1,435","1,435","1,415","28.61M","0.00%"
"09/04/2024","1,435","1,450","1,455","1,410","69.20M","-2.71%"
"09/03/2024","1,475","1,495","1,495","1,455","23.48M","-1.34%"
"09/02/2024","1,495","1,495","1,500","1,475","12.96M","0.00%"
"08/30/2024","1,495","1,485","1,500","1,475","14.75M","1.01%"
"08/29/2024","1,480","1,515","1,515","1,465","17.76M","-1.66%"
"08/28/2024","1,505","1,490","1,510","1,480","14.55M","1.35%"
"08/27/2024","1,485","1,470","1,485","1,470","16.11M","1.02%"
"08/26/2024","1,470","1,455","1,470","1,450","11.64M","1.38%"
"08/23/2024","1,450","1,465","1,485","1,445","25.53M","-0.68%"
"08/22/2024","1,460","1,485","1,500","1,460","23.83M","-2.67%"
"08/21/2024","1,500","1,510","1,510","1,485","31.38M","-0.66%"
"08/20/2024","1,510","1,505","1,510","1,490","29.19M","0.33%"
"08/19/2024","1,505","1,520","1,520","1,490","14.16M","-0.66%"
"08/16/2024","1,515","1,530","1,530","1,510","9.50M","-0.33%"
"08/15/2024","1,520","1,540","1,545","1,515","14.55M","-1.30%"
"08/14/2024","1,540","1,490","1,540","1,490","43.76M","3.70%"
"08/13/2024","1,485","1,485","1,495","1,465","19.82M","0.00%"
"08/12/2024","1,485","1,460","1,495","1,450","20.08M","2.41%"
"08/09/2024","1,450","1,425","1,465","1,425","25.55M","2.11%"
"08/08/2024","1,420","1,435","1,435","1,415","14.81M","-1.39%"
"08/07/2024","1,440","1,410","1,445","1,410","36.49M","2.49%"
"08/06/2024","1,405","1,420","1,425","1,395","36.13M","0.00%"
"08/05/2024","1,405","1,480","1,485","1,390","76.68M","-7.87%"
"08/02/2024","1,525","1,520","1,535","1,510","44.47M","0.33%"
"08/01/2024","1,520","1,520","1,525","1,505","43.08M","0.33%"
"07/31/2024","1,515","1,525","1,525","1,510","44.53M","-0.66%"
"07/30/2024","1,525","1,520","1,525","1,505","46.19M","-0.33%"
"07/29/2024","1,530","1,560","1,565","1,515","71.13M","-1.61%"
"07/26/2024","1,555","1,515","1,555","1,505","56.52M","2.98%"
"07/25/2024","1,510","1,505","1,520","1,500","30.67M","0.33%"
"07/24/2024","1,505","1,505","1,510","1,500","17.16M","0.00%"
"07/23/2024","1,505","1,510","1,515","1,500","14.44M","-0.33%"
"07/22/2024","1,510","1,515","1,520","1,505","22.98M","-0.33%"
"07/19/2024","1,515","1,520","1,525","1,505","23.97M","-0.33%"
"07/18/2024","1,520","1,510","1,525","1,505","24.08M","1.00%"
"07/17/2024","1,505","1,510","1,510","1,500","9.93M","0.00%"
"07/16/2024","1,505","1,510","1,530","1,495","40.73M","0.00%"
"07/15/2024","1,505","1,500","1,505","1,470","35.25M","0.33%"
"07/12/2024","1,500","1,505","1,520","1,485","62.64M","-0.33%"
"07/11/2024","1,505","1,515","1,520","1,505","39.30M","-0.33%"
"07/10/2024","1,510","1,500","1,520","1,500","47.43M","0.67%"
"07/09/2024","1,500","1,515","1,520","1,490","70.56M","-0.99%"
"07/08/2024","1,515","1,565","1,565","1,480","116.96M","-3.19%"
"07/05/2024","1,565","1,580","1,580","1,550","42.35M","-0.95%"
"07/04/2024","1,580","1,595","1,600","1,570","29.46M","-0.63%"
"07/03/2024","1,590","1,600","1,605","1,570","24.99M","-0.31%"
"07/02/2024","1,595","1,605","1,610","1,585","22.88M","-0.31%"
"07/01/2024","1,600","1,620","1,620","1,580","39.98M","-1.23%"
"06/28/2024","1,620","1,650","1,685","1,620","54.71M","-1.52%"
"06/27/2024","1,645","1,640","1,650","1,630","14.09M","0.30%"
"06/26/2024","1,640","1,635","1,650","1,620","13.89M","0.31%"
"06/25/2024","1,635","1,635","1,635","1,610","9.27M","0.31%"
"06/24/2024","1,630","1,580","1,640","1,565","30.59M","3.16%"
"06/21/2024","1,580","1,565","1,580","1,560","10.85M","0.96%"
"06/20/2024","1,565","1,580","1,585","1,530","18.02M","-0.95%"
"06/19/2024","1,580","1,570","1,590","1,565","13.15M","0.64%"
"06/14/2024","1,570","1,585","1,595","1,565","34.27M","-1.26%"
"06/13/2024","1,590","1,590","1,595","1,575","8.74M","0.00%"
"06/12/2024","1,590","1,625","1,625","1,570","33.00M","-0.93%"
"06/11/2024","1,605","1,630","1,640","1,595","13.57M","-0.93%"
"06/10/2024","1,620","1,600","1,640","1,600","14.44M","1.25%"
"06/07/2024","1,600","1,590","1,605","1,575","5.30M","0.63%"
"06/06/2024","1,590","1,590","1,590","1,570","4.92M","1.27%"
"06/05/2024","1,570","1,595","1,595","1,565","11.68M","-1.88%"
"06/04/2024","1,600","1,605","1,615","1,580","26.48M","-0.31%"
"06/03/2024","1,605","1,600","1,615","1,585","38.93M","0.31%"
"05/31/2024","1,600","1,625","1,630","1,595","52.09M","-1.54%"
"05/30/2024","1,625","1,650","1,675","1,615","24.26M","-1.52%"
"05/29/2024","1,650","1,585","1,670","1,580","38.06M","4.43%"
"05/28/2024","1,580","1,580","1,585","1,560","33.15M","0.00%"
"05/27/2024","1,580","1,590","1,590","1,565","11.66M","-0.94%"
"05/22/2024","1,595","1,575","1,600","1,565","21.67M","1.59%"
"05/21/2024","1,570","1,615","1,620","1,565","25.94M","-2.48%"
"05/20/2024","1,610","1,585","1,610","1,585","20.67M","1.90%"
"05/17/2024","1,580","1,580","1,580","1,545","45.14M","0.00%"
"05/16/2024","1,580","1,625","1,625","1,570","38.04M","-2.77%"
"05/15/2024","1,625","1,635","1,635","1,600","29.33M","-0.61%"
"05/14/2024","1,635","1,645","1,650","1,615","37.60M","-0.91%"
"05/13/2024","1,650","1,625","1,660","1,610","29.13M","-0.60%"
"05/08/2024","1,660","1,660","1,670","1,630","24.33M","0.00%"
"05/07/2024","1,660","1,685","1,685","1,640","42.06M","-1.19%"
"05/06/2024","1,680","1,675","1,695","1,650","25.74M","1.82%"
"05/03/2024","1,650","1,650","1,665","1,635","25.98M","0.00%"
"05/02/2024","1,650","1,675","1,675","1,625","31.92M","-1.49%"
"04/30/2024","1,675","1,650","1,700","1,645","39.87M","1.52%"
"04/29/2024","1,650","1,630","1,655","1,580","49.23M","3.13%"
"04/26/2024","1,600","1,730","1,730","1,570","51.44M","-7.78%"
"04/25/2024","1,735","1,785","1,785","1,700","29.68M","-3.07%"
"04/24/2024","1,790","1,805","1,810","1,785","9.95M","-0.56%"
"04/23/2024","1,800","1,800","1,825","1,780","19.36M","0.28%"
"04/22/2024","1,795","1,850","1,850","1,770","28.93M","-2.71%"
"04/19/2024","1,845","1,855","1,860","1,830","30.28M","-0.27%"
"04/18/2024","1,850","1,780","1,860","1,765","74.64M","3.06%"
"04/17/2024","1,795","1,820","1,845","1,760","33.12M","-1.10%"
"04/16/2024","1,815","1,745","1,865","1,740","70.26M","4.61%"
"04/05/2024","1,735","1,770","1,770","1,725","16.68M","-1.98%"
"04/04/2024","1,770","1,785","1,785","1,755","18.91M","-0.28%"
"04/03/2024","1,775","1,790","1,805","1,765","21.82M","-0.84%"
"04/02/2024","1,790","1,715","1,790","1,715","46.45M","4.68%"
"04/01/2024","1,710","1,700","1,710","1,690","20.97M","-0.58%"
