"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","2,850","2,820","2,850","2,780","15.72M","1.79%"
"12/27/2024","2,800","2,800","2,870","2,780","8.55M","0.72%"
"12/24/2024","2,780","2,850","2,860","2,780","11.86M","-5.44%"
"12/23/2024","2,940","2,780","2,940","2,760","12.07M","5.76%"
"12/20/2024","2,780","2,780","2,850","2,770","32.58M","-1.07%"
"12/19/2024","2,810","2,820","2,860","2,750","30.40M","0.00%"
"12/18/2024","2,810","2,850","2,860","2,800","24.46M","-1.40%"
"12/17/2024","2,850","2,930","2,940","2,830","45.37M","-4.04%"
"12/16/2024","2,970","2,940","2,970","2,870","21.70M","0.34%"
"12/13/2024","2,960","2,940","2,960","2,890","16.01M","0.68%"
"12/12/2024","2,940","2,980","3,020","2,940","11.70M","-1.01%"
"12/11/2024","2,970","3,010","3,040","2,970","13.40M","-2.62%"
"12/10/2024","3,050","2,950","3,050","2,950","15.13M","3.74%"
"12/09/2024","2,940","3,040","3,040","2,940","17.78M","-4.23%"
"12/06/2024","3,070","3,000","3,170","2,940","28.65M","2.68%"
"12/05/2024","2,990","3,040","3,050","2,940","14.66M","-0.99%"
"12/04/2024","3,020","2,910","3,030","2,900","37.51M","4.14%"
"12/03/2024","2,900","2,940","2,940","2,860","33.64M","1.05%"
"12/02/2024","2,870","2,860","2,900","2,850","16.44M","0.70%"
"11/29/2024","2,850","2,870","2,900","2,830","34.04M","-0.70%"
"11/28/2024","2,870","2,900","2,900","2,820","32.43M","-1.03%"
"11/26/2024","2,900","2,950","2,960","2,870","35.65M","-2.68%"
"11/25/2024","2,980","2,930","3,020","2,920","59.33M","3.11%"
"11/22/2024","2,890","2,920","2,960","2,880","17.84M","0.00%"
"11/21/2024","2,890","2,890","3,000","2,820","39.74M","-0.69%"
"11/20/2024","2,910","2,960","2,970","2,880","16.39M","-1.69%"
"11/19/2024","2,960","2,920","3,000","2,890","18.34M","1.37%"
"11/18/2024","2,920","2,880","2,920","2,810","16.58M","1.39%"
"11/15/2024","2,880","2,940","2,980","2,870","31.15M","-2.37%"
"11/14/2024","2,950","2,970","2,990","2,910","21.88M","0.00%"
"11/13/2024","2,950","3,130","3,150","2,930","46.17M","-6.35%"
