"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","2,430","2,370","2,460","2,330","3.87M","2.97%"
"12/27/2024","2,360","2,400","2,400","2,330","1.87M","-1.26%"
"12/24/2024","2,390","2,430","2,440","2,330","3.02M","-0.42%"
"12/23/2024","2,400","2,270","2,420","2,270","6.20M","7.14%"
"12/20/2024","2,240","2,360","2,380","2,220","5.33M","-4.68%"
"12/19/2024","2,350","2,550","2,550","2,310","5.60M","-9.27%"
"12/18/2024","2,590","2,590","2,600","2,530","2.65M","0.00%"
"12/17/2024","2,590","2,620","2,660","2,520","3.89M","-0.38%"
"12/16/2024","2,600","2,650","2,650","2,560","4.34M","-1.14%"
"12/13/2024","2,630","2,610","2,640","2,590","2.82M","1.15%"
"12/12/2024","2,600","2,670","2,670","2,570","4.92M","-2.62%"
"12/11/2024","2,670","2,640","2,690","2,640","3.82M","-0.74%"
"12/10/2024","2,690","2,680","2,730","2,590","7.31M","0.37%"
"12/09/2024","2,680","2,710","2,730","2,660","2.46M","-0.74%"
"12/06/2024","2,700","2,560","2,750","2,560","11.50M","5.88%"
"12/05/2024","2,550","2,590","2,600","2,520","2.35M","-1.16%"
"12/04/2024","2,580","2,560","2,610","2,550","4.88M","0.00%"
"12/03/2024","2,580","2,500","2,600","2,500","5.67M","3.20%"
"12/02/2024","2,500","2,640","2,640","2,460","8.32M","-5.30%"
"11/29/2024","2,640","2,630","2,650","2,580","4.12M","-1.12%"
"11/28/2024","2,670","2,650","2,710","2,630","3.75M","1.14%"
"11/26/2024","2,640","2,740","2,740","2,630","4.85M","-3.65%"
"11/25/2024","2,740","2,740","2,770","2,680","9.78M","0.37%"
"11/22/2024","2,730","2,680","2,760","2,670","10.61M","2.63%"
"11/21/2024","2,660","2,670","2,750","2,660","9.07M","0.00%"
"11/20/2024","2,660","2,600","2,730","2,580","15.59M","4.31%"
"11/19/2024","2,550","2,480","2,620","2,480","7.66M","3.66%"
"11/18/2024","2,460","2,490","2,520","2,440","4.13M","-1.20%"
"11/15/2024","2,490","2,540","2,540","2,440","7.59M","-2.35%"
"11/14/2024","2,550","2,570","2,600","2,480","9.00M","-0.39%"
"11/13/2024","2,560","2,450","2,600","2,420","18.26M","4.07%"
"11/12/2024","2,460","2,500","2,530","2,410","13.04M","-1.60%"
"11/11/2024","2,500","2,600","2,630","2,400","9.48M","-3.85%"
"11/08/2024","2,600","2,580","2,640","2,550","2.20M","1.17%"
"11/07/2024","2,570","2,550","2,620","2,500","3.78M","0.39%"
"11/06/2024","2,560","2,740","2,750","2,560","7.07M","-6.57%"
