"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","920","920","925","900","73.37M","1.10%"
"12/27/2024","910","895","910","880","59.75M","1.68%"
"12/24/2024","895","880","920","880","118.53M","2.87%"
"12/23/2024","870","830","890","830","127.20M","6.10%"
"12/20/2024","820","835","850","815","78.11M","-1.20%"
"12/19/2024","830","865","865","830","90.03M","-5.14%"
"12/18/2024","875","890","905","875","66.75M","-1.13%"
"12/17/2024","885","880","910","870","99.28M","0.57%"
"12/16/2024","880","890","900","860","67.85M","-1.12%"
"12/13/2024","890","905","910","885","74.20M","-1.11%"
"12/12/2024","900","910","925","895","70.38M","-1.10%"
"12/11/2024","910","935","950","905","110.54M","-2.67%"
"12/10/2024","935","935","960","915","112.15M","0.00%"
"12/09/2024","935","955","960","930","88.06M","-2.09%"
"12/06/2024","955","940","975","935","177.68M","2.69%"
"12/05/2024","930","930","960","910","194.57M","0.54%"
"12/04/2024","925","870","935","855","220.05M","6.94%"
"12/03/2024","865","820","880","820","174.67M","6.79%"
"12/02/2024","810","855","860","805","113.56M","-5.26%"
"11/29/2024","855","880","885","820","240.80M","-3.93%"
"11/28/2024","890","900","915","875","150.04M","-0.56%"
"11/26/2024","895","890","920","860","338.87M","2.87%"
"11/25/2024","870","800","915","800","662.62M","8.75%"
"11/22/2024","800","800","820","785","121.22M","0.00%"
"11/21/2024","800","845","845","800","107.32M","-4.76%"
"11/20/2024","840","850","860","840","64.03M","-1.18%"
"11/19/2024","850","850","875","845","76.81M","0.59%"
"11/18/2024","845","855","885","840","72.21M","-1.17%"
"11/15/2024","855","885","895","855","74.64M","-3.39%"
"11/14/2024","885","900","905","885","65.71M","-0.56%"
"11/13/2024","890","910","920","890","97.22M","-1.66%"
"11/12/2024","905","930","945","905","94.86M","-2.69%"
"11/11/2024","930","950","955","905","88.40M","-1.06%"
"11/08/2024","940","905","965","905","130.39M","5.62%"
"11/07/2024","890","930","930","885","104.35M","-4.30%"
"11/06/2024","930","970","980","930","78.54M","-3.63%"
"11/05/2024","965","975","985","960","49.23M","-0.52%"
"11/04/2024","970","985","990","965","57.50M","-1.52%"
"11/01/2024","985","995","1,005","985","53.45M","-1.01%"
"10/31/2024","995","995","1,015","990","52.91M","0.00%"
"10/30/2024","995","1,005","1,005","990","32.90M","-0.50%"
"10/29/2024","1,000","1,000","1,015","995","35.79M","0.00%"
"10/28/2024","1,000","1,010","1,020","995","43.29M","-0.99%"
"10/25/2024","1,010","1,025","1,035","1,000","38.34M","-0.98%"
"10/24/2024","1,020","1,045","1,050","1,020","43.41M","-1.92%"
"10/23/2024","1,040","1,060","1,060","1,025","72.60M","-0.48%"
"10/22/2024","1,045","1,015","1,055","1,010","138.25M","2.96%"
"10/21/2024","1,015","1,025","1,030","1,010","32.19M","-0.49%"
"10/18/2024","1,020","1,035","1,040","1,015","55.84M","-0.97%"
"10/17/2024","1,030","1,010","1,035","1,005","98.87M","3.00%"
"10/16/2024","1,000","1,025","1,035","1,000","86.75M","-2.44%"
"10/15/2024","1,025","1,020","1,025","1,005","50.10M","0.99%"
"10/14/2024","1,015","995","1,030","995","72.19M","2.01%"
"10/11/2024","995","995","1,005","985","47.01M","0.51%"
"10/10/2024","990","1,000","1,010","990","45.14M","-1.00%"
"10/09/2024","1,000","1,015","1,020","1,000","43.83M","-0.99%"
"10/08/2024","1,010","1,010","1,020","995","58.64M","0.00%"
"10/07/2024","1,010","1,015","1,015","980","125.40M","0.00%"
"10/04/2024","1,010","1,025","1,035","1,005","80.20M","-0.49%"
"10/03/2024","1,015","1,040","1,050","1,015","194.25M","-1.46%"
"10/02/2024","1,030","1,070","1,070","1,015","147.30M","-3.74%"
"10/01/2024","1,070","1,055","1,075","1,055","52.06M","1.90%"
"09/30/2024","1,050","1,085","1,090","1,050","80.65M","-3.67%"
"09/27/2024","1,090","1,105","1,110","1,090","51.25M","-1.36%"
"09/26/2024","1,105","1,105","1,125","1,090","127.23M","0.00%"
"09/25/2024","1,105","1,125","1,125","1,095","106.10M","-1.34%"
"09/24/2024","1,120","1,085","1,120","1,080","260.78M","4.19%"
"09/23/2024","1,075","1,060","1,100","1,050","203.37M","0.94%"
"09/20/2024","1,065","1,090","1,130","1,060","516.25M","-10.88%"
"09/19/2024","1,195","1,140","1,200","1,140","282.21M","4.82%"
"09/18/2024","1,140","1,150","1,165","1,135","78.70M","-0.44%"
"09/17/2024","1,145","1,140","1,175","1,140","103.34M","0.44%"
"09/13/2024","1,140","1,165","1,165","1,130","94.23M","-0.87%"
"09/12/2024","1,150","1,205","1,240","1,145","428.35M","-3.36%"
"09/11/2024","1,190","1,110","1,195","1,105","453.79M","8.18%"
"09/10/2024","1,100","1,105","1,120","1,090","106.94M","0.92%"
"09/09/2024","1,090","1,090","1,105","1,090","70.99M","0.46%"
"09/06/2024","1,085","1,100","1,115","1,085","66.40M","-0.91%"
"09/05/2024","1,095","1,120","1,125","1,090","87.08M","-1.35%"
"09/04/2024","1,110","1,085","1,130","1,075","108.81M","0.45%"
"09/03/2024","1,105","1,130","1,135","1,105","78.20M","-1.34%"
"09/02/2024","1,120","1,140","1,160","1,120","102.56M","-2.18%"
"08/30/2024","1,145","1,140","1,160","1,110","183.23M","0.44%"
"08/29/2024","1,140","1,205","1,230","1,130","418.27M","-4.20%"
"08/28/2024","1,190","1,115","1,215","1,110","429.79M","7.21%"
"08/27/2024","1,110","1,130","1,135","1,105","75.62M","-1.33%"
"08/26/2024","1,125","1,135","1,180","1,120","233.51M","0.90%"
"08/23/2024","1,115","1,105","1,120","1,105","79.24M","1.36%"
"08/22/2024","1,100","1,090","1,130","1,085","124.18M","0.00%"
"08/21/2024","1,100","1,125","1,125","1,100","85.80M","-2.22%"
"08/20/2024","1,125","1,125","1,135","1,100","97.10M","0.45%"
"08/19/2024","1,120","1,105","1,135","1,105","89.76M","1.36%"
"08/16/2024","1,105","1,115","1,140","1,105","134.21M","0.00%"
"08/15/2024","1,105","1,125","1,145","1,095","136.03M","-1.78%"
"08/14/2024","1,125","1,050","1,125","1,050","253.61M","7.14%"
"08/13/2024","1,050","1,050","1,065","1,045","56.16M","0.00%"
"08/12/2024","1,050","1,050","1,055","1,040","44.27M","0.48%"
"08/09/2024","1,045","1,045","1,060","1,040","56.56M","0.97%"
"08/08/2024","1,035","1,050","1,055","1,030","63.57M","-0.96%"
"08/07/2024","1,045","1,020","1,065","1,020","137.86M","2.96%"
"08/06/2024","1,015","1,030","1,045","1,010","104.67M","0.00%"
"08/05/2024","1,015","1,065","1,065","1,000","210.47M","-6.88%"
"08/02/2024","1,090","1,120","1,125","1,090","115.35M","-2.68%"
"08/01/2024","1,120","1,105","1,125","1,095","141.78M","2.75%"
"07/31/2024","1,090","1,075","1,105","1,075","120.22M","1.40%"
"07/30/2024","1,075","1,095","1,110","1,070","118.79M","-1.38%"
"07/29/2024","1,090","1,070","1,130","1,065","279.58M","2.35%"
"07/26/2024","1,065","1,040","1,075","1,040","103.24M","2.90%"
"07/25/2024","1,035","1,065","1,070","1,035","132.01M","-2.82%"
"07/24/2024","1,065","1,070","1,105","1,055","188.49M","0.00%"
"07/23/2024","1,065","1,060","1,065","1,035","123.45M","0.95%"
"07/22/2024","1,055","1,070","1,100","1,055","200.43M","0.00%"
"07/19/2024","1,055","1,080","1,085","1,050","114.29M","-2.31%"
"07/18/2024","1,080","1,055","1,105","1,050","186.00M","2.37%"
"07/17/2024","1,055","1,080","1,090","1,035","151.81M","-3.65%"
"07/16/2024","1,095","1,105","1,115","1,085","92.30M","-0.90%"
"07/15/2024","1,105","1,135","1,140","1,100","141.11M","-2.21%"
"07/12/2024","1,130","1,120","1,130","1,095","125.37M","1.80%"
"07/11/2024","1,110","1,115","1,125","1,090","104.59M","0.00%"
"07/10/2024","1,110","1,115","1,145","1,085","203.92M","0.00%"
"07/09/2024","1,110","1,130","1,155","1,100","188.23M","-0.89%"
"07/08/2024","1,120","1,195","1,205","1,090","428.86M","-8.20%"
"07/05/2024","1,220","1,270","1,300","1,205","386.28M","-3.17%"
"07/04/2024","1,260","1,235","1,290","1,235","353.08M","2.86%"
"07/03/2024","1,225","1,185","1,235","1,175","380.12M","4.26%"
"07/02/2024","1,175","1,145","1,240","1,125","646.85M","3.98%"
"07/01/2024","1,130","1,000","1,145","980","468.22M","14.14%"
"06/28/2024","990","965","1,010","960","159.88M","2.59%"
"06/27/2024","965","960","980","955","80.59M","0.52%"
"06/26/2024","960","955","995","955","151.89M","1.59%"
"06/25/2024","945","965","970","945","89.01M","-2.07%"
"06/24/2024","965","950","975","945","92.97M","1.58%"
"06/21/2024","950","935","970","930","199.48M","3.83%"
"06/20/2024","915","915","940","900","106.61M","1.10%"
"06/19/2024","905","955","965","905","142.46M","-4.74%"
"06/14/2024","950","985","995","950","112.89M","-3.06%"
"06/13/2024","980","1,005","1,005","975","75.43M","-1.51%"
"06/12/2024","995","985","1,010","975","125.84M","1.02%"
"06/11/2024","985","1,040","1,065","985","271.12M","-4.83%"
"06/10/2024","1,035","965","1,055","960","345.44M","7.25%"
"06/07/2024","965","985","990","960","81.35M","-1.03%"
"06/06/2024","975","960","985","960","97.15M","2.09%"
"06/05/2024","955","1,020","1,025","955","265.15M","-8.61%"
"06/04/2024","1,045","1,070","1,085","1,045","147.76M","-2.79%"
"06/03/2024","1,075","1,065","1,100","1,050","259.82M","0.94%"
"05/31/2024","1,065","1,055","1,080","1,030","392.29M","1.43%"
"05/30/2024","1,050","1,065","1,100","1,040","201.86M","-1.41%"
"05/29/2024","1,065","1,170","1,175","1,060","259.65M","-8.97%"
"05/28/2024","1,170","1,080","1,230","1,075","421.64M","8.33%"
"05/27/2024","1,080","1,185","1,220","1,045","338.04M","-8.86%"
"05/22/2024","1,185","1,270","1,290","1,180","270.74M","-6.32%"
"05/21/2024","1,265","1,210","1,330","1,205","529.94M","5.42%"
"05/20/2024","1,200","1,345","1,410","1,180","485.63M","-10.45%"
"05/17/2024","1,340","1,285","1,460","1,260","1.14B","4.28%"
"05/16/2024","1,285","1,040","1,285","1,040","568.24M","24.76%"
"05/15/2024","1,030","975","1,030","960","168.60M","7.29%"
"05/14/2024","960","985","1,005","960","68.66M","-2.04%"
"05/13/2024","980","985","990","965","52.59M","0.00%"
"05/08/2024","980","985","995","960","60.59M","0.00%"
"05/07/2024","980","1,005","1,015","980","60.52M","-2.49%"
"05/06/2024","1,005","1,010","1,010","985","53.43M","2.55%"
"05/03/2024","980","1,000","1,020","980","63.46M","-2.00%"
"05/02/2024","1,000","1,015","1,075","990","214.66M","-1.96%"
"04/30/2024","1,020","970","1,020","965","198.26M","6.81%"
"04/29/2024","955","890","975","880","133.30M","9.14%"
"04/26/2024","875","930","945","875","104.34M","-5.91%"
"04/25/2024","930","955","955","930","46.46M","-2.11%"
"04/24/2024","950","950","965","945","42.07M","1.06%"
"04/23/2024","940","950","960","935","68.04M","-1.57%"
"04/22/2024","955","950","965","940","39.87M","0.53%"
"04/19/2024","950","960","970","940","65.03M","-1.04%"
"04/18/2024","960","1,000","1,005","955","91.77M","-3.52%"
"04/17/2024","995","1,010","1,045","995","117.69M","-1.49%"
"04/16/2024","1,010","990","1,020","965","90.08M","0.50%"
"04/05/2024","1,005","970","1,020","970","122.81M","3.61%"
"04/04/2024","970","960","980","960","36.29M","1.04%"
"04/03/2024","960","1,000","1,005","960","69.16M","-4.00%"
"04/02/2024","1,000","955","1,000","950","122.57M","5.26%"
"04/01/2024","950","965","970","935","56.75M","0.53%"
"03/28/2024","945","950","960","935","59.46M","0.00%"
"03/27/2024","945","970","975","945","38.41M","-3.08%"
"03/26/2024","975","970","985","960","48.88M","0.52%"
"03/25/2024","970","945","970","925","91.66M","2.65%"
"03/22/2024","945","960","960","940","87.54M","-1.05%"
"03/21/2024","955","960","970","950","71.01M","0.00%"
"03/20/2024","955","960","980","950","66.38M","-0.52%"
"03/19/2024","960","965","975","960","44.53M","0.00%"
"03/18/2024","960","990","995","960","64.76M","-2.54%"
"03/15/2024","985","1,030","1,030","980","123.47M","-4.83%"
"03/14/2024","1,035","1,025","1,060","1,010","135.42M","0.98%"
"03/13/2024","1,025","1,015","1,030","1,005","84.49M","1.49%"
"03/08/2024","1,010","1,025","1,045","1,005","96.89M","-0.98%"
"03/07/2024","1,020","985","1,050","975","175.04M","4.08%"
"03/06/2024","980","955","990","955","72.51M","2.62%"
"03/05/2024","955","1,015","1,020","950","123.11M","-5.91%"
"03/04/2024","1,015","1,010","1,025","1,005","71.06M","1.00%"
"03/01/2024","1,005","980","1,025","970","117.34M","3.08%"
"02/29/2024","975","965","990","960","119.44M","1.04%"
"02/28/2024","965","975","995","965","75.56M","-0.52%"
"02/27/2024","970","955","975","945","57.58M","1.57%"
"02/26/2024","955","985","985","950","49.88M","-2.05%"
"02/23/2024","975","990","995","970","49.71M","-1.02%"
"02/22/2024","985","985","995","975","36.67M","0.00%"
"02/21/2024","985","1,010","1,010","975","75.30M","-2.48%"
"02/20/2024","1,010","1,005","1,010","980","78.51M","1.00%"
"02/19/2024","1,000","1,010","1,030","1,000","64.45M","-0.99%"
"02/16/2024","1,010","1,005","1,040","1,005","118.86M","0.50%"
"02/15/2024","1,005","1,025","1,025","990","182.08M","3.08%"
"02/13/2024","975","1,010","1,015","965","163.95M","-3.94%"
"02/12/2024","1,015","1,055","1,055","1,010","107.36M","-3.33%"
"02/07/2024","1,050","1,050","1,055","1,030","80.69M","0.48%"
"02/06/2024","1,045","1,030","1,045","1,010","87.23M","1.46%"
"02/05/2024","1,030","1,050","1,075","1,025","125.10M","-1.90%"
"02/02/2024","1,050","1,060","1,065","1,025","85.92M","-0.47%"
"02/01/2024","1,055","1,070","1,080","1,040","110.02M","-0.47%"
"01/31/2024","1,060","1,020","1,070","1,020","187.73M","4.43%"
"01/30/2024","1,015","1,025","1,040","1,010","95.76M","-0.98%"
"01/29/2024","1,025","1,035","1,055","1,000","127.18M","-0.97%"
"01/26/2024","1,035","1,065","1,070","1,020","128.67M","-2.82%"
"01/25/2024","1,065","1,105","1,105","1,060","79.37M","-1.39%"
"01/24/2024","1,080","1,125","1,145","1,065","216.22M","-3.57%"
"01/23/2024","1,120","1,095","1,120","1,090","161.64M","2.75%"
"01/22/2024","1,090","1,085","1,105","1,065","118.10M","0.46%"
"01/19/2024","1,085","1,120","1,130","1,070","170.25M","-2.25%"
"01/18/2024","1,110","1,050","1,155","1,040","532.41M","5.71%"
"01/17/2024","1,050","1,075","1,075","1,020","157.16M","-1.41%"
"01/16/2024","1,065","1,020","1,070","1,010","169.28M","4.93%"
"01/15/2024","1,015","1,090","1,110","1,005","240.37M","-4.69%"
"01/12/2024","1,065","1,060","1,090","1,045","102.96M","0.47%"
"01/11/2024","1,060","1,120","1,135","1,050","149.30M","-4.93%"
"01/10/2024","1,115","1,080","1,160","1,055","279.70M","3.24%"
"01/09/2024","1,080","1,325","1,325","1,075","403.50M","-18.18%"
"01/08/2024","1,320","1,355","1,375","1,310","90.46M","-2.22%"
"01/05/2024","1,350","1,375","1,380","1,335","73.68M","-1.46%"
"01/04/2024","1,370","1,360","1,390","1,350","83.36M","1.11%"
"01/03/2024","1,355","1,385","1,395","1,340","95.32M","-2.17%"
"01/02/2024","1,385","1,335","1,435","1,330","212.98M","4.14%"
"12/29/2023","1,330","1,375","1,385","1,330","108.61M","-3.27%"
"12/28/2023","1,375","1,430","1,445","1,360","125.08M","-3.51%"
"12/27/2023","1,425","1,415","1,485","1,415","184.27M","1.06%"
"12/22/2023","1,410","1,485","1,500","1,405","130.87M","-4.41%"
"12/21/2023","1,475","1,500","1,515","1,450","181.02M","-2.64%"
"12/20/2023","1,515","1,600","1,605","1,500","245.68M","-3.50%"
"12/19/2023","1,570","1,465","1,575","1,435","299.54M","7.17%"
"12/18/2023","1,465","1,625","1,670","1,350","515.34M","-9.01%"
"12/15/2023","1,610","1,600","1,670","1,530","300.35M","-0.31%"
"12/14/2023","1,615","1,730","1,740","1,595","340.03M","-5.56%"
"12/13/2023","1,710","1,765","1,830","1,685","397.89M","-2.56%"
"12/12/2023","1,755","1,780","1,795","1,615","495.89M","2.33%"
"12/11/2023","1,715","1,760","1,920","1,590","681.54M","-2.00%"
"12/08/2023","1,750","1,625","1,950","1,530","1.38B","9.38%"
"12/07/2023","1,600","1,390","1,600","1,355","1.41B","22.14%"
"12/06/2023","1,310","1,075","1,310","1,070","822.68M","24.76%"
"12/05/2023","1,050","1,020","1,050","1,010","127.53M","3.45%"
"12/04/2023","1,015","1,030","1,050","1,005","118.46M","0.00%"
"12/01/2023","1,015","1,050","1,055","1,015","102.92M","-2.87%"
"11/30/2023","1,045","1,030","1,075","1,015","384.20M","1.46%"
"11/29/2023","1,030","1,015","1,055","1,010","172.25M","1.98%"
"11/28/2023","1,010","945","1,025","945","280.11M","6.88%"
