"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","4,760","4,730","4,820","4,710","3.71M","0.00%"
"12/27/2024","4,760","4,740","4,830","4,740","1.90M","0.63%"
"12/24/2024","4,730","4,850","4,860","4,730","2.11M","-2.47%"
"12/23/2024","4,850","4,700","4,910","4,700","3.15M","4.08%"
"12/20/2024","4,660","4,620","4,720","4,620","21.42M","1.30%"
"12/19/2024","4,600","4,740","4,740","4,600","5.22M","-3.16%"
"12/18/2024","4,750","4,830","4,840","4,750","3.66M","-1.86%"
"12/17/2024","4,840","4,880","4,920","4,810","2.47M","-0.82%"
"12/16/2024","4,880","4,950","4,950","4,850","2.55M","-1.41%"
"12/13/2024","4,950","4,960","4,970","4,930","2.06M","0.00%"
"12/12/2024","4,950","4,990","5,050","4,930","3.31M","-0.80%"
"12/11/2024","4,990","4,910","4,990","4,910","2.52M","1.22%"
"12/10/2024","4,930","4,920","4,960","4,870","4.13M","0.41%"
"12/09/2024","4,910","4,920","4,980","4,910","2.17M","0.00%"
"12/06/2024","4,910","4,930","5,200","4,850","6.93M","-0.41%"
"12/05/2024","4,930","4,970","4,970","4,870","3.36M","-1.00%"
"12/04/2024","4,980","4,740","4,990","4,740","6.12M","5.06%"
"12/03/2024","4,740","4,720","4,770","4,690","5.59M","0.42%"
"12/02/2024","4,720","4,670","4,790","4,670","2.40M","1.07%"
"11/29/2024","4,670","4,760","4,780","4,670","4.70M","-1.68%"
"11/28/2024","4,750","4,720","4,770","4,660","3.41M","1.71%"
"11/26/2024","4,670","4,680","4,710","4,650","3.74M","-0.21%"
"11/25/2024","4,680","4,700","4,780","4,680","10.80M","-0.43%"
"11/22/2024","4,700","4,660","4,750","4,590","6.70M","0.86%"
"11/21/2024","4,660","4,740","4,740","4,660","4.18M","-1.06%"
"11/20/2024","4,710","4,800","4,800","4,710","2.70M","-0.84%"
"11/19/2024","4,750","4,760","4,810","4,750","2.22M","-0.21%"
"11/18/2024","4,760","4,800","4,800","4,740","2.37M","-0.63%"
"11/15/2024","4,790","4,880","4,880","4,780","2.20M","-1.84%"
"11/14/2024","4,880","4,900","4,920","4,870","3.89M","0.21%"
"11/13/2024","4,870","4,800","4,910","4,780","3.29M","1.46%"
"11/12/2024","4,800","4,760","4,840","4,760","4.98M","0.84%"
"11/11/2024","4,760","4,860","4,870","4,760","4.67M","-2.06%"
"11/08/2024","4,860","4,870","4,920","4,860","1.99M","-0.61%"
"11/07/2024","4,890","5,075","5,075","4,890","8.19M","-3.65%"
"11/06/2024","5,075","4,910","5,100","4,890","10.05M","3.57%"
"11/05/2024","4,900","4,980","4,980","4,900","2.41M","-1.61%"
"11/04/2024","4,980","4,890","4,980","4,850","5.67M","1.84%"
"11/01/2024","4,890","5,200","5,200","4,860","14.79M","-6.86%"
"10/31/2024","5,250","5,125","5,250","4,990","10.68M","2.44%"
"10/30/2024","5,125","5,275","5,275","5,125","5.54M","-2.84%"
"10/29/2024","5,275","5,125","5,300","5,125","11.33M","2.93%"
"10/28/2024","5,125","5,150","5,150","5,025","3.41M","-0.49%"
"10/25/2024","5,150","5,200","5,200","5,125","5.80M","0.00%"
"10/24/2024","5,150","5,050","5,200","5,050","11.88M","1.48%"
"10/23/2024","5,075","5,000","5,075","4,990","3.50M","1.70%"
"10/22/2024","4,990","5,050","5,050","4,980","4.58M","-1.19%"
"10/21/2024","5,050","5,125","5,150","5,050","5.45M","-0.98%"
"10/18/2024","5,100","5,025","5,100","4,930","9.28M","2.00%"
"10/17/2024","5,000","5,050","5,050","4,990","3.87M","-0.99%"
"10/16/2024","5,050","4,970","5,050","4,950","10.16M","1.61%"
"10/15/2024","4,970","4,950","4,990","4,910","6.31M","0.40%"
"10/14/2024","4,950","4,870","4,950","4,870","5.33M","1.85%"
"10/11/2024","4,860","4,950","4,950","4,850","2.49M","-0.61%"
"10/10/2024","4,890","4,850","4,940","4,820","7.21M","0.82%"
"10/09/2024","4,850","4,850","4,860","4,830","3.13M","0.00%"
"10/08/2024","4,850","4,840","4,860","4,800","6.67M","0.21%"
"10/07/2024","4,840","4,760","4,840","4,760","5.01M","1.68%"
"10/04/2024","4,760","4,740","4,760","4,720","4.24M","0.42%"
"10/03/2024","4,740","4,730","4,750","4,700","2.97M","0.21%"
"10/02/2024","4,730","4,720","4,760","4,700","5.80M","0.21%"
"10/01/2024","4,720","4,710","4,740","4,700","8.92M","0.43%"
"09/30/2024","4,700","4,800","4,810","4,700","14.40M","-2.08%"
"09/27/2024","4,800","4,890","4,890","4,790","9.60M","-1.64%"
"09/26/2024","4,880","4,920","4,920","4,820","12.96M","-0.81%"
"09/25/2024","4,920","4,960","4,960","4,850","8.73M","0.00%"
"09/24/2024","4,920","4,980","4,980","4,910","6.29M","-0.81%"
"09/23/2024","4,960","5,050","5,050","4,920","8.82M","-0.80%"
"09/20/2024","5,000","5,050","5,075","4,970","20.26M","-0.99%"
"09/19/2024","5,050","4,940","5,050","4,940","13.06M","2.23%"
"09/18/2024","4,940","4,960","4,980","4,920","8.15M","-0.40%"
"09/17/2024","4,960","4,830","4,960","4,820","11.97M","3.33%"
"09/13/2024","4,800","4,850","4,850","4,800","7.67M","-1.03%"
"09/12/2024","4,850","4,770","4,870","4,770","8.07M","1.89%"
"09/11/2024","4,760","4,830","4,860","4,760","6.97M","-1.45%"
"09/10/2024","4,830","4,850","4,870","4,800","5.67M","0.63%"
"09/09/2024","4,800","4,800","4,830","4,760","6.56M","0.21%"
"09/06/2024","4,790","4,840","4,890","4,780","11.41M","-1.24%"
"09/05/2024","4,850","4,840","4,910","4,830","8.89M","0.41%"
"09/04/2024","4,830","4,850","4,850","4,780","7.37M","-0.41%"
"09/03/2024","4,850","4,860","4,870","4,820","8.62M","0.00%"
"09/02/2024","4,850","4,860","4,910","4,850","7.50M","-0.21%"
"08/30/2024","4,860","4,960","4,960","4,860","28.10M","-1.82%"
"08/29/2024","4,950","5,050","5,050","4,950","5.54M","-1.00%"
"08/28/2024","5,000","5,100","5,100","4,990","7.27M","-1.48%"
"08/27/2024","5,075","5,025","5,100","4,980","5.71M","1.50%"
"08/26/2024","5,000","5,025","5,050","4,960","8.29M","-0.50%"
"08/23/2024","5,025","5,075","5,100","5,000","5.68M","-0.99%"
"08/22/2024","5,075","5,025","5,075","5,000","9.05M","0.50%"
"08/21/2024","5,050","5,125","5,150","5,025","6.56M","-0.98%"
"08/20/2024","5,100","5,050","5,125","5,025","7.53M","2.00%"
"08/19/2024","5,000","5,100","5,150","5,000","7.97M","-2.91%"
"08/16/2024","5,150","5,250","5,250","5,150","3.92M","-0.96%"
"08/15/2024","5,200","5,175","5,325","5,100","19.89M","0.48%"
"08/14/2024","5,175","5,125","5,175","5,050","12.38M","0.49%"
"08/13/2024","5,150","5,200","5,200","5,025","16.38M","0.00%"
"08/12/2024","5,150","5,175","5,175","5,100","4.17M","-0.48%"
"08/09/2024","5,175","5,250","5,300","5,125","3.93M","-1.43%"
"08/08/2024","5,250","5,275","5,325","5,225","4.37M","-0.94%"
"08/07/2024","5,300","5,125","5,300","5,125","5.52M","3.92%"
"08/06/2024","5,100","5,250","5,300","5,100","5.66M","-0.97%"
"08/05/2024","5,150","5,200","5,250","5,100","3.50M","-1.90%"
"08/02/2024","5,250","5,250","5,275","5,075","11.50M","0.00%"
"08/01/2024","5,250","5,200","5,275","5,200","2.75M","0.48%"
"07/31/2024","5,225","5,250","5,275","5,150","7.41M","0.48%"
"07/30/2024","5,200","5,225","5,250","5,150","2.91M","0.48%"
"07/29/2024","5,175","5,275","5,325","5,150","7.80M","-2.36%"
"07/26/2024","5,300","5,450","5,450","5,300","2.57M","-2.30%"
"07/25/2024","5,425","5,400","5,425","5,250","6.45M","0.46%"
"07/24/2024","5,400","5,425","5,475","5,325","1.35M","0.00%"
"07/23/2024","5,400","5,425","5,625","5,375","4.15M","-1.37%"
"07/22/2024","5,475","5,525","5,525","5,425","1.55M","0.00%"
"07/19/2024","5,475","5,450","5,525","5,375","3.17M","-1.35%"
"07/18/2024","5,550","5,400","5,550","5,400","2.91M","1.37%"
"07/17/2024","5,475","5,550","5,550","5,400","2.54M","0.92%"
"07/16/2024","5,425","5,600","5,600","5,400","2.13M","-1.36%"
"07/15/2024","5,500","5,575","5,575","5,400","2.95M","-0.90%"
"07/12/2024","5,550","5,575","5,575","5,425","2.67M","0.45%"
"07/11/2024","5,525","5,425","5,650","5,425","12.83M","1.84%"
"07/10/2024","5,425","5,300","5,425","5,250","4.57M","2.36%"
"07/09/2024","5,300","5,275","5,300","5,225","1.80M","0.47%"
"07/08/2024","5,275","5,325","5,325","5,200","1.56M","0.00%"
"07/05/2024","5,275","5,250","5,350","5,150","2.67M","0.48%"
"07/04/2024","5,250","5,150","5,275","5,100","4.35M","1.94%"
"07/03/2024","5,150","5,125","5,150","5,025","4.21M","1.48%"
"07/02/2024","5,075","5,125","5,125","5,025","2.50M","-0.49%"
"07/01/2024","5,100","5,100","5,150","5,075","4.43M","0.49%"
"06/28/2024","5,075","5,000","5,075","4,980","3.87M","1.00%"
"06/27/2024","5,025","5,150","5,150","5,025","3.22M","-0.99%"
"06/26/2024","5,075","5,000","5,125","5,000","3.91M","1.00%"
"06/25/2024","5,025","5,100","5,125","5,000","2.53M","-1.47%"
"06/24/2024","5,100","4,830","5,100","4,820","7.44M","6.69%"
"06/21/2024","4,780","4,780","4,900","4,770","17.82M","0.00%"
"06/20/2024","4,780","4,820","4,840","4,760","4.44M","-0.83%"
"06/19/2024","4,820","4,900","4,960","4,820","3.20M","-1.63%"
"06/14/2024","4,900","5,150","5,150","4,830","7.14M","-3.92%"
"06/13/2024","5,100","5,175","5,275","5,100","4.79M","-1.45%"
"06/12/2024","5,175","5,200","5,225","5,150","4.58M","1.47%"
"06/11/2024","5,100","5,150","5,225","5,100","4.65M","-1.92%"
"06/10/2024","5,200","5,300","5,300","5,175","4.28M","-0.48%"
"06/07/2024","5,225","5,225","5,375","5,225","3.81M","0.00%"
"06/06/2024","5,225","5,325","5,350","5,150","2.42M","0.00%"
"06/05/2024","5,225","5,275","5,300","5,200","4.04M","0.48%"
"06/04/2024","5,200","5,200","5,325","5,200","5.66M","0.00%"
"06/03/2024","5,200","5,150","5,275","5,150","5.36M","0.00%"
"05/31/2024","5,200","5,250","5,300","5,200","20.19M","0.00%"
"05/30/2024","5,200","5,250","5,325","5,175","7.81M","0.00%"
"05/29/2024","5,200","5,200","5,250","5,150","4.49M","-0.95%"
"05/28/2024","5,250","5,275","5,350","5,175","4.26M","0.96%"
"05/27/2024","5,200","5,250","5,250","5,125","6.44M","-0.48%"
"05/22/2024","5,225","5,225","5,250","5,150","4.43M","0.97%"
"05/21/2024","5,175","5,250","5,250","5,125","6.78M","-0.96%"
"05/20/2024","5,225","5,275","5,325","5,175","3.10M","-0.95%"
"05/17/2024","5,275","5,375","5,400","5,225","2.18M","-1.86%"
"05/16/2024","5,375","5,400","5,425","5,350","14.04M","0.00%"
"05/15/2024","5,375","5,300","5,400","5,275","7.34M","1.90%"
"05/14/2024","5,275","5,225","5,375","5,225","8.26M","1.93%"
"05/13/2024","5,175","5,275","5,300","5,150","7.40M","-2.36%"
"05/08/2024","5,300","5,325","5,325","5,250","7.15M","0.00%"
"05/07/2024","5,300","5,300","5,325","5,225","6.49M","0.00%"
"05/06/2024","5,300","5,200","5,325","5,075","12.19M","6.00%"
"05/03/2024","5,000","4,930","5,025","4,880","5.11M","2.88%"
"05/02/2024","4,860","5,025","5,050","4,860","6.10M","-1.82%"
"04/30/2024","4,950","4,950","5,075","4,920","8.16M","-1.00%"
"04/29/2024","5,000","4,950","5,000","4,850","4.82M","3.73%"
"04/26/2024","4,820","5,050","5,050","4,820","4.52M","-4.08%"
"04/25/2024","5,025","5,000","5,075","4,920","3.99M","1.52%"
"04/24/2024","4,950","5,000","5,050","4,950","1.75M","-1.00%"
"04/23/2024","5,000","5,025","5,125","4,960","7.85M","0.20%"
"04/22/2024","4,990","5,000","5,025","4,950","5.25M","0.81%"
"04/19/2024","4,950","4,840","5,025","4,820","7.79M","1.85%"
"04/18/2024","4,860","5,075","5,100","4,860","6.42M","-4.24%"
"04/17/2024","5,075","5,075","5,250","5,050","7.44M","1.00%"
"04/16/2024","5,025","5,400","5,400","5,000","12.06M","-4.74%"
"04/05/2024","5,275","5,350","5,400","5,275","3.50M","-0.94%"
"04/04/2024","5,325","5,250","5,400","5,225","9.42M","1.91%"
"04/03/2024","5,225","5,375","5,375","5,225","5.02M","-2.34%"
"04/02/2024","5,350","5,250","5,375","5,175","10.16M","2.88%"
"04/01/2024","5,200","5,250","5,250","5,125","3.53M","-0.95%"
"03/28/2024","5,250","5,175","5,250","5,125","8.50M","1.45%"
"03/27/2024","5,175","5,200","5,250","5,100","11.45M","-0.96%"
"03/26/2024","5,225","5,275","5,275","5,125","13.31M","-1.42%"
"03/25/2024","5,300","5,275","5,325","5,200","5.16M","0.00%"
"03/22/2024","5,300","5,300","5,300","5,175","10.11M","0.47%"
"03/21/2024","5,275","5,300","5,300","5,200","4.95M","-0.47%"
"03/20/2024","5,300","5,325","5,325","5,175","4.72M","-0.47%"
"03/19/2024","5,325","5,200","5,325","5,150","7.75M","3.40%"
"03/18/2024","5,150","5,225","5,250","5,125","6.65M","-1.44%"
"03/15/2024","5,225","5,250","5,300","5,175","16.98M","-0.48%"
"03/14/2024","5,250","5,150","5,250","5,150","10.79M","1.94%"
"03/13/2024","5,150","5,175","5,225","5,125","5.51M","-0.48%"
"03/08/2024","5,175","5,125","5,225","5,100","11.08M","1.47%"
"03/07/2024","5,100","4,900","5,150","4,890","20.51M","4.29%"
"03/06/2024","4,890","4,830","4,930","4,830","6.04M","1.24%"
"03/05/2024","4,830","4,900","4,900","4,830","6.48M","-1.43%"
"03/04/2024","4,900","4,930","4,990","4,900","9.49M","-0.61%"
"03/01/2024","4,930","4,830","4,980","4,830","10.84M","1.86%"
"02/29/2024","4,840","4,890","4,900","4,820","9.17M","-1.02%"
"02/28/2024","4,890","4,910","4,910","4,850","4.03M","0.00%"
"02/27/2024","4,890","4,930","4,930","4,850","7.64M","-0.41%"
"02/26/2024","4,910","4,780","4,930","4,740","13.58M","3.59%"
"02/23/2024","4,740","4,800","4,800","4,740","2.55M","-1.25%"
"02/22/2024","4,800","4,750","4,810","4,720","4.36M","1.69%"
"02/21/2024","4,720","4,800","4,800","4,700","7.78M","-1.67%"
"02/20/2024","4,800","4,750","4,830","4,750","5.26M","1.05%"
"02/19/2024","4,750","4,800","4,800","4,720","2.94M","-1.04%"
"02/16/2024","4,800","4,900","4,900","4,740","9.43M","-2.04%"
"02/15/2024","4,900","4,800","4,920","4,800","14.39M","2.94%"
"02/13/2024","4,760","4,750","4,820","4,720","4.03M","0.21%"
"02/12/2024","4,750","4,730","4,780","4,650","9.37M","0.85%"
"02/07/2024","4,710","4,840","4,840","4,710","6.46M","-2.69%"
"02/06/2024","4,840","4,750","4,860","4,710","10.85M","2.54%"
"02/05/2024","4,720","4,640","4,780","4,610","11.62M","1.72%"
"02/02/2024","4,640","4,450","4,650","4,430","8.40M","4.50%"
"02/01/2024","4,440","4,480","4,510","4,410","8.49M","-0.89%"
"01/31/2024","4,480","4,530","4,570","4,480","8.79M","-1.10%"
"01/30/2024","4,530","4,520","4,550","4,510","5.54M","-0.44%"
"01/29/2024","4,550","4,490","4,550","4,490","3.87M","1.11%"
"01/26/2024","4,500","4,590","4,590","4,500","3.98M","-1.96%"
"01/25/2024","4,590","4,620","4,650","4,570","4.66M","-0.22%"
"01/24/2024","4,600","4,550","4,600","4,510","3.75M","1.10%"
