"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","810","825","835","800","21.79M","-1.22%"
"12/27/2024","820","805","825","805","5.46M","1.86%"
"12/24/2024","805","850","850","805","7.86M","-4.17%"
"12/23/2024","840","815","850","810","32.54M","3.07%"
"12/20/2024","815","750","815","740","22.93M","7.95%"
"12/19/2024","755","770","770","745","9.86M","-1.95%"
"12/18/2024","770","790","795","765","16.51M","-2.53%"
"12/17/2024","790","800","800","780","12.03M","-1.25%"
"12/16/2024","800","805","810","780","22.04M","-0.62%"
"12/13/2024","805","815","820","800","8.69M","-0.62%"
"12/12/2024","810","825","830","795","20.85M","0.00%"
"12/11/2024","810","820","840","805","45.15M","-0.61%"
"12/10/2024","815","815","825","795","43.07M","0.00%"
"12/09/2024","815","815","820","810","10.22M","0.00%"
"12/06/2024","815","815","815","800","6.55M","0.62%"
"12/05/2024","810","825","830","800","12.16M","-1.82%"
"12/04/2024","825","845","850","825","13.40M","-1.79%"
"12/03/2024","840","830","845","820","19.14M","1.20%"
"12/02/2024","830","820","840","795","22.74M","1.22%"
"11/29/2024","820","815","820","775","39.93M","1.23%"
"11/28/2024","810","850","855","800","13.74M","-2.99%"
"11/26/2024","835","830","855","825","11.30M","1.83%"
"11/25/2024","820","835","850","820","46.63M","-1.80%"
"11/22/2024","835","845","850","835","5.47M","-0.60%"
"11/21/2024","840","845","855","840","6.59M","0.60%"
"11/20/2024","835","860","865","825","12.40M","-2.34%"
"11/19/2024","855","840","875","840","16.48M","1.79%"
"11/18/2024","840","845","845","825","11.90M","0.00%"
"11/15/2024","840","835","850","825","22.78M","1.20%"
"11/14/2024","830","820","840","810","12.21M","0.61%"
"11/13/2024","825","885","885","825","24.66M","-5.17%"
"11/12/2024","870","825","880","815","26.05M","6.75%"
"11/11/2024","815","840","845","805","21.44M","-2.98%"
"11/08/2024","840","880","885","835","24.74M","-4.55%"
"11/07/2024","880","935","940","860","37.16M","-5.88%"
"11/06/2024","935","935","945","925","13.34M","0.54%"
"11/05/2024","930","950","970","925","29.73M","-2.11%"
"11/04/2024","950","955","965","940","17.58M","-1.55%"
"11/01/2024","965","990","990","945","21.37M","-2.03%"
"10/31/2024","985","965","985","965","27.80M","2.07%"
"10/30/2024","965","945","965","930","20.87M","2.66%"
"10/29/2024","940","960","960","920","21.35M","-1.05%"
"10/28/2024","950","950","965","945","28.15M","0.53%"
"10/25/2024","945","975","975","935","22.89M","-3.08%"
"10/24/2024","975","950","985","950","26.43M","2.63%"
"10/23/2024","950","985","995","945","40.69M","-3.06%"
"10/22/2024","980","970","1,010","960","112.52M","2.62%"
"10/21/2024","955","945","970","940","26.00M","2.14%"
"10/18/2024","935","950","950","930","16.02M","-1.58%"
"10/17/2024","950","940","980","930","58.06M","2.15%"
"10/16/2024","930","955","960","930","35.95M","-2.62%"
"10/15/2024","955","935","960","935","30.07M","2.14%"
"10/14/2024","935","945","955","935","14.31M","-0.53%"
"10/11/2024","940","960","960","930","13.21M","-0.53%"
"10/10/2024","945","950","955","935","20.27M","0.00%"
"10/09/2024","945","935","970","920","83.60M","1.07%"
"10/08/2024","935","940","950","910","20.09M","0.00%"
"10/07/2024","935","935","950","905","25.14M","1.08%"
"10/04/2024","925","960","965","920","14.91M","-3.65%"
"10/03/2024","960","970","980","935","32.93M","-0.52%"
"10/02/2024","965","975","975","940","42.27M","0.00%"
"10/01/2024","965","885","980","875","146.96M","9.04%"
"09/30/2024","885","865","890","850","24.10M","2.31%"
"09/27/2024","865","885","895","855","32.34M","-2.81%"
"09/26/2024","890","865","900","855","52.95M","2.89%"
"09/25/2024","865","830","865","830","55.41M","4.85%"
"09/24/2024","825","825","830","815","12.07M","0.61%"
"09/23/2024","820","800","825","800","20.80M","2.50%"
"09/20/2024","800","805","815","785","12.26M","0.00%"
"09/19/2024","800","815","820","800","16.79M","-1.23%"
"09/18/2024","810","820","825","810","8.64M","-1.22%"
"09/17/2024","820","830","830","820","5.41M","0.00%"
"09/13/2024","820","820","860","820","31.33M","0.00%"
"09/12/2024","820","835","840","820","9.13M","-1.80%"
"09/11/2024","835","815","840","805","14.11M","2.45%"
"09/10/2024","815","830","835","810","18.31M","-1.21%"
"09/09/2024","825","870","880","825","31.17M","-4.62%"
"09/06/2024","865","855","875","850","19.13M","2.37%"
"09/05/2024","845","855","875","845","11.25M","0.00%"
"09/04/2024","845","855","870","835","13.83M","-2.31%"
"09/03/2024","865","880","885","855","14.29M","-2.26%"
"09/02/2024","885","895","920","875","32.00M","-0.56%"
