"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","2,250","2,250","2,250","2,220","11.08M","0.00%"
"12/27/2024","2,250","2,290","2,290","2,230","14.92M","-0.44%"
"12/24/2024","2,260","2,290","2,300","2,260","8.14M","-0.88%"
"12/23/2024","2,280","2,280","2,310","2,270","12.27M","0.00%"
"12/20/2024","2,280","2,260","2,290","2,240","32.85M","1.79%"
"12/19/2024","2,240","2,260","2,260","2,240","14.89M","-0.88%"
"12/18/2024","2,260","2,280","2,300","2,250","44.34M","-0.88%"
"12/17/2024","2,280","2,270","2,300","2,270","15.18M","0.44%"
"12/16/2024","2,270","2,270","2,300","2,250","36.98M","0.00%"
"12/13/2024","2,270","2,280","2,300","2,260","15.41M","0.44%"
"12/12/2024","2,260","2,240","2,290","2,220","69.54M","0.89%"
"12/11/2024","2,240","2,290","2,310","2,220","150.74M","-2.18%"
"12/10/2024","2,290","2,320","2,330","2,270","39.34M","-0.43%"
"12/09/2024","2,300","2,310","2,350","2,300","21.67M","-0.43%"
"12/06/2024","2,310","2,260","2,320","2,250","31.28M","2.67%"
"12/05/2024","2,250","2,230","2,280","2,230","19.72M","0.90%"
"12/04/2024","2,230","2,240","2,260","2,230","19.84M","-0.45%"
"12/03/2024","2,240","2,230","2,270","2,230","8.52M","0.45%"
"12/02/2024","2,230","2,220","2,250","2,220","4.44M","0.45%"
"11/29/2024","2,220","2,180","2,250","2,180","16.41M","1.83%"
"11/28/2024","2,180","2,190","2,210","2,160","23.41M","0.00%"
"11/26/2024","2,180","2,200","2,210","2,170","12.58M","-0.46%"
"11/25/2024","2,190","2,200","2,220","2,190","10.40M","0.46%"
"11/22/2024","2,180","2,210","2,230","2,170","14.76M","-1.36%"
"11/21/2024","2,210","2,200","2,240","2,170","25.60M","1.84%"
"11/20/2024","2,170","2,180","2,210","2,160","7.78M","-0.46%"
"11/19/2024","2,180","2,150","2,220","2,150","18.24M","1.40%"
"11/18/2024","2,150","2,140","2,180","2,130","19.03M","0.47%"
"11/15/2024","2,140","2,150","2,190","2,130","29.01M","-0.93%"
"11/14/2024","2,160","2,150","2,160","2,140","10.74M","0.47%"
"11/13/2024","2,150","2,130","2,200","2,120","35.06M","0.94%"
"11/12/2024","2,130","2,140","2,190","2,130","42.84M","-0.47%"
"11/11/2024","2,140","2,210","2,240","2,130","55.01M","-3.17%"
"11/08/2024","2,210","2,240","2,240","2,210","14.03M","0.00%"
"11/07/2024","2,210","2,220","2,240","2,200","29.87M","-0.45%"
"11/06/2024","2,220","2,250","2,260","2,220","13.52M","-0.45%"
"11/05/2024","2,230","2,250","2,270","2,200","38.29M","-0.45%"
"11/04/2024","2,240","2,250","2,260","2,230","9.89M","-0.44%"
"11/01/2024","2,250","2,250","2,290","2,230","30.96M","0.00%"
"10/31/2024","2,250","2,260","2,280","2,250","19.73M","-0.44%"
"10/30/2024","2,260","2,290","2,300","2,260","27.17M","-0.88%"
"10/29/2024","2,280","2,290","2,290","2,250","10.74M","1.33%"
"10/28/2024","2,250","2,280","2,300","2,250","23.16M","-0.88%"
"10/25/2024","2,270","2,270","2,290","2,260","10.61M","0.44%"
"10/24/2024","2,260","2,270","2,300","2,250","17.15M","0.00%"
"10/23/2024","2,260","2,280","2,300","2,240","32.65M","-0.88%"
"10/22/2024","2,280","2,300","2,310","2,270","9.41M","-0.87%"
"10/21/2024","2,300","2,300","2,310","2,280","11.98M","0.44%"
"10/18/2024","2,290","2,270","2,300","2,250","17.64M","0.88%"
"10/17/2024","2,270","2,300","2,310","2,270","7.90M","-1.30%"
"10/16/2024","2,300","2,300","2,300","2,280","6.55M","0.44%"
"10/15/2024","2,290","2,290","2,320","2,290","17.39M","0.00%"
"10/14/2024","2,290","2,310","2,330","2,270","13.77M","-0.87%"
"10/11/2024","2,310","2,340","2,340","2,290","22.79M","-0.43%"
"10/10/2024","2,320","2,310","2,340","2,290","31.77M","0.87%"
"10/09/2024","2,300","2,300","2,350","2,260","76.99M","1.32%"
"10/08/2024","2,270","2,260","2,300","2,250","33.19M","0.44%"
"10/07/2024","2,260","2,260","2,320","2,260","22.67M","0.44%"
"10/04/2024","2,250","2,270","2,300","2,230","20.38M","-0.44%"
"10/03/2024","2,260","2,210","2,280","2,200","49.20M","2.73%"
"10/02/2024","2,200","2,260","2,270","2,170","70.39M","-2.65%"
"10/01/2024","2,260","2,300","2,310","2,230","46.70M","-1.31%"
"09/30/2024","2,290","2,310","2,320","2,270","19.12M","-0.87%"
"09/27/2024","2,310","2,350","2,370","2,310","18.63M","-1.70%"
"09/26/2024","2,350","2,310","2,370","2,280","62.26M","1.73%"
"09/25/2024","2,310","2,290","2,320","2,270","27.48M","0.87%"
"09/24/2024","2,290","2,320","2,320","2,270","14.69M","-0.43%"
"09/23/2024","2,300","2,270","2,300","2,260","19.01M","0.88%"
"09/20/2024","2,280","2,300","2,310","2,270","15.22M","-0.87%"
"09/19/2024","2,300","2,290","2,320","2,270","30.65M","0.88%"
"09/18/2024","2,280","2,300","2,320","2,270","27.38M","-0.44%"
"09/17/2024","2,290","2,330","2,340","2,290","13.47M","-1.29%"
"09/13/2024","2,320","2,290","2,330","2,290","23.42M","1.31%"
"09/12/2024","2,290","2,280","2,310","2,260","18.38M","0.88%"
"09/11/2024","2,270","2,270","2,320","2,250","27.38M","0.00%"
"09/10/2024","2,270","2,260","2,300","2,240","22.34M","0.89%"
"09/09/2024","2,250","2,320","2,320","2,240","46.67M","-3.43%"
"09/06/2024","2,330","2,360","2,370","2,300","17.72M","-1.27%"
"09/05/2024","2,360","2,250","2,380","2,240","77.99M","5.83%"
"09/04/2024","2,230","2,240","2,270","2,220","34.78M","-1.76%"
"09/03/2024","2,270","2,270","2,280","2,240","20.06M","0.00%"
"09/02/2024","2,270","2,250","2,320","2,240","37.69M","1.79%"
"08/30/2024","2,230","2,230","2,260","2,210","24.37M","0.00%"
"08/29/2024","2,230","2,230","2,250","2,220","20.37M","-0.45%"
"08/28/2024","2,240","2,250","2,250","2,220","18.12M","0.00%"
"08/27/2024","2,240","2,230","2,240","2,200","13.98M","0.45%"
"08/26/2024","2,230","2,260","2,270","2,200","24.90M","-1.33%"
"08/23/2024","2,260","2,210","2,260","2,210","19.26M","2.26%"
"08/22/2024","2,210","2,270","2,280","2,200","36.59M","-3.49%"
"08/21/2024","2,290","2,320","2,340","2,280","13.34M","-1.29%"
"08/20/2024","2,320","2,260","2,330","2,250","34.52M","3.57%"
"08/19/2024","2,240","2,240","2,280","2,240","17.09M","0.00%"
"08/16/2024","2,240","2,260","2,270","2,220","22.21M","0.90%"
"08/15/2024","2,220","2,270","2,280","2,210","18.14M","-1.77%"
"08/14/2024","2,260","2,190","2,260","2,190","31.35M","3.20%"
"08/13/2024","2,190","2,190","2,200","2,170","14.20M","0.46%"
"08/12/2024","2,180","2,160","2,200","2,160","14.23M","0.93%"
"08/09/2024","2,160","2,150","2,180","2,150","10.22M","0.93%"
"08/08/2024","2,140","2,180","2,200","2,130","13.28M","-1.38%"
"08/07/2024","2,170","2,230","2,240","2,160","22.71M","-0.91%"
"08/06/2024","2,190","2,120","2,200","2,100","27.21M","5.29%"
"08/05/2024","2,080","2,150","2,170","2,080","34.13M","-4.15%"
"08/02/2024","2,170","2,170","2,190","2,140","17.46M","0.00%"
"08/01/2024","2,170","2,160","2,200","2,150","9.29M","0.00%"
"07/31/2024","2,170","2,180","2,200","2,140","13.82M","0.00%"
"07/30/2024","2,170","2,190","2,190","2,150","9.64M","0.00%"
"07/29/2024","2,170","2,170","2,190","2,160","11.88M","-0.46%"
"07/26/2024","2,180","2,200","2,200","2,170","13.16M","-0.46%"
"07/25/2024","2,190","2,200","2,210","2,180","10.37M","-0.90%"
"07/24/2024","2,210","2,250","2,260","2,200","8.86M","-1.78%"
"07/23/2024","2,250","2,210","2,250","2,200","20.72M","2.27%"
"07/22/2024","2,200","2,200","2,220","2,180","14.48M","0.92%"
"07/19/2024","2,180","2,220","2,230","2,160","23.92M","-2.68%"
"07/18/2024","2,240","2,240","2,250","2,210","9.45M","0.00%"
"07/17/2024","2,240","2,250","2,260","2,220","14.38M","0.00%"
"07/16/2024","2,240","2,240","2,240","2,200","15.38M","0.00%"
"07/15/2024","2,240","2,290","2,300","2,240","12.01M","-1.75%"
"07/12/2024","2,280","2,290","2,340","2,230","27.33M","0.44%"
"07/11/2024","2,270","2,280","2,300","2,240","14.12M","0.00%"
"07/10/2024","2,270","2,270","2,290","2,240","17.27M","0.00%"
"07/09/2024","2,270","2,220","2,290","2,210","18.84M","2.71%"
"07/08/2024","2,210","2,190","2,210","2,160","17.00M","1.38%"
"07/05/2024","2,180","2,210","2,220","2,150","15.81M","-1.36%"
"07/04/2024","2,210","2,180","2,210","2,150","17.83M","1.84%"
"07/03/2024","2,170","2,200","2,230","2,160","14.72M","-0.91%"
"07/02/2024","2,190","2,170","2,220","2,160","28.77M","0.46%"
"07/01/2024","2,180","2,160","2,200","2,150","17.66M","0.93%"
"06/28/2024","2,160","2,190","2,200","2,150","23.09M","-1.82%"
"06/27/2024","2,200","2,190","2,220","2,170","13.17M","0.92%"
"06/26/2024","2,180","2,180","2,220","2,170","15.59M","0.93%"
"06/25/2024","2,160","2,170","2,230","2,130","24.99M","0.00%"
"06/24/2024","2,160","2,180","2,200","2,150","11.92M","-0.92%"
"06/21/2024","2,180","2,140","2,210","2,120","23.13M","1.87%"
"06/20/2024","2,140","2,140","2,180","2,120","20.26M","0.47%"
"06/19/2024","2,130","2,080","2,160","2,070","21.62M","2.40%"
"06/14/2024","2,080","2,150","2,180","2,070","17.35M","-3.70%"
"06/13/2024","2,160","2,190","2,210","2,140","5.78M","-0.92%"
"06/12/2024","2,180","2,210","2,240","2,150","11.29M","-1.80%"
"06/11/2024","2,220","2,220","2,250","2,180","7.66M","-0.45%"
"06/10/2024","2,230","2,240","2,250","2,200","6.15M","0.00%"
"06/07/2024","2,230","2,270","2,280","2,220","13.48M","-0.89%"
"06/06/2024","2,250","2,320","2,330","2,240","16.63M","-2.60%"
"06/05/2024","2,310","2,300","2,390","2,300","28.28M","0.87%"
"06/04/2024","2,290","2,320","2,370","2,290","20.39M","-1.29%"
"06/03/2024","2,320","2,300","2,360","2,270","8.25M","0.43%"
"05/31/2024","2,310","2,390","2,400","2,260","46.34M","-4.94%"
"05/30/2024","2,430","2,420","2,450","2,360","12.91M","0.83%"
"05/29/2024","2,410","2,440","2,450","2,390","12.75M","-1.23%"
"05/28/2024","2,440","2,470","2,520","2,420","23.94M","-0.81%"
