"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","7,400","7,675","7,750","7,400","1.69M","-2.63%"
"12/27/2024","7,600","7,575","7,700","7,500","1.72M","0.33%"
"12/24/2024","7,575","7,550","7,625","7,400","2.09M","1.00%"
"12/23/2024","7,500","7,400","7,525","7,400","940.70K","1.35%"
"12/20/2024","7,400","7,350","7,400","7,225","1.20M","0.68%"
"12/19/2024","7,350","7,325","7,350","7,175","1.10M","0.00%"
"12/18/2024","7,350","7,350","7,450","7,250","2.32M","0.00%"
"12/17/2024","7,350","7,350","7,400","7,175","2.11M","0.00%"
"12/16/2024","7,350","7,325","7,375","7,125","1.10M","0.00%"
"12/13/2024","7,350","7,300","7,350","7,150","621.20K","0.68%"
"12/12/2024","7,300","7,250","7,350","7,175","2.23M","1.39%"
"12/11/2024","7,200","7,075","7,250","7,075","1.17M","2.86%"
"12/10/2024","7,000","6,975","7,075","6,950","339.50K","0.36%"
"12/09/2024","6,975","6,900","7,075","6,900","1.05M","1.09%"
"12/06/2024","6,900","6,900","6,950","6,825","935.30K","0.00%"
"12/05/2024","6,900","7,000","7,000","6,825","1.23M","-1.08%"
"12/04/2024","6,975","6,900","7,000","6,850","1.48M","1.09%"
"12/03/2024","6,900","6,850","6,950","6,775","1.00M","0.73%"
"12/02/2024","6,850","6,775","6,900","6,750","700.30K","0.00%"
"11/29/2024","6,850","6,900","6,900","6,850","288.40K","-0.72%"
"11/28/2024","6,900","6,925","7,000","6,875","428.90K","0.36%"
"11/26/2024","6,875","6,925","6,975","6,825","318.30K","0.73%"
"11/25/2024","6,825","7,000","7,000","6,825","930.70K","-2.50%"
"11/22/2024","7,000","6,875","7,000","6,850","351.70K","1.82%"
"11/21/2024","6,875","6,925","6,950","6,825","370.60K","0.00%"
"11/20/2024","6,875","7,000","7,050","6,875","201.30K","-1.79%"
"11/19/2024","7,000","6,875","7,000","6,875","287.20K","1.45%"
"11/18/2024","6,900","6,925","7,000","6,850","705.70K","-0.72%"
"11/15/2024","6,950","6,900","6,950","6,875","834.20K","0.00%"
"11/14/2024","6,950","6,925","6,975","6,850","658.00K","0.36%"
"11/13/2024","6,925","7,000","7,000","6,900","539.50K","-1.77%"
"11/12/2024","7,050","7,000","7,100","6,875","1.20M","1.08%"
"11/11/2024","6,975","6,825","6,975","6,750","2.55M","2.20%"
"11/08/2024","6,825","6,775","6,825","6,675","948.10K","1.11%"
"11/07/2024","6,750","6,900","6,900","6,675","1.93M","-1.10%"
"11/06/2024","6,825","6,950","7,075","6,825","1.23M","-1.80%"
"11/05/2024","6,950","6,925","6,975","6,775","1.96M","1.09%"
"11/04/2024","6,875","7,175","7,175","6,800","5.14M","-4.51%"
"11/01/2024","7,200","7,300","7,400","7,200","1.39M","0.00%"
"10/31/2024","7,200","7,300","7,350","7,075","1.61M","-1.37%"
"10/30/2024","7,300","7,500","7,575","7,200","1.91M","-2.01%"
"10/29/2024","7,450","7,475","7,525","7,350","726.80K","-0.33%"
"10/28/2024","7,475","7,600","7,600","7,275","1.86M","-1.64%"
"10/25/2024","7,600","7,700","7,750","7,500","1.61M","-1.62%"
"10/24/2024","7,725","7,800","7,800","7,675","596.80K","-0.96%"
"10/23/2024","7,800","7,775","7,900","7,675","1.32M","-0.32%"
"10/22/2024","7,825","7,700","7,850","7,675","1.56M","1.95%"
"10/21/2024","7,675","7,850","7,900","7,675","1.22M","-1.92%"
"10/18/2024","7,825","7,900","7,900","7,625","3.27M","-0.95%"
"10/17/2024","7,900","7,400","7,950","7,400","7.81M","6.76%"
"10/16/2024","7,400","7,225","7,450","7,225","3.08M","2.07%"
"10/15/2024","7,250","7,300","7,425","7,200","2.52M","-0.68%"
"10/14/2024","7,300","7,250","7,375","7,125","4.60M","1.04%"
"10/11/2024","7,225","6,925","7,250","6,875","7.10M","4.71%"
"10/10/2024","6,900","6,875","6,950","6,850","947.30K","0.36%"
"10/09/2024","6,875","6,900","6,975","6,875","578.20K","-0.36%"
"10/08/2024","6,900","6,950","6,950","6,850","700.70K","-0.72%"
"10/07/2024","6,950","6,800","6,950","6,775","1.60M","1.83%"
"10/04/2024","6,825","6,950","6,950","6,775","1.10M","-1.44%"
"10/03/2024","6,925","6,800","6,950","6,800","1.72M","1.84%"
"10/02/2024","6,800","6,825","6,875","6,725","2.50M","-0.37%"
"10/01/2024","6,825","6,850","6,900","6,800","1.64M","0.37%"
"09/30/2024","6,800","6,900","6,900","6,800","1.96M","-0.73%"
"09/27/2024","6,850","6,925","6,925","6,800","2.21M","-0.72%"
"09/26/2024","6,900","7,000","7,025","6,825","1.93M","-1.43%"
"09/25/2024","7,000","6,825","7,050","6,775","5.04M","3.32%"
"09/24/2024","6,775","6,775","6,850","6,775","2.63M","-0.37%"
"09/23/2024","6,800","6,900","6,900","6,800","2.70M","-1.45%"
"09/20/2024","6,900","6,825","6,900","6,825","2.92M","1.10%"
"09/19/2024","6,825","6,800","6,875","6,800","1.58M","0.37%"
"09/18/2024","6,800","6,875","6,900","6,800","1.09M","-0.37%"
"09/17/2024","6,825","6,875","6,975","6,825","1.58M","0.00%"
"09/13/2024","6,825","6,800","6,875","6,800","588.80K","0.74%"
"09/12/2024","6,775","6,775","6,850","6,775","1.15M","-0.37%"
"09/11/2024","6,800","6,825","6,850","6,750","1.53M","0.00%"
"09/10/2024","6,800","6,850","6,875","6,775","784.50K","0.00%"
"09/09/2024","6,800","6,800","6,850","6,750","1.20M","0.74%"
"09/06/2024","6,750","6,850","6,875","6,750","1.08M","-1.10%"
"09/05/2024","6,825","6,800","6,825","6,750","4.23M","0.37%"
"09/04/2024","6,800","6,950","6,975","6,800","4.90M","-2.86%"
"09/03/2024","7,000","7,075","7,150","6,950","1.87M","-0.71%"
"09/02/2024","7,050","6,925","7,200","6,925","3.34M","2.17%"
"08/30/2024","6,900","7,125","7,125","6,900","2.44M","-2.13%"
"08/29/2024","7,050","7,125","7,250","7,050","3.61M","-0.35%"
"08/28/2024","7,075","7,075","7,125","7,050","672.80K","0.35%"
"08/27/2024","7,050","7,050","7,100","7,000","1.32M","0.00%"
"08/26/2024","7,050","7,150","7,150","7,050","1.19M","-1.40%"
"08/23/2024","7,150","7,200","7,225","7,150","898.60K","0.00%"
"08/22/2024","7,150","7,150","7,200","7,075","1.27M","-0.35%"
"08/21/2024","7,175","7,350","7,375","7,175","1.32M","-1.37%"
"08/20/2024","7,275","7,325","7,375","7,250","2.01M","0.00%"
"08/19/2024","7,275","7,075","7,375","7,075","3.71M","2.83%"
"08/16/2024","7,075","7,100","7,125","7,050","673.50K","0.71%"
"08/15/2024","7,025","7,100","7,150","7,025","798.30K","-1.06%"
"08/14/2024","7,100","7,125","7,225","7,100","2.33M","0.35%"
"08/13/2024","7,075","7,025","7,175","6,925","2.36M","1.43%"
"08/12/2024","6,975","6,925","7,000","6,900","843.00K","1.09%"
"08/09/2024","6,900","6,925","6,975","6,900","1.26M","0.00%"
"08/08/2024","6,900","7,025","7,075","6,900","1.46M","-1.78%"
"08/07/2024","7,025","7,100","7,200","7,025","1.41M","-1.40%"
"08/06/2024","7,125","7,200","7,225","7,025","4.80M","-1.04%"
"08/05/2024","7,200","7,225","7,250","6,925","4.36M","-0.35%"
"08/02/2024","7,225","7,225","7,350","7,200","1.66M","-0.34%"
"08/01/2024","7,250","7,200","7,325","7,175","2.36M","0.00%"
"07/31/2024","7,250","7,250","7,325","7,200","1.01M","0.35%"
"07/30/2024","7,225","7,250","7,250","7,100","2.47M","0.35%"
"07/29/2024","7,200","7,250","7,275","7,200","2.40M","-1.03%"
"07/26/2024","7,275","7,325","7,325","7,225","1.54M","-0.68%"
"07/25/2024","7,325","7,275","7,325","7,200","2.99M","0.69%"
"07/24/2024","7,275","7,275","7,275","7,200","818.30K","0.34%"
"07/23/2024","7,250","7,250","7,300","7,200","4.15M","0.00%"
"07/22/2024","7,250","7,350","7,350","7,225","865.40K","-1.36%"
"07/19/2024","7,350","7,300","7,350","7,225","3.04M","0.00%"
"07/18/2024","7,350","7,350","7,400","7,325","2.29M","0.00%"
"07/17/2024","7,350","7,425","7,425","7,300","1.01M","0.00%"
"07/16/2024","7,350","7,450","7,450","7,225","2.34M","-0.34%"
"07/15/2024","7,375","7,550","7,550","7,300","1.38M","-1.67%"
"07/12/2024","7,500","7,400","7,525","7,400","820.80K","1.35%"
"07/11/2024","7,400","7,325","7,550","7,325","5.17M","1.02%"
"07/10/2024","7,325","7,600","7,950","7,275","8.04M","-3.62%"
"07/09/2024","7,600","7,700","7,875","7,575","3.49M","-0.65%"
"07/08/2024","7,650","7,450","7,825","7,325","6.02M","2.68%"
"07/05/2024","7,450","7,475","7,500","7,275","2.29M","0.00%"
"07/04/2024","7,450","7,675","7,700","7,425","3.11M","-2.61%"
"07/03/2024","7,650","7,600","7,675","7,525","3.64M","2.00%"
"07/02/2024","7,500","7,350","7,550","7,275","3.82M","2.04%"
"07/01/2024","7,350","7,400","7,400","7,250","4.90M","1.38%"
"06/28/2024","7,250","7,300","7,500","7,250","4.03M","-1.02%"
"06/27/2024","7,325","7,275","7,450","7,200","2.62M","1.74%"
"06/26/2024","7,200","7,250","7,300","7,175","1.90M","-0.35%"
"06/25/2024","7,225","7,325","7,350","7,075","9.38M","-1.37%"
"06/24/2024","7,325","7,450","7,500","7,300","2.42M","-1.68%"
"06/21/2024","7,450","7,400","7,575","7,300","3.48M","1.02%"
"06/20/2024","7,375","7,500","7,550","7,375","1.61M","-0.67%"
"06/19/2024","7,425","7,200","7,575","7,050","4.02M","3.13%"
"06/14/2024","7,200","7,400","7,475","7,175","4.73M","-2.70%"
"06/13/2024","7,400","7,600","7,800","7,350","3.51M","-1.99%"
"06/12/2024","7,550","7,875","7,875","7,375","2.89M","-4.13%"
"06/11/2024","7,875","7,575","8,025","7,500","6.91M","2.61%"
"06/10/2024","7,675","7,750","7,750","7,475","4.37M","-0.32%"
"06/07/2024","7,700","7,300","7,825","7,300","9.51M","5.48%"
"06/06/2024","7,300","6,875","7,300","6,875","7.71M","6.18%"
"06/05/2024","6,875","7,000","7,175","6,850","4.91M","-1.79%"
"06/04/2024","7,000","6,550","7,275","6,450","8.86M","7.69%"
"06/03/2024","6,500","6,425","6,625","6,275","6.16M","0.39%"
"05/31/2024","6,475","6,475","6,725","6,425","10.20M","0.00%"
"05/30/2024","6,475","6,575","6,575","6,375","12.59M","-1.52%"
"05/29/2024","6,575","6,675","6,675","6,575","7.35M","-1.87%"
"05/28/2024","6,700","6,625","6,775","6,625","6.00M","0.00%"
"05/27/2024","6,700","6,975","6,975","6,700","4.99M","-4.29%"
"05/22/2024","7,000","7,050","7,050","6,875","4.06M","0.00%"
