"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","2,480","2,460","2,480","2,380","11.10M","0.81%"
"12/27/2024","2,460","2,450","2,510","2,440","6.82M","0.82%"
"12/24/2024","2,440","2,480","2,510","2,440","8.38M","-1.61%"
"12/23/2024","2,480","2,390","2,520","2,390","8.90M","4.64%"
"12/20/2024","2,370","2,380","2,410","2,290","14.37M","-0.42%"
"12/19/2024","2,380","2,390","2,430","2,360","15.88M","-2.06%"
"12/18/2024","2,430","2,550","2,560","2,430","11.16M","-4.71%"
"12/17/2024","2,550","2,590","2,590","2,510","6.74M","-1.54%"
"12/16/2024","2,590","2,620","2,640","2,570","11.83M","-1.52%"
"12/13/2024","2,630","2,550","2,630","2,540","56.45M","4.37%"
"12/12/2024","2,520","2,480","2,550","2,450","12.75M","1.61%"
"12/11/2024","2,480","2,470","2,540","2,450","14.31M","0.40%"
"12/10/2024","2,470","2,480","2,520","2,420","15.99M","-0.40%"
"12/09/2024","2,480","2,500","2,520","2,440","10.48M","-0.80%"
"12/06/2024","2,500","2,530","2,550","2,470","12.53M","-1.19%"
"12/05/2024","2,530","2,560","2,560","2,490","9.62M","-1.17%"
"12/04/2024","2,560","2,520","2,560","2,490","17.62M","1.99%"
"12/03/2024","2,510","2,380","2,540","2,380","22.44M","5.46%"
"12/02/2024","2,380","2,450","2,450","2,360","9.26M","-0.83%"
"11/29/2024","2,400","2,370","2,440","2,370","12.73M","1.27%"
"11/28/2024","2,370","2,440","2,440","2,350","16.61M","-2.87%"
"11/26/2024","2,440","2,500","2,520","2,410","10.46M","-2.40%"
"11/25/2024","2,500","2,460","2,530","2,460","19.00M","2.46%"
"11/22/2024","2,440","2,500","2,520","2,430","13.81M","-2.40%"
"11/21/2024","2,500","2,380","2,560","2,340","51.30M","5.04%"
"11/20/2024","2,380","2,450","2,450","2,340","20.78M","-2.86%"
"11/19/2024","2,450","2,260","2,480","2,250","50.13M","9.38%"
"11/18/2024","2,240","2,250","2,260","2,200","8.19M","-0.88%"
"11/15/2024","2,260","2,260","2,270","2,180","12.44M","0.89%"
"11/14/2024","2,240","2,200","2,270","2,190","11.55M","1.82%"
"11/13/2024","2,200","2,210","2,240","2,190","7.70M","0.00%"
"11/12/2024","2,200","2,150","2,210","2,130","23.81M","2.80%"
"11/11/2024","2,140","2,180","2,220","2,120","29.33M","-1.83%"
"11/08/2024","2,180","2,300","2,310","2,160","35.69M","-4.80%"
"11/07/2024","2,290","2,260","2,320","2,210","19.95M","1.78%"
"11/06/2024","2,250","2,400","2,400","2,200","29.86M","-5.86%"
"11/05/2024","2,390","2,400","2,430","2,350","8.96M","-0.83%"
"11/04/2024","2,410","2,430","2,430","2,340","11.72M","-0.82%"
"11/01/2024","2,430","2,500","2,500","2,380","14.18M","-2.80%"
"10/31/2024","2,500","2,340","2,500","2,340","37.21M","7.76%"
"10/30/2024","2,320","2,340","2,430","2,310","51.05M","0.00%"
"10/29/2024","2,320","2,200","2,340","2,190","54.90M","5.94%"
"10/28/2024","2,190","2,300","2,300","2,160","60.53M","-4.78%"
"10/25/2024","2,300","2,440","2,440","2,270","28.96M","-5.74%"
"10/24/2024","2,440","2,470","2,470","2,430","4.21M","-1.21%"
"10/23/2024","2,470","2,420","2,480","2,420","14.72M","2.07%"
"10/22/2024","2,420","2,480","2,480","2,400","23.85M","-2.02%"
"10/21/2024","2,470","2,450","2,500","2,450","14.60M","0.82%"
"10/18/2024","2,450","2,410","2,480","2,380","41.63M","1.66%"
"10/17/2024","2,410","2,460","2,490","2,410","36.00M","-2.03%"
