"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","26,700","25,850","26,700","25,600","1.32M","3.29%"
"12/27/2024","25,850","25,400","25,950","25,400","571.20K","2.17%"
"12/24/2024","25,300","25,600","25,600","25,300","981.10K","-1.36%"
"12/23/2024","25,650","25,625","25,775","25,300","1.46M","0.49%"
"12/20/2024","25,525","26,325","26,600","25,500","1.89M","-3.04%"
"12/19/2024","26,325","27,075","27,075","26,325","1.38M","-3.04%"
"12/18/2024","27,150","27,250","27,475","26,900","667.20K","-0.37%"
"12/17/2024","27,250","27,750","27,750","27,050","1.19M","-1.80%"
"12/16/2024","27,750","27,800","27,825","27,350","908.80K","-0.36%"
"12/13/2024","27,850","28,025","28,200","27,725","687.70K","-0.62%"
"12/12/2024","28,025","28,200","28,375","27,800","1.13M","-0.62%"
"12/11/2024","28,200","27,875","28,650","27,875","4.02M","1.17%"
"12/10/2024","27,875","27,850","27,900","27,700","1.05M","0.09%"
"12/09/2024","27,850","27,700","27,900","27,500","1.04M","0.54%"
"12/06/2024","27,700","27,450","27,825","27,375","1.86M","0.91%"
"12/05/2024","27,450","27,500","27,600","27,125","882.60K","-0.18%"
"12/04/2024","27,500","27,200","27,675","27,200","1.31M","1.48%"
"12/03/2024","27,100","26,900","27,225","26,900","1.66M","0.74%"
"12/02/2024","26,900","26,650","27,350","26,650","1.32M","0.94%"
"11/29/2024","26,650","27,300","27,300","26,625","2.15M","-2.38%"
"11/28/2024","27,300","27,450","27,500","27,200","929.70K","-0.46%"
"11/26/2024","27,425","27,625","27,850","27,400","1.51M","-0.63%"
"11/25/2024","27,600","27,950","27,950","27,325","2.88M","-1.25%"
"11/22/2024","27,950","27,425","28,000","27,425","4.86M","2.10%"
"11/21/2024","27,375","26,700","27,900","26,700","5.15M","2.53%"
"11/20/2024","26,700","26,700","26,775","26,600","1.19M","-0.37%"
"11/19/2024","26,800","26,850","26,900","26,525","1.83M","-0.19%"
"11/18/2024","26,850","26,500","26,975","26,500","3.38M","1.32%"
"11/15/2024","26,500","26,300","26,550","26,300","2.18M","0.76%"
"11/14/2024","26,300","26,325","26,400","26,200","2.19M","0.38%"
"11/13/2024","26,200","26,500","26,575","25,975","2.73M","1.95%"
"11/12/2024","25,700","25,150","25,850","25,125","1.66M","2.19%"
"11/11/2024","25,150","25,200","25,400","25,125","773.60K","-0.40%"
"11/08/2024","25,250","25,425","25,475","25,225","830.50K","-0.69%"
"11/07/2024","25,425","25,250","25,425","25,025","916.90K","0.69%"
"11/06/2024","25,250","25,500","25,500","25,125","1.12M","-0.49%"
"11/05/2024","25,375","25,150","25,425","25,150","770.50K","1.00%"
"11/04/2024","25,125","25,500","25,500","25,100","622.40K","-1.47%"
"11/01/2024","25,500","25,075","25,500","25,075","1.30M","1.69%"
"10/31/2024","25,075","25,150","25,475","25,075","2.22M","-0.30%"
"10/30/2024","25,150","25,450","25,450","25,000","1.24M","-1.18%"
"10/29/2024","25,450","25,525","25,525","25,275","532.40K","-0.29%"
"10/28/2024","25,525","25,500","25,550","25,200","1.22M","0.00%"
"10/25/2024","25,525","25,700","25,700","25,500","1.08M","-0.58%"
"10/24/2024","25,675","25,700","25,800","25,675","517.40K","0.00%"
"10/23/2024","25,675","25,925","25,925","25,650","1.54M","-0.96%"
"10/22/2024","25,925","25,900","25,925","25,850","871.20K","0.19%"
"10/21/2024","25,875","26,000","26,000","25,875","671.70K","-0.19%"
"10/18/2024","25,925","25,950","26,050","25,925","508.60K","-0.10%"
"10/17/2024","25,950","25,900","26,125","25,900","838.30K","0.39%"
