"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","4,330","4,330","4,450","4,320","2.98M","0.00%"
"12/27/2024","4,330","4,310","4,350","4,300","970.00K","0.46%"
"12/24/2024","4,310","4,350","4,390","4,300","1.41M","-0.92%"
"12/23/2024","4,350","4,100","4,410","4,100","5.98M","6.36%"
"12/20/2024","4,090","4,030","4,130","3,940","4.29M","1.49%"
"12/19/2024","4,030","4,150","4,200","3,980","8.63M","-3.59%"
"12/18/2024","4,180","4,300","4,320","4,130","4.53M","-2.79%"
"12/17/2024","4,300","4,350","4,360","4,290","3.51M","-1.60%"
"12/16/2024","4,370","4,490","4,490","4,350","2.78M","-2.02%"
"12/13/2024","4,460","4,510","4,510","4,410","3.17M","-0.89%"
"12/12/2024","4,500","4,570","4,570","4,470","1.10M","-0.88%"
"12/11/2024","4,540","4,500","4,570","4,500","2.60M","2.02%"
"12/10/2024","4,450","4,550","4,570","4,440","4.63M","-1.55%"
"12/09/2024","4,520","4,580","4,590","4,520","3.55M","-1.31%"
"12/06/2024","4,580","4,570","4,630","4,520","2.22M","0.22%"
"12/05/2024","4,570","4,560","4,580","4,550","841.60K","-0.22%"
"12/04/2024","4,580","4,460","4,580","4,430","2.18M","2.69%"
"12/03/2024","4,460","4,420","4,470","4,380","2.65M","0.90%"
"12/02/2024","4,420","4,430","4,530","4,360","4.84M","-0.67%"
"11/29/2024","4,450","4,610","4,610","4,450","3.72M","-3.26%"
"11/28/2024","4,600","4,680","4,690","4,570","3.57M","-2.13%"
"11/26/2024","4,700","4,610","4,700","4,580","2.35M","2.17%"
"11/25/2024","4,600","4,590","4,630","4,560","6.22M","0.00%"
"11/22/2024","4,600","4,580","4,620","4,560","3.49M","0.44%"
"11/21/2024","4,580","4,560","4,630","4,520","6.39M","0.44%"
"11/20/2024","4,560","4,560","4,580","4,530","1.24M","0.88%"
"11/19/2024","4,520","4,510","4,560","4,490","5.29M","-0.44%"
"11/18/2024","4,540","4,560","4,600","4,520","1.16M","-0.44%"
"11/15/2024","4,560","4,570","4,610","4,510","2.68M","-0.22%"
"11/14/2024","4,570","4,590","4,590","4,410","10.25M","-0.22%"
"11/13/2024","4,580","4,690","4,700","4,560","5.46M","-2.76%"
"11/12/2024","4,710","4,690","4,750","4,680","2.83M","0.21%"
"11/11/2024","4,700","4,740","4,750","4,650","2.80M","-1.67%"
"11/08/2024","4,780","4,770","4,830","4,730","4.00M","0.42%"
"11/07/2024","4,760","4,720","4,770","4,620","3.76M","0.85%"
"11/06/2024","4,720","4,730","4,740","4,670","4.16M","0.21%"
"11/05/2024","4,710","4,700","4,740","4,660","4.02M","0.21%"
"11/04/2024","4,700","4,780","4,780","4,570","6.43M","-1.67%"
"11/01/2024","4,780","4,850","4,870","4,770","5.54M","-1.44%"
"10/31/2024","4,850","4,840","4,860","4,810","8.84M","0.00%"
"10/30/2024","4,850","4,840","4,850","4,760","3.18M","0.83%"
"10/29/2024","4,810","4,710","4,830","4,690","6.42M","2.78%"
"10/28/2024","4,680","4,720","4,720","4,640","6.02M","-0.85%"
"10/25/2024","4,720","4,810","4,820","4,720","6.31M","-1.67%"
"10/24/2024","4,800","4,830","4,840","4,800","1.47M","-0.62%"
"10/23/2024","4,830","4,840","4,850","4,800","4.03M","-0.21%"
"10/22/2024","4,840","4,840","4,840","4,790","6.43M","0.21%"
"10/21/2024","4,830","4,850","4,860","4,820","4.18M","0.00%"
"10/18/2024","4,830","4,840","4,890","4,830","8.59M","0.00%"
"10/17/2024","4,830","4,870","4,880","4,830","10.44M","-1.43%"
"10/16/2024","4,900","4,870","4,900","4,830","8.60M","0.62%"
"10/15/2024","4,870","4,880","4,920","4,870","3.65M","-0.20%"
"10/14/2024","4,880","4,930","4,930","4,880","1.94M","-1.01%"
"10/11/2024","4,930","4,990","4,990","4,920","1.86M","-0.20%"
"10/10/2024","4,940","4,920","4,940","4,880","2.82M","1.02%"
"10/09/2024","4,890","4,900","4,930","4,890","2.72M","-0.61%"
"10/08/2024","4,920","4,930","4,930","4,860","4.06M","-0.20%"
"10/07/2024","4,930","4,890","4,960","4,880","4.23M","1.02%"
"10/04/2024","4,880","4,910","4,910","4,860","2.24M","-0.41%"
"10/03/2024","4,900","4,880","4,930","4,840","3.84M","0.41%"
"10/02/2024","4,880","4,900","4,910","4,850","5.80M","-0.41%"
"10/01/2024","4,900","4,960","4,960","4,890","4.45M","-0.61%"
"09/30/2024","4,930","4,930","4,960","4,840","8.70M","0.00%"
"09/27/2024","4,930","4,990","4,990","4,860","8.40M","-0.80%"
"09/26/2024","4,970","4,920","4,970","4,880","6.18M","0.81%"
"09/25/2024","4,930","4,960","4,960","4,820","10.54M","-0.60%"
"09/24/2024","4,960","4,980","4,990","4,920","4.48M","-0.20%"
"09/23/2024","4,970","4,940","5,025","4,920","3.56M","0.61%"
"09/20/2024","4,940","5,025","5,025","4,890","10.83M","-1.69%"
"09/19/2024","5,025","5,150","5,150","5,000","7.86M","-0.50%"
"09/18/2024","5,050","5,100","5,125","5,025","6.40M","-0.98%"
"09/17/2024","5,100","4,950","5,150","4,940","12.98M","3.45%"
"09/13/2024","4,930","4,900","4,960","4,880","7.28M","0.61%"
"09/12/2024","4,900","4,850","4,910","4,810","12.37M","0.82%"
"09/11/2024","4,860","4,920","4,960","4,820","11.26M","-1.22%"
"09/10/2024","4,920","5,100","5,100","4,770","30.62M","-2.57%"
"09/09/2024","5,050","5,200","5,200","4,980","23.19M","-3.35%"
"09/06/2024","5,225","5,350","5,350","5,200","4.74M","-2.34%"
"09/05/2024","5,350","5,225","5,400","5,225","9.10M","2.39%"
"09/04/2024","5,225","5,225","5,275","5,175","2.52M","-0.48%"
"09/03/2024","5,250","5,300","5,350","5,175","3.09M","-0.47%"
"09/02/2024","5,275","5,325","5,400","5,275","5.70M","-1.40%"
"08/30/2024","5,350","5,300","5,350","5,250","6.36M","0.94%"
"08/29/2024","5,300","5,450","5,450","5,300","5.09M","-2.30%"
"08/28/2024","5,425","5,500","5,500","5,425","2.39M","0.00%"
"08/27/2024","5,425","5,425","5,425","5,375","3.60M","0.00%"
"08/26/2024","5,425","5,400","5,475","5,375","3.80M","0.46%"
"08/23/2024","5,400","5,500","5,500","5,400","2.73M","-1.37%"
"08/22/2024","5,475","5,400","5,475","5,375","2.47M","0.46%"
"08/21/2024","5,450","5,475","5,525","5,450","3.63M","0.00%"
"08/20/2024","5,450","5,450","5,500","5,400","2.99M","0.46%"
"08/19/2024","5,425","5,400","5,425","5,375","1.15M","0.46%"
"08/16/2024","5,400","5,425","5,425","5,350","3.05M","0.00%"
"08/15/2024","5,400","5,500","5,500","5,300","5.31M","-1.82%"
"08/14/2024","5,500","5,500","5,550","5,450","5.15M","0.00%"
"08/13/2024","5,500","5,575","5,575","5,500","4.13M","0.00%"
"08/12/2024","5,500","5,475","5,600","5,475","5.07M","0.46%"
"08/09/2024","5,475","5,400","5,525","5,400","4.56M","2.34%"
"08/08/2024","5,350","5,400","5,450","5,325","1.90M","-0.93%"
"08/07/2024","5,400","5,425","5,450","5,400","1.69M","-0.46%"
"08/06/2024","5,425","5,300","5,450","5,250","5.01M","2.36%"
"08/05/2024","5,300","5,300","5,350","5,150","6.59M","-0.93%"
"08/02/2024","5,350","5,375","5,400","5,325","6.59M","-0.93%"
"08/01/2024","5,400","5,600","5,600","5,250","9.78M","-2.70%"
"07/31/2024","5,550","5,350","5,575","5,325","10.19M","4.23%"
"07/30/2024","5,325","5,425","5,425","5,200","5.46M","-1.39%"
"07/29/2024","5,400","5,450","5,450","5,300","4.28M","0.00%"
"07/26/2024","5,400","5,500","5,550","5,400","11.26M","-1.37%"
"07/25/2024","5,475","5,450","5,600","5,375","7.95M","0.46%"
"07/24/2024","5,450","5,450","5,475","5,300","2.78M","0.00%"
"07/23/2024","5,450","5,325","5,475","5,300","7.59M","1.87%"
"07/22/2024","5,350","5,375","5,400","5,300","2.65M","0.00%"
"07/19/2024","5,350","5,175","5,350","5,100","7.09M","4.39%"
"07/18/2024","5,125","5,200","5,275","5,125","3.58M","-1.44%"
"07/17/2024","5,200","5,325","5,350","5,200","1.98M","-2.35%"
"07/16/2024","5,325","5,325","5,325","5,200","2.88M","0.47%"
"07/15/2024","5,300","5,375","5,400","5,175","5.49M","-1.40%"
"07/12/2024","5,375","5,325","5,450","5,250","4.20M","1.42%"
"07/11/2024","5,300","5,150","5,375","5,150","6.53M","3.41%"
"07/10/2024","5,125","5,275","5,300","5,125","2.11M","-2.38%"
"07/09/2024","5,250","5,250","5,475","5,200","8.59M","0.00%"
"07/08/2024","5,250","5,275","5,400","5,250","8.09M","-0.47%"
"07/05/2024","5,275","5,250","5,425","5,200","19.35M","0.48%"
"07/04/2024","5,250","5,250","5,400","5,100","9.84M","0.00%"
"07/03/2024","5,250","5,200","5,375","5,175","15.44M","1.94%"
"07/02/2024","5,150","4,990","5,250","4,960","23.41M","4.04%"
"07/01/2024","4,950","4,980","5,025","4,920","6.33M","-0.60%"
"06/28/2024","4,980","4,950","5,050","4,950","7.22M","1.01%"
"06/27/2024","4,930","4,970","4,990","4,930","1.02M","-0.60%"
"06/26/2024","4,960","5,000","5,100","4,910","3.95M","-0.80%"
"06/25/2024","5,000","5,025","5,075","4,950","3.31M","-0.50%"
"06/24/2024","5,025","4,980","5,100","4,980","5.73M","0.70%"
"06/21/2024","4,990","4,780","5,025","4,780","5.36M","4.39%"
"06/20/2024","4,780","4,700","4,830","4,630","3.07M","1.92%"
"06/19/2024","4,690","4,740","4,760","4,680","5.63M","-1.05%"
"06/14/2024","4,740","4,930","4,950","4,710","4.02M","-4.24%"
"06/13/2024","4,950","5,050","5,100","4,900","1.49M","-1.49%"
"06/12/2024","5,025","5,050","5,125","4,970","2.39M","-0.50%"
"06/11/2024","5,050","5,050","5,150","5,050","3.33M","0.00%"
"06/10/2024","5,050","5,175","5,200","5,050","2.93M","-2.42%"
"06/07/2024","5,175","5,075","5,200","5,075","3.59M","1.97%"
"06/06/2024","5,075","5,000","5,175","5,000","12.24M","1.50%"
"06/05/2024","5,000","4,930","5,000","4,910","4.45M","1.42%"
"06/04/2024","4,930","4,760","5,025","4,760","7.43M","3.57%"
"06/03/2024","4,760","4,780","4,840","4,750","7.52M","-0.42%"
"05/31/2024","4,780","4,890","4,890","4,780","8.75M","-2.25%"
"05/30/2024","4,890","4,910","4,920","4,850","2.45M","-0.41%"
"05/29/2024","4,910","4,890","4,930","4,840","1.70M","0.61%"
"05/28/2024","4,880","4,950","4,960","4,860","5.91M","-1.41%"
"05/27/2024","4,950","5,000","5,000","4,840","5.15M","-1.00%"
"05/22/2024","5,000","4,920","5,000","4,900","4.95M","2.04%"
"05/21/2024","4,900","5,000","5,025","4,840","6.53M","-2.00%"
"05/20/2024","5,000","5,000","5,075","4,990","6.10M","0.00%"
"05/17/2024","5,000","5,050","5,100","4,970","7.74M","-0.99%"
"05/16/2024","5,050","5,150","5,175","5,050","7.91M","-0.49%"
"05/15/2024","5,075","5,100","5,150","5,000","7.33M","1.00%"
"05/14/2024","5,025","5,175","5,200","4,990","4.84M","-2.43%"
"05/13/2024","5,150","5,225","5,250","5,050","6.88M","-0.96%"
"05/08/2024","5,200","5,200","5,225","5,100","7.89M","0.48%"
"05/07/2024","5,175","5,400","5,400","5,150","9.41M","-4.61%"
"05/06/2024","5,425","5,000","5,425","5,000","7.94M","7.96%"
"05/03/2024","5,025","5,150","5,225","4,990","3.47M","-1.95%"
"05/02/2024","5,125","5,400","5,400","5,025","5.14M","-5.09%"
"04/30/2024","5,400","5,200","5,400","5,150","3.71M","1.89%"
"04/29/2024","5,300","5,075","5,350","4,930","5.38M","4.95%"
"04/26/2024","5,050","5,275","5,300","5,000","4.31M","-3.81%"
"04/25/2024","5,250","5,300","5,325","5,225","4.75M","0.00%"
"04/24/2024","5,250","5,325","5,375","5,225","4.19M","-1.41%"
"04/23/2024","5,325","5,425","5,425","5,300","1.52M","-1.39%"
"04/22/2024","5,400","5,400","5,475","5,300","2.75M","-0.46%"
"04/19/2024","5,425","5,250","5,425","5,100","7.45M","3.33%"
"04/18/2024","5,250","5,300","5,350","5,200","6.66M","-1.41%"
