"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","1,360","1,360","1,390","1,340","43.20M","0.37%"
"12/27/2024","1,355","1,400","1,405","1,335","38.83M","-3.21%"
"12/24/2024","1,400","1,330","1,405","1,305","21.05M","5.26%"
"12/23/2024","1,330","1,280","1,330","1,265","44.24M","4.31%"
"12/20/2024","1,275","1,310","1,325","1,245","116.32M","-3.41%"
"12/19/2024","1,320","1,375","1,375","1,290","53.63M","-4.35%"
"12/18/2024","1,380","1,420","1,430","1,355","32.06M","-1.43%"
"12/17/2024","1,400","1,440","1,445","1,380","20.72M","-2.78%"
"12/16/2024","1,440","1,445","1,450","1,420","38.74M","-0.35%"
"12/13/2024","1,445","1,460","1,465","1,430","30.60M","-0.69%"
"12/12/2024","1,455","1,505","1,520","1,430","47.34M","-3.32%"
"12/11/2024","1,505","1,505","1,525","1,495","27.06M","0.00%"
"12/10/2024","1,505","1,490","1,505","1,470","30.93M","1.35%"
"12/09/2024","1,485","1,480","1,510","1,475","36.92M","1.37%"
"12/06/2024","1,465","1,505","1,505","1,465","31.35M","-2.66%"
"12/05/2024","1,505","1,485","1,505","1,475","27.92M","1.35%"
"12/04/2024","1,485","1,485","1,500","1,475","39.81M","0.34%"
"12/03/2024","1,480","1,475","1,490","1,455","27.01M","0.34%"
"12/02/2024","1,475","1,495","1,505","1,475","23.69M","-1.67%"
"11/29/2024","1,500","1,500","1,530","1,500","26.94M","0.33%"
"11/28/2024","1,495","1,500","1,520","1,485","31.49M","1.01%"
"11/26/2024","1,480","1,520","1,540","1,480","27.44M","-1.33%"
"11/25/2024","1,500","1,500","1,525","1,485","260.64M","2.04%"
"11/22/2024","1,470","1,455","1,490","1,450","21.93M","1.38%"
"11/21/2024","1,450","1,475","1,530","1,445","45.07M","-1.02%"
"11/20/2024","1,465","1,430","1,480","1,430","29.23M","2.81%"
"11/19/2024","1,425","1,435","1,455","1,425","31.00M","-0.70%"
"11/18/2024","1,435","1,415","1,435","1,415","33.79M","1.06%"
"11/15/2024","1,420","1,435","1,455","1,420","42.31M","-2.07%"
"11/14/2024","1,450","1,485","1,490","1,450","45.39M","-3.33%"
"11/13/2024","1,500","1,500","1,515","1,480","21.33M","0.00%"
"11/12/2024","1,500","1,500","1,520","1,490","34.35M","-0.66%"
"11/11/2024","1,510","1,540","1,545","1,485","47.39M","-1.95%"
"11/08/2024","1,540","1,570","1,575","1,530","32.73M","-1.91%"
"11/07/2024","1,570","1,590","1,605","1,570","32.00M","-1.26%"
"11/06/2024","1,590","1,615","1,615","1,585","35.56M","-0.63%"
"11/05/2024","1,600","1,605","1,620","1,590","27.95M","0.63%"
"11/04/2024","1,590","1,580","1,610","1,575","30.37M","1.27%"
"11/01/2024","1,570","1,610","1,615","1,560","47.18M","-2.79%"
"10/31/2024","1,615","1,605","1,630","1,590","32.90M","0.62%"
"10/30/2024","1,605","1,615","1,615","1,575","35.37M","-0.62%"
"10/29/2024","1,615","1,640","1,645","1,600","24.62M","-0.92%"
"10/28/2024","1,630","1,625","1,640","1,610","21.95M","0.62%"
"10/25/2024","1,620","1,655","1,655","1,620","24.17M","-1.52%"
"10/24/2024","1,645","1,675","1,675","1,640","14.52M","-1.79%"
"10/23/2024","1,675","1,680","1,690","1,660","17.97M","-0.30%"
"10/22/2024","1,680","1,670","1,710","1,660","39.53M","1.20%"
"10/21/2024","1,660","1,715","1,720","1,660","28.49M","-3.21%"
"10/18/2024","1,715","1,700","1,715","1,680","26.15M","1.48%"
"10/17/2024","1,690","1,730","1,735","1,690","30.03M","-2.31%"
"10/16/2024","1,730","1,770","1,770","1,725","23.66M","-1.14%"
"10/15/2024","1,750","1,715","1,755","1,715","40.20M","2.04%"
"10/14/2024","1,715","1,720","1,740","1,695","14.66M","-0.29%"
"10/11/2024","1,720","1,680","1,720","1,655","21.20M","4.24%"
"10/10/2024","1,650","1,665","1,675","1,620","20.15M","-1.20%"
