"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","1,410","1,350","1,410","1,330","23.03M","4.44%"
"12/27/2024","1,350","1,410","1,410","1,350","9.99M","-4.26%"
"12/24/2024","1,410","1,370","1,440","1,365","16.49M","2.92%"
"12/23/2024","1,370","1,375","1,400","1,355","17.70M","0.00%"
"12/20/2024","1,370","1,330","1,385","1,330","6.73M","3.01%"
"12/19/2024","1,330","1,375","1,375","1,320","12.16M","-4.32%"
"12/18/2024","1,390","1,370","1,435","1,360","16.30M","2.21%"
"12/17/2024","1,360","1,390","1,405","1,350","10.09M","-2.16%"
"12/16/2024","1,390","1,445","1,445","1,385","10.04M","-3.81%"
"12/13/2024","1,445","1,460","1,480","1,435","12.35M","-0.69%"
"12/12/2024","1,455","1,420","1,465","1,405","17.78M","2.83%"
"12/11/2024","1,415","1,405","1,440","1,400","9.15M","0.71%"
"12/10/2024","1,405","1,385","1,425","1,385","15.66M","1.44%"
"12/09/2024","1,385","1,415","1,435","1,385","13.97M","-2.12%"
"12/06/2024","1,415","1,445","1,445","1,410","8.99M","-2.08%"
"12/05/2024","1,445","1,450","1,460","1,415","8.44M","0.70%"
"12/04/2024","1,435","1,430","1,470","1,420","12.53M","0.35%"
"12/03/2024","1,430","1,465","1,485","1,420","17.30M","-2.05%"
"12/02/2024","1,460","1,560","1,560","1,460","10.65M","-7.30%"
"11/29/2024","1,575","1,500","1,580","1,490","14.46M","5.00%"
"11/28/2024","1,500","1,515","1,540","1,500","9.77M","-0.99%"
"11/26/2024","1,515","1,470","1,525","1,470","7.70M","3.77%"
"11/25/2024","1,460","1,495","1,530","1,450","25.25M","-2.67%"
"11/22/2024","1,500","1,550","1,565","1,500","8.47M","-3.23%"
"11/21/2024","1,550","1,605","1,615","1,525","10.79M","-3.13%"
"11/20/2024","1,600","1,585","1,625","1,555","20.74M","0.95%"
"11/19/2024","1,585","1,455","1,595","1,435","34.21M","9.31%"
"11/18/2024","1,450","1,395","1,450","1,395","7.12M","5.07%"
"11/15/2024","1,380","1,400","1,415","1,375","9.13M","-1.78%"
"11/14/2024","1,405","1,435","1,465","1,395","17.18M","-1.40%"
"11/13/2024","1,425","1,460","1,485","1,420","14.54M","-2.73%"
"11/12/2024","1,465","1,470","1,495","1,450","10.33M","-0.34%"
"11/11/2024","1,470","1,500","1,500","1,445","13.11M","-1.34%"
"11/08/2024","1,490","1,470","1,530","1,445","32.52M","3.11%"
"11/07/2024","1,445","1,465","1,485","1,425","41.58M","-1.37%"
"11/06/2024","1,465","1,555","1,570","1,435","42.87M","-5.79%"
"11/05/2024","1,555","1,555","1,560","1,510","30.34M","0.32%"
"11/04/2024","1,550","1,605","1,615","1,540","19.17M","-3.43%"
"11/01/2024","1,605","1,580","1,655","1,575","56.58M","1.58%"
"10/31/2024","1,580","1,660","1,705","1,575","69.34M","-5.39%"
"10/30/2024","1,670","1,690","1,710","1,665","11.07M","-1.18%"
"10/29/2024","1,690","1,710","1,735","1,650","17.58M","-0.59%"
"10/28/2024","1,700","1,710","1,750","1,690","20.47M","0.29%"
"10/25/2024","1,695","1,735","1,735","1,690","8.30M","-2.31%"
"10/24/2024","1,735","1,740","1,745","1,690","14.04M","-0.29%"
"10/23/2024","1,740","1,765","1,790","1,740","4.15M","-1.42%"
"10/22/2024","1,765","1,755","1,775","1,710","7.35M","1.73%"
"10/21/2024","1,735","1,755","1,800","1,725","12.01M","-0.86%"
"10/18/2024","1,750","1,790","1,790","1,730","11.22M","-1.41%"
"10/17/2024","1,775","1,800","1,805","1,770","5.62M","-1.11%"
"10/16/2024","1,795","1,800","1,815","1,770","15.11M","-0.28%"
"10/15/2024","1,800","1,720","1,815","1,710","14.49M","4.65%"
"10/14/2024","1,720","1,710","1,735","1,690","10.84M","0.58%"
"10/11/2024","1,710","1,695","1,720","1,680","7.53M","0.88%"
"10/10/2024","1,695","1,700","1,750","1,670","14.64M","-0.88%"
"10/09/2024","1,710","1,760","1,770","1,695","11.37M","-2.29%"
"10/08/2024","1,750","1,650","1,770","1,600","28.89M","5.74%"
"10/07/2024","1,655","1,665","1,680","1,640","21.50M","0.00%"
"10/04/2024","1,655","1,730","1,735","1,655","26.40M","-4.34%"
"10/03/2024","1,730","1,740","1,740","1,690","61.65M","0.00%"
"10/02/2024","1,730","1,750","1,750","1,690","37.60M","-0.86%"
"10/01/2024","1,745","1,760","1,760","1,675","38.86M","-0.85%"
"09/30/2024","1,760","1,830","1,830","1,700","39.90M","-3.83%"
"09/27/2024","1,830","1,790","1,850","1,780","23.45M","2.52%"
"09/26/2024","1,785","1,800","1,805","1,760","14.30M","-0.56%"
"09/25/2024","1,795","1,800","1,825","1,765","22.04M","-1.37%"
"09/24/2024","1,820","1,820","1,835","1,810","17.03M","0.55%"
"09/23/2024","1,810","1,800","1,830","1,795","25.09M","-2.16%"
"09/20/2024","1,850","1,800","1,850","1,795","65.43M","3.93%"
"09/19/2024","1,780","1,805","1,825","1,770","16.68M","-1.11%"
"09/18/2024","1,800","1,820","1,890","1,765","53.21M","0.56%"
"09/17/2024","1,790","1,675","1,800","1,675","32.01M","7.83%"
"09/13/2024","1,660","1,695","1,705","1,660","16.15M","-2.06%"
"09/12/2024","1,695","1,685","1,710","1,680","25.65M","1.50%"
"09/11/2024","1,670","1,665","1,725","1,630","40.97M","0.30%"
"09/10/2024","1,665","1,510","1,695","1,510","75.42M","10.63%"
"09/09/2024","1,505","1,505","1,510","1,485","8.04M","0.33%"
"09/06/2024","1,500","1,515","1,525","1,490","19.73M","-0.99%"
"09/05/2024","1,515","1,460","1,515","1,445","28.90M","3.77%"
"09/04/2024","1,460","1,490","1,520","1,455","39.44M","-2.67%"
"09/03/2024","1,500","1,500","1,510","1,485","17.74M","0.00%"
"09/02/2024","1,500","1,500","1,525","1,490","14.34M","0.33%"
"08/30/2024","1,495","1,535","1,540","1,475","22.91M","-2.61%"
"08/29/2024","1,535","1,520","1,540","1,505","20.18M","0.99%"
"08/28/2024","1,520","1,510","1,540","1,500","11.67M","0.66%"
"08/27/2024","1,510","1,505","1,530","1,485","14.91M","0.67%"
"08/26/2024","1,500","1,510","1,515","1,490","18.63M","-0.33%"
