"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","458.00","452.00","474.00","450.00","34.90M","0.88%"
"12/27/2024","454.00","454.00","464.00","452.00","10.70M","0.00%"
"12/24/2024","454.00","468.00","470.00","454.00","15.41M","-2.99%"
"12/23/2024","468.00","462.00","476.00","462.00","18.45M","1.30%"
"12/20/2024","462.00","454.00","462.00","448.00","45.47M","2.21%"
"12/19/2024","452.00","486.00","490.00","450.00","56.72M","-5.83%"
"12/18/2024","480.00","490.00","492.00","480.00","15.19M","-1.64%"
"12/17/2024","488.00","496.00","500.00","484.00","24.48M","-1.61%"
"12/16/2024","496.00","505.00","505.00","478.00","151.56M","-1.78%"
"12/13/2024","505.00","520.00","520.00","505.00","18.86M","-2.88%"
"12/12/2024","520.00","520.00","525.00","510.00","20.00M","0.00%"
"12/11/2024","520.00","525.00","540.00","515.00","36.09M","-2.80%"
"12/10/2024","535.00","515.00","540.00","515.00","45.43M","3.88%"
"12/09/2024","515.00","515.00","520.00","510.00","11.58M","0.98%"
"12/06/2024","510.00","520.00","525.00","510.00","14.89M","-1.92%"
"12/05/2024","520.00","530.00","530.00","515.00","15.07M","-1.89%"
"12/04/2024","530.00","520.00","535.00","515.00","35.29M","2.91%"
"12/03/2024","515.00","510.00","525.00","505.00","24.12M","1.98%"
"12/02/2024","505.00","500.00","515.00","500.00","24.06M","1.00%"
"11/29/2024","500.00","510.00","510.00","500.00","40.06M","-1.96%"
"11/28/2024","510.00","525.00","530.00","505.00","38.29M","-2.86%"
"11/26/2024","525.00","525.00","535.00","520.00","22.33M","0.96%"
"11/25/2024","520.00","550.00","555.00","520.00","35.57M","-5.45%"
"11/22/2024","550.00","515.00","555.00","505.00","173.45M","7.84%"
"11/21/2024","510.00","500.00","510.00","498.00","43.09M","2.00%"
"11/20/2024","500.00","505.00","515.00","500.00","27.22M","-0.99%"
"11/19/2024","505.00","500.00","515.00","498.00","37.07M","1.00%"
"11/18/2024","500.00","515.00","520.00","476.00","235.47M","-4.76%"
"11/15/2024","525.00","530.00","545.00","515.00","39.81M","-0.94%"
"11/14/2024","530.00","550.00","570.00","530.00","105.36M","-1.85%"
"11/13/2024","540.00","500.00","580.00","500.00","285.61M","9.76%"
"11/12/2024","492.00","500.00","510.00","492.00","38.49M","-1.60%"
"11/11/2024","500.00","515.00","515.00","500.00","47.50M","-2.91%"
"11/08/2024","515.00","510.00","515.00","505.00","21.81M","1.98%"
"11/07/2024","505.00","525.00","530.00","498.00","86.16M","-3.81%"
"11/06/2024","525.00","525.00","545.00","525.00","32.14M","0.00%"
"11/05/2024","525.00","530.00","540.00","525.00","21.24M","-0.94%"
"11/04/2024","530.00","545.00","550.00","530.00","18.53M","-1.85%"
"11/01/2024","540.00","540.00","560.00","535.00","115.06M","-1.82%"
"10/31/2024","550.00","525.00","550.00","520.00","92.44M","5.77%"
"10/30/2024","520.00","530.00","530.00","520.00","24.20M","-0.95%"
"10/29/2024","525.00","530.00","535.00","525.00","26.81M","-0.94%"
"10/28/2024","530.00","530.00","540.00","525.00","42.36M","0.95%"
"10/25/2024","525.00","530.00","535.00","525.00","36.61M","-0.94%"
"10/24/2024","530.00","530.00","535.00","525.00","26.59M","0.00%"
"10/23/2024","530.00","540.00","540.00","530.00","42.65M","-0.93%"
"10/22/2024","535.00","545.00","545.00","530.00","53.48M","-1.83%"
"10/21/2024","545.00","540.00","555.00","540.00","50.10M","0.93%"
"10/18/2024","540.00","535.00","540.00","530.00","33.23M","1.89%"
"10/17/2024","530.00","535.00","545.00","525.00","86.43M","-0.93%"
"10/16/2024","535.00","540.00","540.00","530.00","24.43M","0.00%"
"10/15/2024","535.00","540.00","545.00","535.00","24.99M","0.00%"
"10/14/2024","535.00","540.00","555.00","535.00","52.14M","-0.93%"
"10/11/2024","540.00","530.00","545.00","530.00","42.53M","1.89%"
"10/10/2024","530.00","540.00","545.00","530.00","41.06M","-1.85%"
"10/09/2024","540.00","545.00","545.00","530.00","48.27M","-0.92%"
"10/08/2024","545.00","560.00","565.00","540.00","75.38M","-3.54%"
"10/07/2024","565.00","565.00","570.00","555.00","46.55M","0.89%"
"10/04/2024","560.00","575.00","580.00","560.00","63.23M","-3.45%"
"10/03/2024","580.00","580.00","585.00","575.00","54.06M","0.87%"
"10/02/2024","575.00","595.00","595.00","560.00","101.54M","-2.54%"
"10/01/2024","590.00","610.00","615.00","585.00","196.41M","0.85%"
"09/30/2024","585.00","585.00","590.00","570.00","65.97M","0.00%"
"09/27/2024","585.00","580.00","590.00","565.00","147.20M","1.74%"
"09/26/2024","575.00","555.00","580.00","540.00","148.74M","4.55%"
"09/25/2024","550.00","545.00","565.00","540.00","158.45M","1.85%"
"09/24/2024","540.00","545.00","550.00","535.00","47.94M","-0.92%"
"09/23/2024","545.00","540.00","550.00","540.00","45.24M","0.93%"
"09/20/2024","540.00","530.00","540.00","520.00","91.36M","1.89%"
"09/19/2024","530.00","530.00","535.00","525.00","37.38M","0.95%"
"09/18/2024","525.00","540.00","545.00","525.00","40.61M","-2.78%"
"09/17/2024","540.00","545.00","550.00","535.00","46.80M","0.00%"
"09/13/2024","540.00","545.00","555.00","535.00","34.78M","-0.92%"
"09/12/2024","545.00","535.00","555.00","530.00","90.80M","2.83%"
"09/11/2024","530.00","535.00","535.00","530.00","24.01M","0.00%"
"09/10/2024","530.00","530.00","540.00","530.00","24.71M","0.95%"
"09/09/2024","525.00","535.00","540.00","520.00","55.08M","-1.87%"
"09/06/2024","535.00","545.00","545.00","535.00","29.09M","-0.93%"
"09/05/2024","540.00","535.00","540.00","530.00","36.58M","0.93%"
"09/04/2024","535.00","530.00","545.00","525.00","30.27M","-0.93%"
"09/03/2024","540.00","545.00","550.00","540.00","44.10M","-0.92%"
"09/02/2024","545.00","545.00","555.00","540.00","44.90M","-0.91%"
"08/30/2024","550.00","545.00","555.00","540.00","42.78M","0.92%"
"08/29/2024","545.00","560.00","560.00","540.00","86.19M","-2.68%"
"08/28/2024","560.00","550.00","570.00","545.00","130.76M","3.70%"
"08/27/2024","540.00","545.00","550.00","530.00","75.00M","-0.92%"
"08/26/2024","545.00","545.00","555.00","540.00","53.49M","0.93%"
"08/23/2024","540.00","545.00","550.00","535.00","52.70M","0.00%"
"08/22/2024","540.00","555.00","555.00","535.00","75.23M","-1.82%"
"08/21/2024","550.00","565.00","570.00","550.00","45.05M","-2.65%"
"08/20/2024","565.00","555.00","565.00","545.00","54.32M","3.67%"
"08/19/2024","545.00","555.00","565.00","535.00","66.27M","-1.80%"
"08/16/2024","555.00","560.00","575.00","555.00","45.79M","0.00%"
"08/15/2024","555.00","565.00","570.00","555.00","55.37M","-1.77%"
"08/14/2024","565.00","580.00","585.00","565.00","39.16M","-1.74%"
"08/13/2024","575.00","585.00","590.00","570.00","22.90M","-0.86%"
"08/12/2024","580.00","575.00","590.00","565.00","51.03M","1.75%"
"08/09/2024","570.00","560.00","575.00","555.00","31.23M","3.64%"
"08/08/2024","550.00","570.00","575.00","550.00","44.17M","-4.35%"
"08/07/2024","575.00","575.00","585.00","570.00","39.36M","1.77%"
"08/06/2024","565.00","560.00","575.00","550.00","67.41M","2.73%"
"08/05/2024","550.00","585.00","585.00","510.00","150.18M","-6.78%"
"08/02/2024","590.00","600.00","610.00","590.00","27.38M","-2.48%"
"08/01/2024","605.00","600.00","615.00","595.00","43.01M","1.68%"
"07/31/2024","595.00","585.00","600.00","585.00","30.77M","2.59%"
"07/30/2024","580.00","590.00","595.00","580.00","17.82M","-1.69%"
"07/29/2024","590.00","595.00","605.00","585.00","23.43M","-0.84%"
"07/26/2024","595.00","600.00","605.00","595.00","27.84M","0.00%"
"07/25/2024","595.00","630.00","630.00","575.00","131.76M","-5.56%"
"07/24/2024","630.00","640.00","640.00","620.00","61.77M","-0.79%"
"07/23/2024","635.00","615.00","635.00","610.00","115.41M","3.25%"
"07/22/2024","615.00","620.00","635.00","610.00","88.77M","-0.81%"
"07/19/2024","620.00","640.00","640.00","615.00","67.55M","-3.13%"
"07/18/2024","640.00","655.00","660.00","635.00","68.21M","-2.29%"
"07/17/2024","655.00","660.00","660.00","650.00","35.34M","0.00%"
"07/16/2024","655.00","645.00","665.00","640.00","61.72M","2.34%"
"07/15/2024","640.00","630.00","640.00","615.00","55.50M","0.79%"
"07/12/2024","635.00","645.00","650.00","625.00","60.55M","-1.55%"
"07/11/2024","645.00","630.00","655.00","630.00","108.31M","2.38%"
"07/10/2024","630.00","630.00","640.00","620.00","49.48M","0.80%"
"07/09/2024","625.00","610.00","640.00","605.00","106.20M","2.46%"
"07/08/2024","610.00","635.00","635.00","605.00","67.83M","-3.17%"
"07/05/2024","630.00","610.00","640.00","610.00","70.59M","3.28%"
"07/04/2024","610.00","625.00","640.00","610.00","60.35M","-1.61%"
"07/03/2024","620.00","625.00","630.00","610.00","33.48M","-0.80%"
"07/02/2024","625.00","655.00","660.00","620.00","43.46M","-3.85%"
"07/01/2024","650.00","630.00","675.00","630.00","99.03M","3.17%"
"06/28/2024","630.00","630.00","635.00","620.00","36.47M","1.61%"
"06/27/2024","620.00","590.00","630.00","590.00","74.47M","5.08%"
"06/26/2024","590.00","590.00","590.00","575.00","19.50M","0.00%"
"06/25/2024","590.00","595.00","600.00","580.00","14.33M","-0.84%"
"06/24/2024","595.00","585.00","600.00","575.00","30.59M","2.59%"
"06/21/2024","580.00","560.00","595.00","555.00","71.95M","4.50%"
"06/20/2024","555.00","555.00","565.00","540.00","31.83M","0.91%"
"06/19/2024","550.00","565.00","585.00","550.00","32.47M","-2.65%"
"06/14/2024","565.00","590.00","605.00","560.00","50.30M","-4.24%"
