"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","1,100","1,110","1,120","1,095","13.14M","-0.45%"
"12/27/2024","1,105","1,095","1,120","1,095","12.26M","1.38%"
"12/24/2024","1,090","1,095","1,110","1,080","16.90M","-0.46%"
"12/23/2024","1,095","1,105","1,110","1,080","17.88M","0.46%"
"12/20/2024","1,090","1,060","1,125","1,060","66.86M","3.81%"
"12/19/2024","1,050","1,020","1,070","1,015","56.18M","1.94%"
"12/18/2024","1,030","1,045","1,090","1,015","55.04M","-1.44%"
"12/17/2024","1,045","1,070","1,080","1,040","24.61M","-2.34%"
"12/16/2024","1,070","1,100","1,100","1,065","25.11M","-1.83%"
"12/13/2024","1,090","1,115","1,130","1,085","23.31M","-2.68%"
"12/12/2024","1,120","1,160","1,170","1,105","28.94M","-1.75%"
"12/11/2024","1,140","1,150","1,165","1,140","14.85M","-0.87%"
"12/10/2024","1,150","1,140","1,165","1,140","26.31M","1.32%"
"12/09/2024","1,135","1,145","1,155","1,125","33.01M","-1.30%"
"12/06/2024","1,150","1,105","1,160","1,080","57.39M","2.22%"
"12/05/2024","1,125","1,125","1,130","1,100","14.34M","-0.44%"
"12/04/2024","1,130","1,085","1,135","1,080","23.67M","5.61%"
"12/03/2024","1,070","1,050","1,075","1,045","18.27M","1.90%"
"12/02/2024","1,050","1,095","1,115","1,050","20.36M","-3.67%"
"11/29/2024","1,090","1,130","1,140","1,090","22.01M","-3.11%"
"11/28/2024","1,125","1,125","1,140","1,120","6.53M","0.00%"
"11/26/2024","1,125","1,160","1,160","1,120","20.46M","-3.85%"
"11/25/2024","1,170","1,155","1,185","1,150","22.96M","2.18%"
"11/22/2024","1,145","1,155","1,160","1,135","22.51M","0.00%"
"11/21/2024","1,145","1,155","1,155","1,120","22.71M","0.44%"
"11/20/2024","1,140","1,105","1,150","1,105","32.23M","4.59%"
"11/19/2024","1,090","1,085","1,125","1,080","36.70M","2.35%"
"11/18/2024","1,065","1,115","1,120","1,060","42.79M","-4.48%"
"11/15/2024","1,115","1,160","1,160","1,105","35.26M","-2.62%"
"11/14/2024","1,145","1,185","1,195","1,130","37.86M","-3.38%"
"11/13/2024","1,185","1,180","1,205","1,180","25.26M","0.42%"
"11/12/2024","1,180","1,200","1,205","1,175","41.26M","-2.48%"
"11/11/2024","1,210","1,225","1,225","1,195","23.84M","-1.63%"
"11/08/2024","1,230","1,235","1,255","1,220","24.20M","0.41%"
"11/07/2024","1,225","1,205","1,280","1,185","70.38M","1.66%"
"11/06/2024","1,205","1,265","1,275","1,200","47.71M","-4.74%"
"11/05/2024","1,265","1,285","1,285","1,260","16.51M","-0.78%"
"11/04/2024","1,275","1,265","1,280","1,245","30.96M","0.79%"
"11/01/2024","1,265","1,255","1,275","1,245","27.30M","-1.17%"
"10/31/2024","1,280","1,290","1,295","1,255","39.84M","-0.39%"
"10/30/2024","1,285","1,235","1,290","1,210","45.00M","4.05%"
"10/29/2024","1,235","1,245","1,265","1,230","30.83M","-0.80%"
"10/28/2024","1,245","1,285","1,290","1,240","67.49M","-4.60%"
"10/25/2024","1,305","1,345","1,345","1,300","32.66M","-2.97%"
"10/24/2024","1,345","1,340","1,350","1,325","29.61M","0.37%"
"10/23/2024","1,340","1,350","1,365","1,340","49.46M","-0.37%"
"10/22/2024","1,345","1,330","1,355","1,325","97.76M","1.89%"
