"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","2,750","2,630","2,750","2,620","16.42M","4.96%"
"12/27/2024","2,620","2,600","2,640","2,600","7.57M","1.16%"
"12/24/2024","2,590","2,600","2,620","2,590","5.15M","0.00%"
"12/23/2024","2,590","2,600","2,620","2,590","7.11M","0.00%"
"12/20/2024","2,590","2,590","2,630","2,590","6.24M","0.39%"
"12/19/2024","2,580","2,680","2,680","2,570","23.99M","-3.73%"
"12/18/2024","2,680","2,670","2,710","2,660","5.53M","0.37%"
"12/17/2024","2,670","2,740","2,740","2,670","12.05M","-2.55%"
"12/16/2024","2,740","2,780","2,790","2,720","9.33M","-1.44%"
"12/13/2024","2,780","2,800","2,810","2,770","4.66M","-0.71%"
"12/12/2024","2,800","2,800","2,830","2,780","9.05M","0.00%"
"12/11/2024","2,800","2,830","2,860","2,790","13.12M","-1.06%"
"12/10/2024","2,830","2,760","2,860","2,740","28.23M","2.91%"
"12/09/2024","2,750","2,730","2,760","2,730","10.86M","0.73%"
"12/06/2024","2,730","2,730","2,730","2,700","7.21M","-0.36%"
"12/05/2024","2,740","2,730","2,770","2,700","8.31M","1.11%"
"12/04/2024","2,710","2,700","2,750","2,700","10.57M","0.37%"
"12/03/2024","2,700","2,670","2,710","2,670","6.35M","1.12%"
"12/02/2024","2,670","2,700","2,730","2,660","12.31M","-1.11%"
"11/29/2024","2,700","2,790","2,790","2,700","10.74M","-3.23%"
"11/28/2024","2,790","2,760","2,790","2,740","5.88M","1.09%"
"11/26/2024","2,760","2,830","2,830","2,760","6.82M","-1.43%"
"11/25/2024","2,800","2,770","2,830","2,760","12.29M","1.08%"
"11/22/2024","2,770","2,750","2,780","2,740","5.35M","1.84%"
"11/21/2024","2,720","2,740","2,770","2,720","4.71M","-0.73%"
"11/20/2024","2,740","2,770","2,780","2,720","5.50M","-1.08%"
"11/19/2024","2,770","2,720","2,790","2,720","6.84M","1.84%"
"11/18/2024","2,720","2,750","2,770","2,700","11.49M","-1.09%"
"11/15/2024","2,750","2,770","2,800","2,750","8.10M","-0.72%"
"11/14/2024","2,770","2,810","2,810","2,770","8.78M","-1.42%"
"11/13/2024","2,810","2,870","2,890","2,810","11.39M","-2.09%"
"11/12/2024","2,870","2,780","2,890","2,780","18.30M","3.61%"
"11/11/2024","2,770","2,800","2,800","2,750","16.65M","-1.07%"
"11/08/2024","2,800","2,830","2,840","2,800","9.18M","-1.06%"
"11/07/2024","2,830","2,860","2,860","2,810","9.94M","-1.05%"
"11/06/2024","2,860","2,900","2,900","2,840","9.44M","-1.04%"
"11/05/2024","2,890","2,880","2,920","2,860","13.39M","0.70%"
"11/04/2024","2,870","2,920","2,920","2,850","9.85M","-1.71%"
"11/01/2024","2,920","2,950","2,950","2,880","14.27M","-1.35%"
"10/31/2024","2,960","2,850","2,960","2,840","22.80M","4.23%"
"10/30/2024","2,840","2,850","2,880","2,800","17.12M","-0.35%"
"10/29/2024","2,850","2,850","2,870","2,830","9.85M","-0.70%"
"10/28/2024","2,870","2,880","2,910","2,840","16.50M","-0.35%"
"10/25/2024","2,880","2,920","2,940","2,870","17.37M","-1.37%"
"10/24/2024","2,920","2,950","2,970","2,920","13.92M","-1.02%"
