"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","590","575","590","570","14.43M","3.51%"
"12/27/2024","570","555","575","555","6.53M","2.70%"
"12/24/2024","555","570","575","550","10.22M","-2.63%"
"12/23/2024","570","570","585","560","15.86M","0.00%"
"12/20/2024","570","540","570","540","8.79M","5.56%"
"12/19/2024","540","560","565","535","25.86M","-3.57%"
"12/18/2024","560","575","575","560","19.15M","-1.75%"
"12/17/2024","570","575","585","565","21.39M","-0.87%"
"12/16/2024","575","585","585","570","24.31M","-1.71%"
"12/13/2024","585","580","585","580","12.49M","0.86%"
"12/12/2024","580","585","590","580","10.27M","-0.85%"
"12/11/2024","585","585","590","580","19.80M","0.86%"
"12/10/2024","580","585","585","575","19.12M","-0.85%"
"12/09/2024","585","580","585","580","7.77M","0.86%"
"12/06/2024","580","580","585","575","13.70M","-0.85%"
"12/05/2024","585","580","590","580","3.38M","0.86%"
"12/04/2024","580","580","590","580","9.56M","0.00%"
"12/03/2024","580","585","590","580","14.84M","0.00%"
"12/02/2024","580","575","590","570","21.44M","0.87%"
"11/29/2024","575","580","590","575","11.72M","-0.86%"
"11/28/2024","580","580","585","575","16.47M","0.00%"
"11/26/2024","580","585","590","580","13.26M","0.00%"
"11/25/2024","580","570","590","570","18.54M","1.75%"
"11/22/2024","570","570","575","565","22.90M","0.00%"
"11/21/2024","570","580","585","570","12.41M","-1.72%"
"11/20/2024","580","580","590","580","6.69M","0.00%"
"11/19/2024","580","580","585","575","8.49M","0.00%"
"11/18/2024","580","575","585","575","11.99M","0.87%"
"11/15/2024","575","585","590","575","12.89M","-0.86%"
"11/14/2024","580","605","605","575","24.74M","-3.33%"
"11/13/2024","600","605","605","590","17.92M","0.00%"
"11/12/2024","600","575","610","575","33.50M","4.35%"
"11/11/2024","575","575","585","565","17.66M","0.00%"
"11/08/2024","575","565","585","565","19.90M","2.68%"
"11/07/2024","560","575","580","560","39.01M","-2.61%"
"11/06/2024","575","590","590","575","21.32M","-2.54%"
"11/05/2024","590","595","595","585","41.57M","-2.48%"
"11/04/2024","605","610","615","600","31.69M","0.00%"
"11/01/2024","605","610","615","605","21.08M","-0.82%"
"10/31/2024","610","605","615","605","24.41M","0.83%"
"10/30/2024","605","610","615","600","50.14M","0.00%"
"10/29/2024","605","615","615","605","32.55M","-0.82%"
"10/28/2024","610","615","625","610","51.71M","-0.81%"
"10/25/2024","615","625","625","605","94.48M","-1.60%"
"10/24/2024","625","665","665","620","119.17M","-6.02%"
"10/23/2024","665","655","665","655","13.69M","1.53%"
"10/22/2024","655","665","665","655","8.87M","-0.76%"
"10/21/2024","660","670","675","660","13.97M","-1.49%"
"10/18/2024","670","670","675","665","18.02M","0.00%"
"10/17/2024","670","675","675","665","26.04M","-0.74%"
"10/16/2024","675","655","675","655","109.06M","3.05%"
"10/15/2024","655","650","660","650","17.58M","0.77%"
"10/14/2024","650","650","655","645","20.44M","0.00%"
"10/11/2024","650","655","660","645","27.84M","-0.76%"
"10/10/2024","655","670","670","655","13.19M","-1.50%"
"10/09/2024","665","670","670","660","11.38M","-0.75%"
"10/08/2024","670","670","670","660","15.72M","0.00%"
"10/07/2024","670","645","670","645","38.16M","4.69%"
"10/04/2024","640","640","650","635","29.12M","0.00%"
"10/03/2024","640","660","665","630","91.12M","-3.03%"
"10/02/2024","660","675","675","650","42.89M","-2.22%"
"10/01/2024","675","670","680","665","22.19M","1.50%"
"09/30/2024","665","665","670","655","26.09M","0.00%"
"09/27/2024","665","675","675","660","27.40M","-0.75%"
"09/26/2024","670","665","675","660","19.25M","0.75%"
"09/25/2024","665","670","675","660","38.22M","-0.75%"
"09/24/2024","670","680","680","665","33.72M","-0.74%"
"09/23/2024","675","685","690","670","42.72M","-1.46%"
"09/20/2024","685","675","685","670","25.17M","1.48%"
"09/19/2024","675","675","680","665","41.92M","0.75%"
"09/18/2024","670","675","680","670","34.64M","-0.74%"
"09/17/2024","675","680","685","670","24.25M","-0.74%"
"09/13/2024","680","675","690","675","33.70M","0.74%"
"09/12/2024","675","680","685","670","17.21M","-0.74%"
"09/11/2024","680","660","680","655","23.49M","3.82%"
"09/10/2024","655","665","670","650","31.53M","-1.50%"
"09/09/2024","665","665","675","655","29.28M","-0.75%"
"09/06/2024","670","670","675","665","18.69M","0.00%"
"09/05/2024","670","675","680","665","40.59M","0.00%"
"09/04/2024","670","650","670","635","46.65M","2.29%"
"09/03/2024","655","665","675","645","52.26M","-1.50%"
"09/02/2024","665","670","680","665","40.55M","0.76%"
"08/30/2024","660","675","685","655","87.63M","-2.22%"
"08/29/2024","675","685","690","670","45.56M","-1.46%"
"08/28/2024","685","700","700","680","56.82M","-2.14%"
"08/27/2024","700","695","700","690","15.69M","0.72%"
"08/26/2024","695","705","710","690","49.85M","-1.42%"
"08/23/2024","705","705","710","700","28.36M","0.71%"
"08/22/2024","700","705","710","700","20.02M","-0.71%"
"08/21/2024","705","705","710","700","25.31M","0.00%"
"08/20/2024","705","710","710","700","19.44M","-0.70%"
"08/19/2024","710","720","725","695","42.25M","-1.39%"
"08/16/2024","720","725","730","720","11.10M","0.00%"
"08/15/2024","720","730","735","715","22.82M","-1.37%"
"08/14/2024","730","715","735","710","49.14M","2.82%"
"08/13/2024","710","710","720","705","17.65M","0.71%"
