"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","490","490","492","484","23.44M","0.00%"
"12/27/2024","490","490","494","490","15.37M","0.00%"
"12/24/2024","490","492","494","488","14.32M","0.41%"
"12/23/2024","488","492","494","484","33.64M","0.41%"
"12/20/2024","486","490","494","484","27.84M","0.41%"
"12/19/2024","484","492","492","480","50.92M","-2.42%"
"12/18/2024","496","500","510","494","42.38M","-0.80%"
"12/17/2024","500","510","510","500","42.40M","-1.96%"
"12/16/2024","510","510","510","500","35.26M","0.99%"
"12/13/2024","505","515","520","505","33.01M","-1.94%"
"12/12/2024","515","530","535","510","53.80M","-1.90%"
"12/11/2024","525","520","535","520","47.48M","0.96%"
"12/10/2024","520","535","535","510","77.93M","-1.89%"
"12/09/2024","530","540","550","525","37.66M","-1.85%"
"12/06/2024","540","545","555","535","28.38M","-0.92%"
"12/05/2024","545","550","550","540","16.18M","0.00%"
"12/04/2024","545","535","555","535","45.96M","1.87%"
"12/03/2024","535","525","540","525","30.83M","2.88%"
"12/02/2024","520","535","545","520","46.12M","-2.80%"
"11/29/2024","535","545","545","525","42.34M","-1.83%"
"11/28/2024","545","545","555","535","43.37M","0.00%"
"11/26/2024","545","570","570","540","65.75M","-3.54%"
"11/25/2024","565","570","585","565","43.20M","0.89%"
"11/22/2024","560","550","560","550","19.71M","1.82%"
"11/21/2024","550","570","570","545","25.75M","-2.65%"
"11/20/2024","565","580","585","560","20.66M","-1.74%"
"11/19/2024","575","570","590","565","37.65M","0.88%"
"11/18/2024","570","585","595","560","35.93M","-2.56%"
"11/15/2024","585","585","595","570","25.05M","0.00%"
"11/14/2024","585","595","600","580","22.64M","-1.68%"
"11/13/2024","595","610","615","595","19.72M","-2.46%"
"11/12/2024","610","600","615","590","27.11M","2.52%"
"11/11/2024","595","620","620","590","48.63M","-4.03%"
"11/08/2024","620","635","640","605","26.67M","-0.80%"
"11/07/2024","625","605","635","595","47.09M","3.31%"
"11/06/2024","605","625","645","590","106.47M","-3.20%"
"11/05/2024","625","625","630","615","37.76M","0.00%"
"11/04/2024","625","640","640","610","56.26M","-2.34%"
"11/01/2024","640","670","670","635","46.22M","-4.48%"
"10/31/2024","670","670","680","660","43.32M","0.00%"
"10/30/2024","670","665","670","645","50.10M","0.75%"
"10/29/2024","665","645","670","645","67.64M","3.10%"
"10/28/2024","645","640","660","640","86.02M","4.03%"
"10/25/2024","620","640","650","620","92.27M","-3.13%"
"10/24/2024","640","670","670","640","84.35M","-4.48%"
"10/23/2024","670","670","685","660","36.91M","-1.47%"
"10/22/2024","680","695","695","670","73.21M","-2.16%"
"10/21/2024","695","700","710","685","17.19M","0.00%"
"10/18/2024","695","700","705","685","49.04M","-0.71%"
"10/17/2024","700","710","715","695","26.17M","-1.41%"
"10/16/2024","710","705","715","695","39.65M","0.71%"
"10/15/2024","705","725","725","695","49.38M","-2.08%"
"10/14/2024","720","730","730","710","30.99M","0.00%"
"10/11/2024","720","695","730","685","100.03M","5.11%"
"10/10/2024","685","695","705","685","97.51M","-1.44%"
"10/09/2024","695","705","710","690","34.88M","-0.71%"
"10/08/2024","700","690","700","680","42.25M","1.45%"
"10/07/2024","690","685","705","680","40.69M","0.73%"
"10/04/2024","685","685","695","675","30.90M","0.00%"
"10/03/2024","685","675","695","675","40.39M","0.74%"
"10/02/2024","680","695","700","660","75.89M","-2.16%"
"10/01/2024","695","695","700","680","32.32M","0.00%"
"09/30/2024","695","715","720","690","54.70M","-2.80%"
"09/27/2024","715","685","720","680","76.76M","4.38%"
"09/26/2024","685","670","695","665","34.87M","2.24%"
"09/25/2024","670","695","700","670","78.79M","-3.60%"
"09/24/2024","695","695","705","690","40.86M","0.72%"
"09/23/2024","690","685","705","680","50.08M","0.73%"
"09/20/2024","685","705","710","680","75.17M","-2.14%"
"09/19/2024","700","710","720","675","200.13M","2.94%"
"09/18/2024","680","650","695","645","106.01M","4.62%"
"09/17/2024","650","655","675","645","81.19M","-0.76%"
"09/13/2024","655","660","660","645","38.13M","0.00%"
"09/12/2024","655","655","660","640","61.15M","0.00%"
"09/11/2024","655","640","670","640","142.57M","2.34%"
"09/10/2024","640","625","645","625","103.65M","3.23%"
"09/09/2024","620","630","635","615","67.33M","-1.59%"
"09/06/2024","630","630","635","615","42.04M","0.80%"
"09/05/2024","625","615","630","610","90.49M","2.46%"
"09/04/2024","610","600","630","580","144.39M","1.67%"
"09/03/2024","600","605","615","595","39.17M","-0.83%"
"09/02/2024","605","600","615","595","79.53M","-0.82%"
"08/30/2024","610","630","635","600","117.89M","-3.17%"
"08/29/2024","630","655","660","620","93.87M","-3.82%"
"08/28/2024","655","650","675","645","104.87M","2.34%"
"08/27/2024","640","660","670","640","83.42M","-2.29%"
"08/26/2024","655","635","660","620","128.11M","4.80%"
"08/23/2024","625","625","655","610","86.59M","0.81%"
"08/22/2024","620","635","640","620","59.15M","-3.13%"
"08/21/2024","640","650","655","640","48.53M","-0.78%"
"08/20/2024","645","645","650","640","28.72M","0.00%"
"08/19/2024","645","635","650","630","45.82M","0.78%"
"08/16/2024","640","645","655","625","78.37M","0.00%"
"08/15/2024","640","625","650","615","106.46M","2.40%"
"08/14/2024","625","630","630","615","46.02M","0.00%"
"08/13/2024","625","605","635","605","88.56M","3.31%"
"08/12/2024","605","605","610","590","53.01M","0.00%"
"08/09/2024","605","605","615","600","42.78M","0.00%"
"08/08/2024","605","585","610","575","118.44M","3.42%"
"08/07/2024","585","555","595","555","101.44M","5.41%"
"08/06/2024","555","545","565","530","52.88M","1.83%"
"08/05/2024","545","565","575","525","79.03M","-6.03%"
"08/02/2024","580","580","590","565","53.99M","0.00%"
"08/01/2024","580","560","585","555","65.03M","3.57%"
"07/31/2024","560","550","560","540","21.20M","2.75%"
"07/30/2024","545","560","565","545","26.76M","-2.68%"
"07/29/2024","560","540","560","540","52.80M","3.70%"
"07/26/2024","540","555","555","540","26.97M","-0.92%"
"07/25/2024","545","570","575","540","69.37M","-4.39%"
"07/24/2024","570","565","590","560","74.32M","1.79%"
"07/23/2024","560","570","570","555","16.59M","-0.88%"
"07/22/2024","565","560","570","560","20.41M","0.89%"
"07/19/2024","560","570","575","555","27.45M","-1.75%"
"07/18/2024","570","570","575","565","20.45M","0.00%"
"07/17/2024","570","560","575","560","44.05M","0.00%"
"07/16/2024","570","575","580","565","27.33M","-0.87%"
"07/15/2024","575","595","600","565","73.13M","-3.36%"
"07/12/2024","595","585","600","580","111.77M","1.71%"
"07/11/2024","585","555","590","550","172.47M","5.41%"
"07/10/2024","555","555","560","545","36.85M","0.00%"
"07/09/2024","555","550","560","540","45.48M","0.91%"
"07/08/2024","550","530","550","525","68.91M","3.77%"
"07/05/2024","530","515","530","515","39.08M","2.91%"
"07/04/2024","515","510","520","510","17.25M","0.98%"
"07/03/2024","510","515","525","510","26.32M","-0.97%"
"07/02/2024","515","505","520","500","60.89M","3.00%"
"07/01/2024","500","496","510","494","62.96M","0.00%"
"06/28/2024","500","496","510","494","53.35M","0.81%"
"06/27/2024","496","498","500","492","27.34M","-0.40%"
"06/26/2024","498","498","500","496","17.48M","0.40%"
"06/25/2024","496","500","505","494","29.19M","-0.80%"
"06/24/2024","500","505","515","500","23.00M","-0.99%"
"06/21/2024","505","505","510","496","37.84M","1.41%"
"06/20/2024","498","500","510","498","26.29M","-0.40%"
"06/19/2024","500","505","510","496","28.87M","0.00%"
"06/14/2024","500","510","515","500","16.93M","-1.96%"
"06/13/2024","510","510","515","505","9.63M","0.99%"
"06/12/2024","505","520","525","500","47.62M","-2.88%"
"06/11/2024","520","525","530","520","38.78M","-0.95%"
"06/10/2024","525","525","530","515","39.66M","0.96%"
"06/07/2024","520","525","530","515","23.82M","0.00%"
"06/06/2024","520","525","535","515","25.81M","-0.95%"
"06/05/2024","525","535","540","520","31.64M","-0.94%"
"06/04/2024","530","520","540","515","54.32M","1.92%"
"06/03/2024","520","515","520","510","23.91M","1.96%"
"05/31/2024","510","520","525","510","60.16M","-1.92%"
"05/30/2024","520","515","525","505","75.62M","0.97%"
"05/29/2024","515","525","525","510","37.78M","-1.90%"
"05/28/2024","525","545","545","515","71.49M","-2.78%"
"05/27/2024","540","560","565","535","65.01M","-2.70%"
"05/22/2024","555","555","560","545","27.86M","0.91%"
"05/21/2024","550","565","565","540","59.98M","-1.79%"
"05/20/2024","560","580","585","560","33.38M","-2.61%"
