"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","655","635","660","625","47.67M","3.15%"
"12/27/2024","635","625","660","625","51.17M","2.42%"
"12/24/2024","620","620","630","610","51.19M","0.81%"
"12/23/2024","615","620","635","610","45.41M","0.82%"
"12/20/2024","610","650","660","610","115.48M","-6.15%"
"12/19/2024","650","655","660","640","30.19M","-1.52%"
"12/18/2024","660","680","680","660","28.51M","-2.94%"
"12/17/2024","680","675","680","665","28.85M","0.00%"
"12/16/2024","680","695","695","670","35.31M","-1.45%"
"12/13/2024","690","690","700","685","21.44M","0.73%"
"12/12/2024","685","710","710","680","83.61M","-4.20%"
"12/11/2024","715","725","725","710","25.14M","-0.69%"
"12/10/2024","720","730","740","715","18.02M","-1.37%"
"12/09/2024","730","715","735","710","19.32M","2.82%"
"12/06/2024","710","720","720","700","30.15M","-1.39%"
"12/05/2024","720","710","730","705","26.63M","1.41%"
"12/04/2024","710","690","715","690","38.17M","2.90%"
"12/03/2024","690","690","700","680","19.58M","0.00%"
"12/02/2024","690","705","710","690","22.08M","-2.13%"
"11/29/2024","705","705","710","700","13.52M","0.00%"
"11/28/2024","705","705","710","695","17.95M","0.00%"
"11/26/2024","705","705","715","700","21.27M","0.00%"
"11/25/2024","705","720","730","705","33.12M","-2.08%"
"11/22/2024","720","720","725","710","13.96M","0.00%"
"11/21/2024","720","725","730","715","15.19M","0.00%"
"11/20/2024","720","720","725","710","7.04M","0.00%"
"11/19/2024","720","710","725","705","32.45M","1.41%"
"11/18/2024","710","725","725","700","29.06M","-1.39%"
"11/15/2024","720","720","725","705","42.59M","-0.69%"
"11/14/2024","725","735","735","710","45.17M","-1.36%"
"11/13/2024","735","740","740","725","30.45M","-0.68%"
"11/12/2024","740","745","750","725","36.06M","-1.33%"
"11/11/2024","750","750","750","730","18.47M","-0.66%"
"11/08/2024","755","780","785","755","13.62M","-3.21%"
"11/07/2024","780","765","785","755","22.86M","1.30%"
"11/06/2024","770","785","785","765","18.70M","-1.91%"
"11/05/2024","785","785","785","770","9.34M","0.00%"
"11/04/2024","785","800","800","770","22.07M","-1.88%"
"11/01/2024","800","800","805","790","16.30M","0.00%"
"10/31/2024","800","790","805","785","17.04M","1.27%"
"10/30/2024","790","790","795","765","20.35M","0.64%"
"10/29/2024","785","780","795","770","25.47M","1.29%"
"10/28/2024","775","795","800","775","34.26M","-2.52%"
"10/25/2024","795","805","805","795","14.53M","-1.24%"
"10/24/2024","805","800","805","795","18.04M","0.63%"
"10/23/2024","800","805","810","795","40.63M","-1.23%"
"10/22/2024","810","815","815","800","41.93M","-0.61%"
"10/21/2024","815","810","820","805","12.10M","0.62%"
"10/18/2024","810","815","815","800","37.17M","0.00%"
"10/17/2024","810","820","825","800","39.17M","-1.22%"
"10/16/2024","820","825","830","815","75.29M","-0.61%"
"10/15/2024","825","815","830","805","29.13M","1.23%"
"10/14/2024","815","840","845","815","25.85M","-2.98%"
"10/11/2024","840","855","855","830","21.77M","0.00%"
"10/10/2024","840","840","845","835","8.31M","0.00%"
"10/09/2024","840","840","850","840","9.55M","0.00%"
"10/08/2024","840","850","850","840","33.82M","-0.59%"
"10/07/2024","845","850","870","845","28.34M","-0.59%"
"10/04/2024","850","845","850","835","27.40M","0.59%"
"10/03/2024","845","850","850","835","23.15M","-1.17%"
"10/02/2024","855","870","870","835","53.66M","-1.72%"
"10/01/2024","870","855","870","850","28.33M","1.75%"
"09/30/2024","855","855","860","840","26.52M","0.00%"
"09/27/2024","855","860","860","845","14.88M","0.00%"
"09/26/2024","855","860","860","845","30.19M","0.00%"
"09/25/2024","855","865","865","840","24.72M","0.00%"
"09/24/2024","855","845","855","840","33.36M","1.18%"
"09/23/2024","845","840","850","835","57.88M","0.60%"
"09/20/2024","840","855","855","835","74.40M","-1.75%"
"09/19/2024","855","805","855","805","157.00M","6.88%"
"09/18/2024","800","845","850","795","111.37M","-5.33%"
"09/17/2024","845","855","860","840","23.53M","-1.74%"
"09/13/2024","860","860","860","850","16.63M","0.00%"
"09/12/2024","860","860","870","855","14.97M","0.00%"
"09/11/2024","860","885","885","855","53.40M","-2.27%"
"09/10/2024","880","850","885","840","124.00M","4.76%"
"09/09/2024","840","840","840","825","19.30M","0.00%"
"09/06/2024","840","830","845","830","33.71M","0.60%"
"09/05/2024","835","820","835","815","16.38M","2.45%"
"09/04/2024","815","815","825","805","15.31M","0.00%"
"09/03/2024","815","835","835","815","32.06M","-2.40%"
"09/02/2024","835","835","845","825","25.99M","0.00%"
"08/30/2024","835","830","835","810","37.86M","0.60%"
"08/29/2024","830","840","840","825","20.73M","0.00%"
"08/28/2024","830","830","850","815","82.96M","0.61%"
"08/27/2024","825","815","830","810","39.07M","1.23%"
"08/26/2024","815","810","815","800","30.11M","0.62%"
"08/23/2024","810","810","815","800","26.44M","0.62%"
"08/22/2024","805","805","810","790","30.68M","-1.23%"
"08/21/2024","815","820","820","805","18.99M","0.62%"
"08/20/2024","810","805","810","795","23.34M","1.25%"
"08/19/2024","800","810","815","790","74.16M","-1.84%"
"08/16/2024","815","830","835","810","38.13M","-1.21%"
"08/15/2024","825","840","845","820","29.72M","-1.79%"
"08/14/2024","840","835","840","825","37.87M","0.60%"
"08/13/2024","835","820","835","815","43.80M","1.83%"
"08/12/2024","820","835","835","810","26.34M","-1.80%"
"08/09/2024","835","825","835","820","33.33M","1.21%"
"08/08/2024","825","820","835","810","48.35M","0.00%"
"08/07/2024","825","815","830","815","22.29M","1.23%"
"08/06/2024","815","805","825","800","72.89M","1.88%"
"08/05/2024","800","825","825","775","131.33M","-4.19%"
"08/02/2024","835","815","850","805","117.26M","1.83%"
"08/01/2024","820","800","825","790","119.75M","3.14%"
"07/31/2024","795","795","795","780","42.08M","1.27%"
"07/30/2024","785","790","790","775","17.57M","0.00%"
"07/29/2024","785","785","795","785","15.60M","-0.63%"
"07/26/2024","790","800","800","780","17.13M","0.00%"
"07/25/2024","790","785","795","770","23.13M","0.64%"
"07/24/2024","785","795","800","775","17.66M","-1.26%"
"07/23/2024","795","775","800","775","62.45M","1.92%"
"07/22/2024","780","785","790","775","11.82M","0.00%"
"07/19/2024","780","795","795","760","44.52M","-1.89%"
"07/18/2024","795","800","800","780","31.32M","0.00%"
"07/17/2024","795","790","810","785","29.92M","0.63%"
"07/16/2024","790","800","805","790","29.96M","-1.25%"
"07/15/2024","800","815","815","790","35.38M","-1.23%"
"07/12/2024","810","790","810","780","92.14M","3.18%"
"07/11/2024","785","785","795","770","49.35M","0.64%"
"07/10/2024","780","785","785","765","42.66M","-0.64%"
"07/09/2024","785","750","785","745","92.47M","4.67%"
"07/08/2024","750","740","755","725","62.51M","2.04%"
"07/05/2024","735","735","735","720","27.34M","-1.34%"
"07/04/2024","745","745","755","730","33.43M","0.00%"
"07/03/2024","745","730","750","720","59.87M","2.05%"
"07/02/2024","730","730","735","720","39.34M","0.00%"
"07/01/2024","730","735","735","720","25.42M","-0.68%"
"06/28/2024","735","715","735","710","79.49M","2.80%"
"06/27/2024","715","685","720","685","50.76M","4.38%"
"06/26/2024","685","685","685","670","24.18M","0.00%"
"06/25/2024","685","680","685","670","36.95M","1.48%"
"06/24/2024","675","705","705","675","42.95M","-3.57%"
"06/21/2024","700","680","700","675","73.96M","2.94%"
"06/20/2024","680","680","685","670","55.75M","0.00%"
"06/19/2024","680","675","685","665","52.17M","0.74%"
"06/14/2024","675","690","690","660","78.06M","-2.17%"
"06/13/2024","690","700","700","675","69.99M","-0.72%"
"06/12/2024","695","705","710","695","81.89M","-2.11%"
"06/11/2024","710","710","715","700","119.83M","-1.39%"
"06/10/2024","720","725","725","710","42.88M","-0.69%"
"06/07/2024","725","725","725","710","56.74M","0.00%"
"06/06/2024","725","710","730","710","72.25M","2.84%"
"06/05/2024","705","715","720","700","113.55M","-1.40%"
"06/04/2024","715","690","720","690","217.26M","3.62%"
"06/03/2024","690","690","705","660","327.04M","0.00%"
"05/31/2024","690","720","735","690","1.95B","-4.17%"
"05/30/2024","720","720","735","710","55.64M","0.70%"
"05/29/2024","715","715","725","695","138.93M","-1.38%"
"05/28/2024","725","710","730","710","51.11M","2.11%"
"05/27/2024","710","750","760","705","200.95M","-7.19%"
"05/22/2024","765","740","765","725","86.73M","2.68%"
"05/21/2024","745","760","765","740","42.00M","-2.61%"
"05/20/2024","765","760","770","740","42.17M","0.66%"
"05/17/2024","760","760","765","735","62.23M","0.00%"
"05/16/2024","760","750","795","745","73.25M","1.33%"
"05/15/2024","750","750","750","685","252.89M","-3.85%"
"05/14/2024","780","780","785","765","52.57M","0.00%"
"05/13/2024","780","795","795","765","70.19M","-1.89%"
"05/08/2024","795","795","795","780","35.67M","0.00%"
"05/07/2024","795","795","800","785","23.77M","-0.63%"
"05/06/2024","800","795","800","790","27.47M","0.00%"
"05/03/2024","800","790","805","785","38.06M","1.27%"
"05/02/2024","790","805","805","790","24.39M","-1.86%"
"04/30/2024","805","800","815","795","49.61M","0.00%"
"04/29/2024","805","805","815","795","29.86M","1.26%"
"04/26/2024","795","820","820","790","26.09M","-2.45%"
"04/25/2024","815","805","820","790","26.59M","1.88%"
"04/24/2024","800","800","820","800","42.70M","0.00%"
"04/23/2024","800","785","810","775","32.43M","2.56%"
"04/22/2024","780","795","805","770","38.73M","-2.50%"
"04/19/2024","800","795","800","775","34.00M","-0.62%"
"04/18/2024","805","800","825","795","65.18M","0.63%"
"04/17/2024","800","815","815","790","68.20M","-1.84%"
"04/16/2024","815","840","845","805","105.43M","-4.68%"
"04/05/2024","855","850","860","845","33.36M","0.00%"
"04/04/2024","855","855","860","845","36.36M","0.00%"
"04/03/2024","855","855","865","845","17.75M","0.00%"
"04/02/2024","855","850","855","845","18.84M","0.59%"
"04/01/2024","850","860","870","840","24.03M","-1.16%"
"03/28/2024","860","855","870","850","18.95M","0.58%"
"03/27/2024","855","870","875","855","10.22M","-1.72%"
"03/26/2024","870","865","870","855","26.56M","0.58%"
"03/25/2024","865","875","875","860","16.48M","-1.14%"
"03/22/2024","875","860","875","855","29.27M","2.34%"
"03/21/2024","855","850","860","845","18.66M","0.59%"
"03/20/2024","850","855","865","845","17.06M","-0.58%"
"03/19/2024","855","870","875","855","15.55M","-1.16%"
"03/18/2024","865","865","875","860","24.89M","0.00%"
"03/15/2024","865","895","895","855","73.69M","-3.89%"
"03/14/2024","900","875","900","870","39.24M","2.86%"
"03/13/2024","875","900","905","870","21.70M","-1.69%"
"03/08/2024","890","885","900","875","17.96M","0.56%"
"03/07/2024","885","885","890","875","16.83M","1.14%"
"03/06/2024","875","880","890","875","16.70M","-0.57%"
"03/05/2024","880","895","905","875","27.82M","-1.12%"
"03/04/2024","890","900","905","890","10.23M","-1.11%"
"03/01/2024","900","925","925","900","11.45M","-2.17%"
"02/29/2024","920","940","945","890","154.42M","-1.60%"
"02/28/2024","935","940","945","925","26.01M","0.00%"
"02/27/2024","935","930","940","920","14.53M","0.54%"
"02/26/2024","930","930","945","925","38.49M","0.00%"
"02/23/2024","930","935","935","915","32.47M","0.00%"
"02/22/2024","930","920","935","915","35.18M","1.09%"
"02/21/2024","920","930","940","915","50.08M","-0.54%"
"02/20/2024","925","875","925","870","86.59M","5.71%"
"02/19/2024","875","880","885","865","19.57M","-0.57%"
"02/16/2024","880","875","895","870","24.70M","0.57%"
"02/15/2024","875","885","885","865","44.51M","-0.57%"
"02/13/2024","880","880","885","865","26.46M","0.00%"
"02/12/2024","880","880","885","865","32.79M","0.00%"
"02/07/2024","880","915","915","880","23.73M","-3.30%"
"02/06/2024","910","900","920","895","21.03M","0.55%"
"02/05/2024","905","925","925","895","17.26M","-2.16%"
"02/02/2024","925","910","925","895","29.16M","1.65%"
"02/01/2024","910","890","910","880","44.09M","2.25%"
"01/31/2024","890","875","895","860","88.85M","1.71%"
"01/30/2024","875","910","915","875","50.09M","-4.37%"
"01/29/2024","915","915","915","895","29.40M","0.00%"
"01/26/2024","915","920","935","895","58.15M","-0.54%"
"01/25/2024","920","975","975","920","35.28M","-4.66%"
"01/24/2024","965","965","980","955","15.98M","0.00%"
"01/23/2024","965","960","965","945","15.99M","1.05%"
"01/22/2024","955","950","960","945","6.91M","1.60%"
"01/19/2024","940","940","955","935","16.88M","0.00%"
"01/18/2024","940","950","965","935","15.52M","-1.05%"
"01/17/2024","950","955","965","940","15.75M","-0.52%"
"01/16/2024","955","985","985","955","24.17M","-3.05%"
"01/15/2024","985","980","985","965","13.20M","0.51%"
"01/12/2024","980","985","990","965","7.45M","0.51%"
"01/11/2024","975","960","990","960","9.76M","2.09%"
"01/10/2024","955","980","985","955","18.45M","-2.55%"
"01/09/2024","980","975","990","965","9.14M","0.51%"
"01/08/2024","975","995","995","970","14.45M","-2.01%"
"01/05/2024","995","1,020","1,020","995","14.73M","-2.45%"
"01/04/2024","1,020","1,015","1,030","1,010","15.43M","0.49%"
"01/03/2024","1,015","1,010","1,025","1,000","13.44M","0.50%"
"01/02/2024","1,010","985","1,010","980","17.73M","2.02%"
"12/29/2023","990","975","995","965","15.22M","2.06%"
"12/28/2023","970","970","980","960","16.79M","0.52%"
"12/27/2023","965","965","985","960","7.37M","0.00%"
"12/22/2023","965","960","970","945","18.77M","1.05%"
"12/21/2023","955","990","990","950","16.76M","-2.55%"
"12/20/2023","980","975","990","965","9.89M","1.03%"
"12/19/2023","970","965","975","955","13.51M","1.57%"
"12/18/2023","955","1,000","1,000","945","31.84M","-4.50%"
"12/15/2023","1,000","995","1,020","990","84.44M","0.00%"
"12/14/2023","1,000","1,000","1,005","985","42.91M","1.01%"
"12/13/2023","990","975","990","965","40.49M","2.59%"
"12/12/2023","965","950","970","940","44.92M","2.66%"
"12/11/2023","940","915","940","910","17.65M","3.87%"
"12/08/2023","905","905","920","900","18.03M","0.00%"
"12/07/2023","905","950","955","900","36.07M","-4.74%"
"12/06/2023","950","980","980","950","23.30M","-3.06%"
"12/05/2023","980","975","980","960","13.06M","1.55%"
"12/04/2023","965","940","980","940","20.00M","2.66%"
"12/01/2023","940","985","1,000","935","34.05M","-6.00%"
"11/30/2023","1,000","990","1,000","980","45.94M","1.01%"
"11/29/2023","990","1,000","1,000","985","14.60M","0.00%"
"11/28/2023","990","970","1,010","970","38.46M","2.06%"
"11/27/2023","970","975","990","970","8.68M","-0.51%"
"11/24/2023","975","980","980","965","5.63M","0.52%"
"11/23/2023","970","980","980","960","16.86M","-1.02%"
"11/22/2023","980","990","990","975","9.05M","-1.01%"
"11/21/2023","990","980","995","975","22.32M","1.02%"
"11/20/2023","980","980","985","965","13.96M","0.00%"
"11/17/2023","980","960","990","950","29.51M","2.08%"
"11/16/2023","960","960","960","945","22.53M","0.00%"
"11/15/2023","960","950","960","950","35.04M","3.23%"
"11/14/2023","930","950","955","930","10.40M","-2.11%"
"11/13/2023","950","930","950","930","4.46M","1.60%"
"11/10/2023","935","955","955","935","5.53M","-2.09%"
"11/09/2023","955","950","965","940","13.07M","0.53%"
"11/08/2023","950","965","965","935","9.50M","-1.04%"
"11/07/2023","960","960","965","945","8.02M","0.00%"
"11/06/2023","960","915","965","915","34.09M","0.52%"
"11/03/2023","955","935","960","920","28.59M","2.14%"
"11/02/2023","935","875","965","870","102.84M","10.00%"
"11/01/2023","850","885","885","850","27.82M","-4.49%"
"10/31/2023","890","855","890","835","51.48M","5.33%"
"10/30/2023","845","830","850","825","17.68M","2.42%"
"10/27/2023","825","820","840","820","25.96M","0.00%"
"10/26/2023","825","875","875","825","50.73M","-5.71%"
"10/25/2023","875","900","900","860","42.35M","-2.78%"
"10/24/2023","900","870","905","865","19.79M","3.45%"
"10/23/2023","870","880","895","865","14.19M","-1.14%"
"10/20/2023","880","895","900","875","26.13M","-2.22%"
"10/19/2023","900","905","915","890","15.40M","-0.55%"
"10/18/2023","905","950","950","895","71.09M","-3.72%"
"10/17/2023","940","930","950","930","9.77M","1.08%"
"10/16/2023","930","955","955","930","7.49M","-1.59%"
"10/13/2023","945","970","970","935","10.48M","-1.05%"
"10/12/2023","955","960","965","950","23.64M","0.00%"
"10/11/2023","955","955","975","955","31.15M","0.00%"
"10/10/2023","955","930","975","915","29.93M","2.69%"
"10/09/2023","930","930","945","920","37.64M","0.00%"
"10/06/2023","930","925","940","920","24.13M","1.09%"
"10/05/2023","920","950","950","920","37.78M","-3.16%"
"10/04/2023","950","970","970","945","18.50M","-2.06%"
"10/03/2023","970","965","970","955","20.91M","1.04%"
"10/02/2023","960","960","975","950","31.75M","0.00%"
"09/29/2023","960","965","980","960","12.23M","0.00%"
"09/27/2023","960","965","980","960","23.79M","-0.52%"
"09/26/2023","965","965","980","960","24.97M","0.00%"
"09/25/2023","965","985","995","965","41.87M","-2.03%"
"09/22/2023","985","990","1,000","980","22.40M","-1.01%"
"09/21/2023","995","1,000","1,005","985","18.91M","-0.50%"
"09/20/2023","1,000","1,020","1,025","1,000","13.94M","-2.44%"
"09/19/2023","1,025","1,025","1,030","1,010","8.39M","0.49%"
"09/18/2023","1,020","1,020","1,030","1,015","10.18M","0.00%"
"09/15/2023","1,020","1,040","1,040","1,015","32.66M","-0.49%"
"09/14/2023","1,025","1,045","1,050","1,025","19.62M","-1.44%"
"09/13/2023","1,040","1,045","1,055","1,030","14.49M","-0.48%"
"09/12/2023","1,045","1,070","1,070","1,045","11.43M","-2.34%"
"09/11/2023","1,070","1,050","1,070","1,050","13.64M","2.39%"
"09/08/2023","1,045","1,045","1,070","1,045","28.50M","0.48%"
"09/07/2023","1,040","1,030","1,045","1,020","23.73M","0.48%"
"09/06/2023","1,035","1,035","1,055","1,030","23.31M","0.00%"
"09/05/2023","1,035","1,040","1,060","1,030","24.39M","0.00%"
"09/04/2023","1,035","1,030","1,045","1,020","10.37M","0.49%"
"09/01/2023","1,030","1,035","1,045","1,020","11.94M","0.00%"
"08/31/2023","1,030","1,050","1,075","1,030","54.97M","-1.90%"
"08/30/2023","1,050","1,010","1,065","1,010","83.63M","3.96%"
"08/29/2023","1,010","1,020","1,020","1,005","6.47M","-0.49%"
"08/28/2023","1,015","1,020","1,025","1,005","4.44M","-0.49%"
"08/25/2023","1,020","995","1,020","995","12.74M","2.51%"
"08/24/2023","995","1,005","1,010","995","15.63M","-1.00%"
"08/23/2023","1,005","1,025","1,030","1,005","14.27M","-1.95%"
"08/22/2023","1,025","1,010","1,025","1,010","15.52M","1.49%"
"08/21/2023","1,010","1,015","1,030","1,010","22.05M","0.00%"
"08/18/2023","1,010","1,005","1,025","1,000","19.88M","1.00%"
